 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PBM 
 Log Date:         70JUN26 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      7.57   999.99   -9.311
     15.14   999.99   -8.505
     22.71   999.99   -8.274
     30.28   999.99   -8.432
     37.86   999.99   -8.504
     45.43   999.99   -8.502
     53.00   999.99   -8.457
     60.57   999.99   -8.403
     68.14   999.99   -8.343
     75.71   999.99   -8.295
     83.28   999.99   -8.251
     90.85   999.99   -8.202
     98.43   999.99   -8.156
    106.00   999.99   -8.100
    113.57   999.99   -8.034
    121.14   999.99   -7.956
    128.71   999.99   -7.841
    136.28   999.99   -7.705
    143.85   999.99   -7.551
    151.42   999.99   -7.426
    159.00   999.99   -7.392
    166.57   999.99   -7.336
    174.14   999.99   -7.240
    181.71   999.99   -7.130
    189.28   999.99   -6.996
    196.85   999.99   -6.864
    204.42   999.99   -6.789
    211.99   999.99   -6.701
    219.57   999.99   -6.553
    227.14   999.99   -6.436
    234.71   999.99   -6.303
    242.28   999.99   -6.106
    249.85   999.99   -5.952
    257.42   999.99   -5.858
    264.99   999.99   -5.742
    272.56   999.99   -5.628
    280.14   999.99   -5.556
    287.71   999.99   -5.467
    295.28   999.99   -5.322
    302.85   999.99   -5.223
    310.42   999.99   -5.074
    317.99   999.99   -4.927
    325.56   999.99   -4.816
    333.13   999.99   -4.683
    340.71   999.99   -4.519
    348.28   999.99   -4.320
    355.85   999.99   -4.281
    363.42   999.99   -4.218
    370.99   999.99   -4.089
    378.56   999.99   -3.964
    386.13   999.99   -3.815
    393.70   999.99   -3.649
    401.28   999.99   -3.545
    408.85   999.99   -3.484
    416.42   999.99   -3.363
    423.99   999.99   -3.284
    431.56   999.99   -3.147
    439.13   999.99   -3.024
    446.70   999.99   -2.900
    454.27   999.99   -2.777
    461.85   999.99   -2.725
    469.42   999.99   -2.571
    476.99   999.99   -2.454
    484.56   999.99   -2.290
    492.13   999.99   -2.104
    499.70   999.99   -2.116
    507.27   999.99   -1.995
    514.84   999.99   -1.886
    522.42   999.99   -1.784
    529.99   999.99   -1.687
    537.56   999.99   -1.647
    545.13   999.99   -1.428
    552.70   999.99   -1.363
    560.27   999.99   -1.372
    567.84   999.99   -1.246
    575.41   999.99   -1.211
    582.99   999.99   -1.061
    590.56   999.99    -.858
    598.13   999.99    -.526
    605.70   999.99    -.215
    613.27   999.99     .025
    620.84   999.99     .279
    628.41   999.99     .574
    635.98   999.99     .768
    643.56   999.99     .896
    651.13   999.99    1.030
    658.70   999.99    1.415
    666.27   999.99    1.662
    673.84   999.99    1.905
    681.41   999.99    2.104
    688.98   999.99    2.416
    696.55   999.99    2.660
    704.13   999.99    2.904
    711.70   999.99    3.109
    719.27   999.99    3.327
    726.84   999.99    3.578
    734.41   999.99    3.772
    741.98   999.99    3.985
    749.55   999.99    4.184
    757.12   999.99    4.369
