 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PEA 
 Log Date:         83AUG29 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     21.34   999.99   -8.451
     24.38   999.99   -8.416
     27.43   999.99   -8.378
     30.48   999.99   -8.334
     33.53   999.99   -8.285
     36.58   999.99   -8.260
     39.62   999.99   -8.209
     42.67   999.99   -8.162
     45.72   999.99   -8.102
     48.77   999.99   -8.040
     51.82   999.99   -7.970
     54.86   999.99   -7.888
     57.91   999.99   -7.823
     60.96   999.99   -7.750
     64.01   999.99   -7.663
     67.06   999.99   -7.591
     70.10   999.99   -7.508
     73.15   999.99   -7.422
     76.20   999.99   -7.326
     79.25   999.99   -7.237
     82.30   999.99   -7.121
     85.34   999.99   -7.027
     88.39   999.99   -6.918
     91.44   999.99   -6.799
     94.49   999.99   -6.700
     97.54   999.99   -6.586
    100.58   999.99   -6.471
    103.63   999.99   -6.361
    106.68   999.99   -6.259
    109.73   999.99   -6.177
    112.78   999.99   -6.082
    115.82   999.99   -5.984
    118.87   999.99   -5.888
    121.92   999.99   -5.777
    124.97   999.99   -5.700
    128.02   999.99   -5.596
    131.06   999.99   -5.493
    134.11   999.99   -5.413
    137.16   999.99   -5.328
    140.21   999.99   -5.217
    143.26   999.99   -5.146
    146.30   999.99   -5.052
    149.35   999.99   -4.949
    152.40   999.99   -4.832
    155.45   999.99   -4.726
    158.50   999.99   -4.634
    161.54   999.99   -4.541
    164.59   999.99   -4.467
    167.64   999.99   -4.384
    170.69   999.99   -4.291
    173.74   999.99   -4.234
    176.78   999.99   -4.153
    179.83   999.99   -4.069
    182.88   999.99   -3.991
    185.93   999.99   -3.910
    188.98   999.99   -3.814
    192.02   999.99   -3.739
    195.07   999.99   -3.635
    198.12   999.99   -3.555
    201.17   999.99   -3.460
    204.22   999.99   -3.371
    207.26   999.99   -3.259
    210.31   999.99   -3.135
    213.36   999.99   -3.024
    216.41   999.99   -2.903
    219.46   999.99   -2.778
    222.50   999.99   -2.667
    225.55   999.99   -2.530
    228.60   999.99   -2.369
    231.65   999.99   -2.245
    234.70   999.99   -2.130
    237.74   999.99   -2.008
    240.79   999.99   -1.914
    243.84   999.99   -1.793
    246.89   999.99   -1.694
    249.94   999.99   -1.573
    252.98   999.99   -1.462
    256.03   999.99   -1.366
    259.08   999.99   -1.253
    262.13   999.99   -1.136
    265.18   999.99   -1.014
    268.22   999.99    -.928
    271.27   999.99    -.853
    274.32   999.99    -.753
    277.37   999.99    -.669
    280.42   999.99    -.556
    283.46   999.99    -.464
    286.51   999.99    -.349
    289.56   999.99    -.281
    292.61   999.99    -.195
    295.66   999.99    -.084
    298.70   999.99    -.002
    301.75   999.99     .085
    304.80   999.99     .156
    307.85   999.99     .237
    310.90   999.99     .312
    313.94   999.99     .393
    316.99   999.99     .469
    320.04   999.99     .552
    323.09   999.99     .656
    326.14   999.99     .757
    329.18   999.99     .831
    332.23   999.99     .936
    335.28   999.99    1.040
    338.33   999.99    1.135
    341.38   999.99    1.229
    344.42   999.99    1.343
    347.47   999.99    1.427
    350.52   999.99    1.507
    353.57   999.99    1.590
    356.62   999.99    1.669
    359.66   999.99    1.759
    362.71   999.99    1.853
    365.76   999.99    1.961
    368.81   999.99    2.054
    371.86   999.99    2.155
    374.90   999.99    2.230
    377.95   999.99    2.357
    381.00   999.99    2.439
    384.05   999.99    2.535
    387.10   999.99    2.625
    390.14   999.99    2.704
    393.19   999.99    2.785
    396.24   999.99    2.864
    399.29   999.99    2.955
    402.34   999.99    3.034
    405.38   999.99    3.112
    408.43   999.99    3.213
    411.48   999.99    3.296
    414.53   999.99    3.378
    417.58   999.99    3.482
    420.62   999.99    3.594
    423.67   999.99    3.670
    426.72   999.99    3.766
    429.77   999.99    3.876
    432.82   999.99    3.972
    435.86   999.99    4.051
    438.91   999.99    4.154
    441.96   999.99    4.253
    445.01   999.99    4.357
    448.06   999.99    4.431
    451.10   999.99    4.522
    454.15   999.99    4.598
    457.20   999.99    4.689
    460.25   999.99    4.760
    463.30   999.99    4.865
    466.34   999.99    4.949
    469.39   999.99    5.040
    472.44   999.99    5.108
    475.49   999.99    5.201
    478.54   999.99    5.264
    481.58   999.99    5.355
    484.63   999.99    5.453
    487.68   999.99    5.547
    490.73   999.99    5.653
    493.78   999.99    5.725
    496.83   999.99    5.820
    499.87   999.99    5.936
    502.92   999.99    6.056
    505.97   999.99    6.125
    509.02   999.99    6.233
    512.07   999.99    6.365
    515.11   999.99    6.442
    518.16   999.99    6.555
    521.21   999.99    6.613
    524.26   999.99    6.694
    527.31   999.99    6.779
    530.35   999.99    6.849
    533.40   999.99    6.975
    536.45   999.99    7.107
    539.50   999.99    7.213
    542.55   999.99    7.306
    545.59   999.99    7.400
    548.64   999.99    7.501
    551.69   999.99    7.572
    554.74   999.99    7.615
    557.79   999.99    7.823
    560.83   999.99    7.932
    563.88   999.99    8.092
    566.93   999.99    8.151
    569.98   999.99    8.216
    573.03   999.99    8.290
    576.07   999.99    8.328
