 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PEA 
 Log Date:         84AUG06 
 Type of Log:      continuous  
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      no 
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     30.78   999.99   -8.404
     31.09   999.99   -8.399
     31.39   999.99   -8.396
     31.70   999.99   -8.391
     32.00   999.99   -8.383
     32.31   999.99   -8.378
     32.61   999.99   -8.374
     32.92   999.99   -8.370
     33.22   999.99   -8.363
     33.53   999.99   -8.358
     33.83   999.99   -8.347
     34.14   999.99   -8.342
     34.44   999.99   -8.339
     34.75   999.99   -8.336
     35.05   999.99   -8.334
     35.36   999.99   -8.330
     35.66   999.99   -8.324
     35.97   999.99   -8.317
     36.27   999.99   -8.313
     36.58   999.99   -8.304
     36.88   999.99   -8.298
     37.19   999.99   -8.287
     37.49   999.99   -8.278
     37.80   999.99   -8.275
     38.10   999.99   -8.272
     38.40   999.99   -8.268
     38.71   999.99   -8.266
     39.01   999.99   -8.264
     39.32   999.99   -8.260
     39.62   999.99   -8.256
     39.93   999.99   -8.252
     40.23   999.99   -8.244
     40.54   999.99   -8.239
     40.84   999.99   -8.233
     41.15   999.99   -8.227
     41.45   999.99   -8.222
     41.76   999.99   -8.215
     42.06   999.99   -8.209
     42.37   999.99   -8.207
     42.67   999.99   -8.202
     42.98   999.99   -8.199
     43.28   999.99   -8.194
     43.59   999.99   -8.182
     43.89   999.99   -8.180
     44.20   999.99   -8.178
     44.50   999.99   -8.173
     44.81   999.99   -8.167
     45.11   999.99   -8.160
     45.42   999.99   -8.153
     45.72   999.99   -8.147
     46.02   999.99   -8.141
     46.33   999.99   -8.138
     46.63   999.99   -8.134
     46.94   999.99   -8.128
     47.24   999.99   -8.122
     47.55   999.99   -8.115
     47.85   999.99   -8.102
     48.16   999.99   -8.096
     48.46   999.99   -8.090
     48.77   999.99   -8.082
     49.07   999.99   -8.077
     49.38   999.99   -8.073
     49.68   999.99   -8.065
     49.99   999.99   -8.060
     50.29   999.99   -8.055
     50.60   999.99   -8.049
     50.90   999.99   -8.043
     51.21   999.99   -8.035
     51.51   999.99   -8.027
     51.82   999.99   -8.020
