 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PEA 
 Log Date:         80SEP16 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     27.43   999.99   -7.853
     30.48   999.99   -7.861
     33.53   999.99   -7.831
     36.58   999.99   -7.788
     39.62   999.99   -7.754
     42.67   999.99   -7.707
     45.72   999.99   -7.644
     48.77   999.99   -7.576
     51.82   999.99   -7.502
     54.86   999.99   -7.440
     57.91   999.99   -7.375
     60.96   999.99   -7.301
     64.01   999.99   -7.222
     67.06   999.99   -7.140
     70.10   999.99   -7.054
     73.15   999.99   -6.952
     76.20   999.99   -6.871
     79.25   999.99   -6.767
     82.30   999.99   -6.676
     85.34   999.99   -6.557
     88.39   999.99   -6.466
     91.44   999.99   -6.340
     94.49   999.99   -6.201
     97.54   999.99   -6.095
    100.58   999.99   -5.972
    103.63   999.99   -5.874
    106.68   999.99   -5.793
    109.73   999.99   -5.717
    112.78   999.99   -5.612
    115.82   999.99   -5.530
    118.87   999.99   -5.448
    121.92   999.99   -5.336
    124.97   999.99   -5.247
    128.02   999.99   -5.156
    131.06   999.99   -5.069
    134.11   999.99   -4.970
    137.16   999.99   -4.893
    140.21   999.99   -4.814
    143.26   999.99   -4.724
    146.30   999.99   -4.613
    149.35   999.99   -4.500
    152.40   999.99   -4.369
    155.45   999.99   -4.278
    158.50   999.99   -4.187
    161.54   999.99   -4.098
    164.59   999.99   -4.015
    167.64   999.99   -3.936
    170.69   999.99   -3.862
    173.74   999.99   -3.801
    176.78   999.99   -3.724
    179.83   999.99   -3.673
    182.88   999.99   -3.586
    185.93   999.99   -3.512
    188.98   999.99   -3.420
    192.02   999.99   -3.346
    195.07   999.99   -3.239
    198.12   999.99   -3.140
    201.17   999.99   -3.019
    204.22   999.99   -2.925
    207.26   999.99   -2.808
    210.31   999.99   -2.706
    213.36   999.99   -2.608
    216.41   999.99   -2.506
    219.46   999.99   -2.393
    222.50   999.99   -2.266
    225.55   999.99   -2.109
    228.60   999.99   -1.973
    231.65   999.99   -1.852
    234.70   999.99   -1.709
    237.74   999.99   -1.616
    240.79   999.99   -1.515
    243.84   999.99   -1.428
    246.89   999.99   -1.345
    249.94   999.99   -1.248
    252.98   999.99   -1.149
    256.03   999.99   -1.055
    259.08   999.99    -.926
    262.13   999.99    -.817
    265.18   999.99    -.703
    268.22   999.99    -.625
    271.27   999.99    -.510
    274.32   999.99    -.400
    277.37   999.99    -.295
    280.42   999.99    -.170
    283.46   999.99    -.061
    286.51   999.99     .044
    289.56   999.99     .145
    292.61   999.99     .241
    295.66   999.99     .322
    298.70   999.99     .403
    301.75   999.99     .492
    304.80   999.99     .572
    307.85   999.99     .659
    310.90   999.99     .737
    313.94   999.99     .817
    316.99   999.99     .903
    320.04   999.99     .998
    323.09   999.99    1.098
    326.14   999.99    1.188
    329.18   999.99    1.290
    332.23   999.99    1.384
    335.28   999.99    1.487
    338.33   999.99    1.579
    341.38   999.99    1.678
    344.42   999.99    1.778
    347.47   999.99    1.849
    350.52   999.99    1.935
    353.57   999.99    2.019
    356.62   999.99    2.096
    359.66   999.99    2.197
    362.71   999.99    2.298
    365.76   999.99    2.407
    368.81   999.99    2.500
    371.86   999.99    2.601
    374.90   999.99    2.702
    377.95   999.99    2.787
    381.00   999.99    2.873
    384.05   999.99    2.965
    387.10   999.99    3.058
    390.14   999.99    3.138
    393.19   999.99    3.222
    396.24   999.99    3.308
    399.29   999.99    3.382
    402.34   999.99    3.469
    405.38   999.99    3.555
    408.43   999.99    3.651
    411.48   999.99    3.742
    414.53   999.99    3.845
    417.58   999.99    3.933
    420.62   999.99    4.040
    423.67   999.99    4.131
    426.72   999.99    4.232
    429.77   999.99    4.326
    432.82   999.99    4.408
    435.86   999.99    4.528
    438.91   999.99    4.597
    441.96   999.99    4.691
    445.01   999.99    4.797
    448.06   999.99    4.868
    451.10   999.99    4.964
    454.15   999.99    5.041
    457.20   999.99    5.121
    460.25   999.99    5.209
    463.30   999.99    5.283
    466.34   999.99    5.376
    469.39   999.99    5.465
    472.44   999.99    5.537
    475.49   999.99    5.634
    478.54   999.99    5.703
    481.58   999.99    5.805
    484.63   999.99    5.908
    487.68   999.99    5.999
    490.73   999.99    6.098
    493.78   999.99    6.197
    496.83   999.99    6.299
    499.87   999.99    6.386
    502.92   999.99    6.498
    505.97   999.99    6.605
    509.02   999.99    6.690
    512.07   999.99    6.797
    515.11   999.99    6.908
    518.16   999.99    7.002
    521.21   999.99    7.096
    524.26   999.99    7.199
    527.31   999.99    7.278
    530.35   999.99    7.383
    533.40   999.99    7.487
    536.45   999.99    7.598
    539.50   999.99    7.691
    542.55   999.99    7.773
    545.59   999.99    7.870
    548.64   999.99    7.934
    551.69   999.99    7.971
    554.74   999.99    8.204
    557.79   999.99    8.333
    560.83   999.99    8.392
    563.88   999.99    8.584
    566.93   999.99    8.634
    569.98   999.99    8.674
    573.03   999.99    8.717
    576.07   999.99    8.871
    579.12   999.99    8.914
