 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PN1 
 Log Date:         75AUG09 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     15.24   999.99    4.206
     18.29   999.99    4.257
     21.34   999.99    3.804
     24.38   999.99    3.612
     27.43   999.99    3.511
     30.48   999.99    3.487
     33.53   999.99    3.462
     36.58   999.99    3.450
     39.62   999.99    3.466
     42.67   999.99    3.449
     45.72   999.99    3.446
     48.77   999.99    3.449
     51.82   999.99    3.446
     54.86   999.99    3.444
     57.91   999.99    3.472
     60.96   999.99    3.517
     64.01   999.99    3.545
     67.06   999.99    3.587
     70.10   999.99    3.621
     73.15   999.99    3.625
     76.20   999.99    3.646
     79.25   999.99    3.731
     82.30   999.99    3.714
     85.34   999.99    3.705
     88.39   999.99    3.734
     91.44   999.99    3.782
     94.49   999.99    3.798
     97.54   999.99    3.815
    100.58   999.99    3.847
    103.63   999.99    3.901
    106.68   999.99    3.934
    109.73   999.99    3.919
    112.78   999.99    3.957
    115.82   999.99    3.998
    118.87   999.99    4.025
    121.92   999.99    4.050
    124.97   999.99    4.092
    128.02   999.99    4.122
    131.06   999.99    4.143
    134.11   999.99    4.170
    137.16   999.99    4.201
    140.21   999.99    4.237
    143.26   999.99    4.290
    143.99   999.99    4.321
