 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             REX 
 Log Date:         75AUG13 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      6.10   999.99     .109
      9.14   999.99     .081
     12.19   999.99     .079
     15.24   999.99     .104
     18.29   999.99     .124
     21.34   999.99     .136
     24.38   999.99     .092
     27.43   999.99     .063
     30.48   999.99     .049
     33.53   999.99     .227
     36.58   999.99     .724
     39.62   999.99    2.314
     42.67   999.99    2.423
     45.72   999.99    2.523
     48.77   999.99    2.174
     51.82   999.99    2.152
     54.86   999.99    1.344
     57.91   999.99    2.231
     60.96   999.99    2.276
     64.01   999.99    2.297
     67.06   999.99    2.481
     70.10   999.99    2.613
     73.15   999.99    2.700
     76.20   999.99    2.786
     79.25   999.99    2.909
     82.30   999.99    3.062
     85.34   999.99    3.300
     88.39   999.99    3.411
     91.44   999.99    3.549
     94.49   999.99    3.705
     97.54   999.99    3.829
    100.58   999.99    4.161
    103.63   999.99    4.525
    106.68   999.99    5.117
    109.73   999.99    5.439
    112.78   999.99    5.708
    115.82   999.99    5.968
    118.87   999.99    6.463
    121.92   999.99    6.995
    124.97   999.99    7.482
    128.02   999.99    7.869
    131.06   999.99    8.141
    134.11   999.99    8.303
    137.16   999.99    8.522
    140.21   999.99    8.729
    143.26   999.99    8.888
    146.30   999.99    9.009
    149.35   999.99    9.115
    152.40   999.99    9.194
    155.45   999.99    9.292
    158.50   999.99    9.371
    161.54   999.99    9.501
    164.59   999.99    9.563
    167.64   999.99    9.653
    170.69   999.99    9.746
    173.74   999.99    9.844
    176.78   999.99    9.898
    179.83   999.99    9.968
    182.88   999.99   10.090
    185.93   999.99   10.164
    188.98   999.99   10.231
    192.02   999.99   10.284
    195.07   999.99   10.352
    198.12   999.99   10.457
    201.17   999.99   10.569
    204.22   999.99   10.648
    207.26   999.99   10.737
    210.31   999.99   10.813
    213.36   999.99   10.897
    216.41   999.99   10.977
    219.46   999.99   11.059
    222.50   999.99   11.140
    225.55   999.99   11.228
    228.60   999.99   11.313
    231.65   999.99   11.402
    234.70   999.99   11.491
    237.74   999.99   11.577
    240.79   999.99   11.659
    243.84   999.99   11.753
    246.89   999.99   11.838
    249.94   999.99   11.943
    252.98   999.99   12.041
    256.03   999.99   12.136
    257.56   999.99   12.188
