 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             SBE 
 Log Date:         81AUG20 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     48.77   999.99   -5.253
     51.82   999.99   -5.222
     54.86   999.99   -5.193
     57.91   999.99   -5.167
     60.96   999.99   -5.103
     64.01   999.99   -5.048
     67.06   999.99   -4.987
     70.10   999.99   -4.944
     73.15   999.99   -4.924
     76.20   999.99   -4.911
     79.25   999.99   -4.887
     82.30   999.99   -4.873
     85.34   999.99   -4.845
     88.39   999.99   -4.787
     91.44   999.99   -4.733
     94.49   999.99   -4.637
     97.54   999.99   -4.568
    100.58   999.99   -4.471
    103.63   999.99   -4.389
    106.68   999.99   -4.218
    109.73   999.99   -4.108
    112.78   999.99   -3.994
    115.82   999.99   -3.893
    118.87   999.99   -3.801
    121.92   999.99   -3.735
    124.97   999.99   -3.671
    128.02   999.99   -3.607
    131.06   999.99   -3.536
    134.11   999.99   -3.452
    137.16   999.99   -3.339
    140.21   999.99   -3.232
    143.26   999.99   -3.137
    146.30   999.99   -3.031
    149.35   999.99   -2.960
    152.40   999.99   -2.848
    155.45   999.99   -2.743
    158.50   999.99   -2.669
    161.54   999.99   -2.611
    164.59   999.99   -2.540
    167.64   999.99   -2.448
    170.69   999.99   -2.363
    173.74   999.99   -2.280
    176.78   999.99   -2.163
    179.83   999.99   -2.057
    182.88   999.99   -1.943
    185.93   999.99   -1.829
    188.98   999.99   -1.719
    192.02   999.99   -1.566
    195.07   999.99   -1.428
    198.12   999.99   -1.207
    201.17   999.99    -.925
    204.22   999.99    -.662
    207.26   999.99    -.543
    210.31   999.99    -.656
    213.36   999.99    -.863
    216.41   999.99    -.964
    219.46   999.99   -1.009
    222.50   999.99   -1.019
    225.55   999.99   -1.020
    228.60   999.99    -.976
    231.65   999.99    -.898
    234.70   999.99    -.754
    237.74   999.99    -.610
    240.79   999.99    -.500
    243.84   999.99    -.435
    246.89   999.99    -.344
    249.94   999.99    -.256
    252.98   999.99    -.184
    256.03   999.99    -.111
    259.08   999.99    -.035
    262.13   999.99     .036
    265.18   999.99     .115
    268.22   999.99     .163
    271.27   999.99     .213
    274.32   999.99     .272
    277.37   999.99     .336
    280.42   999.99     .420
    283.46   999.99     .519
    286.51   999.99     .633
    289.56   999.99     .749
    292.61   999.99     .857
    295.66   999.99     .953
    298.70   999.99    1.041
    301.75   999.99    1.100
    304.80   999.99    1.164
    307.85   999.99    1.216
    310.90   999.99    1.259
    313.94   999.99    1.325
    316.99   999.99    1.387
    320.04   999.99    1.463
    323.09   999.99    1.520
    326.14   999.99    1.550
    329.18   999.99    1.572
    332.23   999.99    1.593
    335.28   999.99    1.625
    338.33   999.99    1.668
    341.38   999.99    1.713
    344.42   999.99    1.770
    347.47   999.99    1.843
    350.52   999.99    1.920
    353.57   999.99    1.982
    356.62   999.99    2.034
    359.66   999.99    2.089
    362.71   999.99    2.128
    365.76   999.99    2.168
    368.81   999.99    2.207
    371.86   999.99    2.251
    374.90   999.99    2.288
    377.95   999.99    2.326
    381.00   999.99    2.365
    384.05   999.99    2.401
    387.10   999.99    2.489
    390.14   999.99    2.577
