 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             SBE 
 Log Date:         80SEP09 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     48.77   999.99   -3.299
     51.82   999.99   -3.331
     54.86   999.99   -3.288
     57.91   999.99   -3.265
     60.96   999.99   -3.218
     64.01   999.99   -3.163
     67.06   999.99   -3.139
     70.10   999.99   -3.127
     73.15   999.99   -3.081
     76.20   999.99   -3.018
     79.25   999.99   -2.984
     82.30   999.99   -2.965
     85.34   999.99   -2.950
     88.39   999.99   -2.924
     91.44   999.99   -2.886
     94.49   999.99   -2.827
     97.54   999.99   -2.728
    100.58   999.99   -2.591
    103.63   999.99   -2.439
    106.68   999.99   -2.333
    109.73   999.99   -2.222
    112.78   999.99   -2.133
    115.82   999.99   -2.044
    118.87   999.99   -1.886
    121.92   999.99   -1.649
    124.97   999.99   -1.407
    128.02   999.99   -1.140
    131.06   999.99    -.846
    134.11   999.99   -1.088
    137.16   999.99   -1.408
    140.21   999.99   -1.422
    143.26   999.99   -1.428
    146.30   999.99   -1.387
    149.35   999.99   -1.233
    152.40   999.99    -.923
    155.45   999.99    -.570
    158.50   999.99    -.385
    161.54   999.99    -.362
    164.59   999.99    -.889
    167.64   999.99    -.889
    170.69   999.99    -.793
    173.74   999.99    -.633
    176.78   999.99    -.476
    179.83   999.99    -.293
    182.88   999.99    -.179
    185.93   999.99    -.110
    188.98   999.99    -.012
    192.02   999.99     .058
    195.07   999.99     .045
    198.12   999.99    -.245
    201.17   999.99    -.293
    204.22   999.99    -.281
    207.26   999.99    -.285
    210.31   999.99    -.330
    213.36   999.99    -.341
    216.41   999.99    -.330
    219.46   999.99    -.235
    222.50   999.99    -.065
    225.55   999.99     .129
    228.60   999.99     .313
    231.65   999.99     .504
    234.70   999.99     .647
    237.74   999.99     .744
    240.79   999.99     .840
    243.84   999.99     .984
    246.89   999.99    1.177
    249.94   999.99    1.340
    252.98   999.99    1.457
    256.03   999.99    1.541
    259.08   999.99    1.637
    262.13   999.99    1.705
    265.18   999.99    1.718
    268.22   999.99    1.713
    271.27   999.99    1.713
    274.32   999.99    1.744
    277.37   999.99    1.849
    280.42   999.99    2.001
    283.46   999.99    2.164
    286.51   999.99    2.328
    289.56   999.99    2.483
    292.61   999.99    2.586
    295.66   999.99    2.699
    298.70   999.99    2.714
    301.75   999.99    2.732
    304.80   999.99    2.699
    307.85   999.99    2.670
    310.90   999.99    2.728
    313.94   999.99    2.835
    316.99   999.99    3.085
    320.04   999.99    2.981
    323.09   999.99    2.927
    326.14   999.99    2.801
    329.18   999.99    2.786
    332.23   999.99    2.806
    335.28   999.99    2.823
    338.33   999.99    2.905
    341.38   999.99    3.027
    344.42   999.99    3.157
    347.47   999.99    3.270
    350.52   999.99    3.286
    353.57   999.99    3.334
    356.62   999.99    3.364
    359.66   999.99    3.394
    362.71   999.99    3.428
    365.76   999.99    3.464
    368.81   999.99    3.513
    371.86   999.99    3.536
    374.90   999.99    3.556
    377.95   999.99    3.598
    381.00   999.99    3.640
    384.05   999.99    3.783
    387.10   999.99    3.896
    388.22   999.99    3.918
