 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             SME 
 Log Date:         81AUG25 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     12.19   999.99   -7.356
     15.24   999.99   -7.978
     18.29   999.99   -7.980
     21.34   999.99   -7.888
     24.38   999.99   -7.791
     27.43   999.99   -7.670
     30.48   999.99   -7.519
     33.53   999.99   -7.350
     36.58   999.99   -7.191
     39.62   999.99   -7.019
     42.67   999.99   -6.820
     45.72   999.99   -6.651
     48.77   999.99   -6.471
     51.82   999.99   -6.295
     54.86   999.99   -6.110
     57.91   999.99   -5.964
     60.96   999.99   -5.806
     64.01   999.99   -5.613
     67.06   999.99   -5.460
     70.10   999.99   -5.285
     73.15   999.99   -5.153
     76.20   999.99   -5.006
     79.25   999.99   -4.836
     82.30   999.99   -4.657
     85.34   999.99   -4.478
     88.39   999.99   -4.306
     91.44   999.99   -4.144
     94.49   999.99   -3.999
     97.54   999.99   -3.855
    100.58   999.99   -3.746
    103.63   999.99   -3.649
    106.68   999.99   -3.528
    109.73   999.99   -3.386
    112.78   999.99   -3.215
    115.82   999.99   -3.045
    118.87   999.99   -2.877
    121.92   999.99   -2.719
    124.97   999.99   -2.550
    128.02   999.99   -2.393
    131.06   999.99   -2.223
    134.11   999.99   -2.063
    137.16   999.99   -1.878
    140.21   999.99   -1.699
    143.26   999.99   -1.513
    146.30   999.99   -1.349
    149.35   999.99   -1.218
    152.40   999.99   -1.122
    155.45   999.99   -1.051
    158.50   999.99    -.986
    161.54   999.99    -.914
    164.59   999.99    -.846
    167.64   999.99    -.792
    170.69   999.99    -.718
    173.74   999.99    -.623
    176.78   999.99    -.531
    179.83   999.99    -.355
    182.88   999.99    -.171
    185.93   999.99     .108
    188.98   999.99     .328
    192.02   999.99     .462
    195.07   999.99     .596
    198.12   999.99     .727
    201.17   999.99     .862
    204.22   999.99     .976
    207.26   999.99    1.082
    210.31   999.99    1.210
    213.36   999.99    1.331
    216.41   999.99    1.448
    219.46   999.99    1.563
    222.50   999.99    1.694
    225.55   999.99    1.799
    228.60   999.99    1.900
    231.65   999.99    1.994
    234.70   999.99    2.080
    237.74   999.99    2.201
    240.79   999.99    2.321
    243.84   999.99    2.434
    246.89   999.99    2.542
    249.94   999.99    2.646
    252.98   999.99    2.760
    256.03   999.99    2.895
    259.08   999.99    3.030
    262.13   999.99    3.166
    265.18   999.99    3.291
    268.22   999.99    3.443
    271.27   999.99    3.582
    274.32   999.99    3.721
    277.37   999.99    3.836
    280.42   999.99    3.947
    283.46   999.99    4.041
    286.51   999.99    4.149
    289.56   999.99    4.254
    292.61   999.99    4.354
    295.66   999.99    4.490
    298.70   999.99    4.625
    301.75   999.99    4.788
    304.80   999.99    5.012
    307.85   999.99    5.178
    310.90   999.99    5.355
    313.94   999.99    5.494
    316.99   999.99    5.639
    320.04   999.99    5.803
    323.09   999.99    6.000
    326.14   999.99    6.212
    329.18   999.99    6.326
    332.23   999.99    6.486
    335.28   999.99    6.598
    338.33   999.99    6.698
    341.38   999.99    6.799
    344.42   999.99    6.880
    347.47   999.99    6.977
    350.52   999.99    7.089
    353.57   999.99    7.237
    356.62   999.99    7.364
    359.66   999.99    7.491
    362.71   999.99    7.612
    365.76   999.99    7.744
    368.81   999.99    7.897
    371.86   999.99    8.055
    374.90   999.99    8.214
    377.95   999.99    8.408
    381.00   999.99    8.571
    384.05   999.99    8.757
    387.10   999.99    8.979
    390.14   999.99    9.163
    393.19   999.99    9.394
    396.24   999.99    9.638
    399.29   999.99    9.833
    402.34   999.99   10.006
    405.38   999.99   10.122
    408.43   999.99   10.251
    411.48   999.99   10.405
    414.53   999.99   10.577
    417.58   999.99   10.745
    420.62   999.99   10.903
    423.67   999.99   11.101
    426.72   999.99   11.222
    429.77   999.99   11.331
    432.82   999.99   11.429
    435.86   999.99   11.516
    438.91   999.99   11.586
    441.96   999.99   11.659
    445.01   999.99   11.729
    448.06   999.99   11.817
    451.10   999.99   11.943
    454.15   999.99   12.064
    457.20   999.99   12.228
    460.25   999.99   12.394
    463.30   999.99   12.559
    466.34   999.99   12.773
    469.39   999.99   12.923
    472.44   999.99   13.019
    475.49   999.99   13.079
    478.54   999.99   13.145
    481.58   999.99   13.241
    484.63   999.99   13.350
    487.68   999.99   13.464
    490.73   999.99   13.568
    493.78   999.99   13.673
    496.83   999.99   13.803
    499.87   999.99   13.931
    502.92   999.99   14.033
    505.97   999.99   14.405
    509.02   999.99   14.476
    512.07   999.99   14.590
    515.11   999.99   14.709
    518.16   999.99   14.835
    521.21   999.99   14.929
    524.26   999.99   15.199
    527.31   999.99   15.266
    530.35   999.99   15.357
    533.40   999.99   15.442
    536.45   999.99   15.525
    539.50   999.99   15.591
    542.55   999.99   15.760
