 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             SME 
 Log Date:         84AUG04 
 Type of Log:      continuous  
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      no 
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      4.88   999.99   -6.532
      5.18   999.99   -6.617
      5.49   999.99   -6.643
      5.79   999.99   -6.775
      6.10   999.99   -6.850
      6.40   999.99   -6.947
      6.71   999.99   -7.041
      7.01   999.99   -7.209
      7.32   999.99   -7.356
      7.62   999.99   -7.577
      7.92   999.99   -7.720
      8.23   999.99   -8.777
      8.53   999.99   -9.570
      8.84   999.99   -9.966
      9.14   999.99  -10.187
      9.45   999.99  -10.373
      9.75   999.99  -10.375
     10.06   999.99  -10.461
     10.36   999.99  -10.491
     10.67   999.99  -10.490
     10.97   999.99  -10.438
     11.28   999.99  -10.399
     11.58   999.99  -10.377
     11.89   999.99  -10.348
     12.19   999.99  -10.300
     12.50   999.99  -10.260
     12.80   999.99  -10.166
     13.11   999.99  -10.112
     13.41   999.99  -10.098
     13.72   999.99  -10.022
     14.02   999.99   -9.951
     14.33   999.99   -9.845
     14.63   999.99   -9.807
     14.94   999.99   -9.757
     15.24   999.99   -9.707
     15.54   999.99   -9.643
     15.85   999.99   -9.599
     16.15   999.99   -9.512
     16.46   999.99   -9.427
     16.76   999.99   -9.394
     17.07   999.99   -9.371
     17.37   999.99   -9.335
     17.68   999.99   -9.278
     17.98   999.99   -9.215
     18.29   999.99   -9.186
     18.59   999.99   -9.139
     18.90   999.99   -9.095
     19.20   999.99   -9.054
     19.51   999.99   -9.019
     19.81   999.99   -8.948
     20.12   999.99   -8.947
     20.42   999.99   -8.881
     20.73   999.99   -8.828
     21.03   999.99   -8.817
     21.34   999.99   -8.750
     21.64   999.99   -8.740
     21.95   999.99   -8.713
     22.25   999.99   -8.674
     22.56   999.99   -8.627
     22.86   999.99   -8.589
     23.16   999.99   -8.534
     23.47   999.99   -8.489
     23.77   999.99   -8.469
     24.08   999.99   -8.440
     24.38   999.99   -8.415
     24.69   999.99   -8.393
     24.99   999.99   -8.363
     25.30   999.99   -8.342
     25.60   999.99   -8.320
     25.91   999.99   -8.288
     26.21   999.99   -8.268
     26.52   999.99   -8.217
     26.82   999.99   -8.181
     27.13   999.99   -8.194
     27.43   999.99   -8.156
     27.74   999.99   -8.091
     28.04   999.99   -8.101
     28.35   999.99   -8.079
     28.65   999.99   -8.053
     28.96   999.99   -8.028
     29.26   999.99   -8.004
     29.57   999.99   -7.959
     29.87   999.99   -7.972
     30.18   999.99   -7.922
     30.48   999.99   -7.906
     30.78   999.99   -7.838
     31.09   999.99   -7.824
     31.39   999.99   -7.807
     31.70   999.99   -7.791
     32.00   999.99   -7.779
     32.31   999.99   -7.763
     32.61   999.99   -7.750
     32.92   999.99   -7.736
     33.22   999.99   -7.713
     33.53   999.99   -7.698
     33.83   999.99   -7.682
     34.14   999.99   -7.668
     34.44   999.99   -7.643
     34.75   999.99   -7.639
     35.05   999.99   -7.625
     35.36   999.99   -7.608
     35.66   999.99   -7.578
     35.97   999.99   -7.555
     36.27   999.99   -7.550
     36.58   999.99   -7.538
     36.88   999.99   -7.521
     37.19   999.99   -7.509
     37.49   999.99   -7.496
     37.80   999.99   -7.478
     38.10   999.99   -7.461
     38.40   999.99   -7.446
     38.71   999.99   -7.425
     39.01   999.99   -7.402
     39.32   999.99   -7.383
     39.62   999.99   -7.364
     39.93   999.99   -7.339
     40.23   999.99   -7.326
     40.54   999.99   -7.288
     40.84   999.99   -7.282
     41.15   999.99   -7.261
     41.45   999.99   -7.240
     41.76   999.99   -7.224
     42.06   999.99   -7.203
     42.37   999.99   -7.172
     42.67   999.99   -7.162
     42.98   999.99   -7.150
     43.28   999.99   -7.140
     43.59   999.99   -7.131
     43.89   999.99   -7.111
     44.20   999.99   -7.101
     44.50   999.99   -7.079
     44.81   999.99   -7.063
     45.11   999.99   -7.052
     45.42   999.99   -7.030
     45.72   999.99   -7.022
     46.02   999.99   -7.007
     46.33   999.99   -6.994
     46.63   999.99   -6.976
     46.94   999.99   -6.957
     47.24   999.99   -6.941
     47.55   999.99   -6.911
     47.85   999.99   -6.901
     48.16   999.99   -6.881
     48.46   999.99   -6.866
     48.77   999.99   -6.851
     49.07   999.99   -6.828
     49.38   999.99   -6.811
     49.68   999.99   -6.793
     49.99   999.99   -6.777
     50.29   999.99   -6.754
     50.60   999.99   -6.739
     50.90   999.99   -6.700
     51.21   999.99   -6.683
     51.51   999.99   -6.659
     51.82   999.99   -6.655
     52.12   999.99   -6.643
     52.43   999.99   -6.627
     52.73   999.99   -6.597
     53.04   999.99   -6.593
     53.34   999.99   -6.567
     53.64   999.99   -6.563
     53.95   999.99   -6.534
     54.25   999.99   -6.528
     54.56   999.99   -6.507
     54.86   999.99   -6.485
     55.17   999.99   -6.466
     55.47   999.99   -6.449
     55.78   999.99   -6.423
     56.08   999.99   -6.414
     56.39   999.99   -6.401
     56.69   999.99   -6.385
     57.00   999.99   -6.359
     57.30   999.99   -6.342
     57.61   999.99   -6.333
     57.91   999.99   -6.302
     58.22   999.99   -6.289
     58.52   999.99   -6.261
     58.83   999.99   -6.245
     59.13   999.99   -6.237
     59.44   999.99   -6.228
     59.74   999.99   -6.213
     60.05   999.99   -6.185
     60.35   999.99   -6.178
     60.66   999.99   -6.164
     60.96   999.99   -6.146
     61.26   999.99   -6.097
     61.57   999.99   -6.086
     61.87   999.99   -6.073
     62.18   999.99   -6.064
     62.48   999.99   -6.045
     62.79   999.99   -6.034
     63.09   999.99   -6.022
     63.40   999.99   -6.007
     63.70   999.99   -5.993
     64.01   999.99   -5.981
     64.31   999.99   -5.942
     64.62   999.99   -5.927
     64.92   999.99   -5.915
     65.23   999.99   -5.901
     65.53   999.99   -5.889
     65.84   999.99   -5.877
     66.14   999.99   -5.866
     66.45   999.99   -5.853
     66.75   999.99   -5.838
     67.06   999.99   -5.826
     67.36   999.99   -5.806
     67.67   999.99   -5.790
     67.97   999.99   -5.770
     68.28   999.99   -5.757
     68.58   999.99   -5.739
     68.88   999.99   -5.722
     69.19   999.99   -5.703
     69.49   999.99   -5.682
     69.80   999.99   -5.655
     70.10   999.99   -5.638
     70.41   999.99   -5.626
     70.71   999.99   -5.611
     71.02   999.99   -5.594
     71.32   999.99   -5.576
     71.63   999.99   -5.561
     71.93   999.99   -5.548
     72.24   999.99   -5.531
     72.54   999.99   -5.511
     72.85   999.99   -5.496
     73.15   999.99   -5.482
     73.46   999.99   -5.466
     73.76   999.99   -5.451
     74.07   999.99   -5.435
     74.37   999.99   -5.421
     74.68   999.99   -5.408
     74.98   999.99   -5.395
     75.29   999.99   -5.380
     75.59   999.99   -5.367
     75.90   999.99   -5.351
     76.20   999.99   -5.336
     76.50   999.99   -5.319
     76.81   999.99   -5.300
     77.11   999.99   -5.282
     77.42   999.99   -5.266
     77.72   999.99   -5.247
     78.03   999.99   -5.229
     78.33   999.99   -5.214
     78.64   999.99   -5.193
     78.94   999.99   -5.180
     79.25   999.99   -5.161
     79.55   999.99   -5.146
     79.86   999.99   -5.129
     80.16   999.99   -5.110
     80.47   999.99   -5.093
     80.77   999.99   -5.071
     81.08   999.99   -5.053
     81.38   999.99   -5.030
     81.69   999.99   -5.014
     81.99   999.99   -4.997
     82.30   999.99   -4.977
     82.60   999.99   -4.960
     82.91   999.99   -4.948
     83.21   999.99   -4.936
     83.52   999.99   -4.920
     83.82   999.99   -4.905
     84.12   999.99   -4.889
     84.43   999.99   -4.872
     84.73   999.99   -4.858
     85.04   999.99   -4.841
     85.34   999.99   -4.822
     85.65   999.99   -4.803
     85.95   999.99   -4.782
     86.26   999.99   -4.767
     86.56   999.99   -4.753
     86.87   999.99   -4.738
     87.17   999.99   -4.724
     87.48   999.99   -4.709
     87.78   999.99   -4.685
     88.09   999.99   -4.667
     88.39   999.99   -4.651
     88.70   999.99   -4.634
     89.00   999.99   -4.620
     89.31   999.99   -4.604
     89.61   999.99   -4.581
     89.92   999.99   -4.566
     90.22   999.99   -4.550
     90.53   999.99   -4.533
     90.83   999.99   -4.519
     91.14   999.99   -4.502
     91.44   999.99   -4.484
     91.74   999.99   -4.429
     92.05   999.99   -4.429
     92.35   999.99   -4.421
     92.66   999.99   -4.410
     92.96   999.99   -4.394
     93.27   999.99   -4.383
     93.57   999.99   -4.370
     93.88   999.99   -4.356
     94.18   999.99   -4.345
     94.49   999.99   -4.335
     94.79   999.99   -4.324
     95.10   999.99   -4.309
     95.40   999.99   -4.292
     95.71   999.99   -4.279
     96.01   999.99   -4.264
     96.32   999.99   -4.253
     96.62   999.99   -4.240
     96.93   999.99   -4.222
     97.23   999.99   -4.206
     97.54   999.99   -4.192
     97.84   999.99   -4.175
     98.15   999.99   -4.166
     98.45   999.99   -4.153
     98.76   999.99   -4.137
     99.06   999.99   -4.127
     99.36   999.99   -4.116
     99.67   999.99   -4.103
     99.97   999.99   -4.091
    100.28   999.99   -4.083
    100.58   999.99   -4.070
    100.89   999.99   -4.057
    101.19   999.99   -4.046
    101.50   999.99   -4.038
    101.80   999.99   -4.026
    102.11   999.99   -4.015
    102.41   999.99   -4.006
    102.72   999.99   -3.997
    103.02   999.99   -3.986
    103.33   999.99   -3.979
    103.63   999.99   -3.971
    103.94   999.99   -3.962
    104.24   999.99   -3.950
    104.55   999.99   -3.934
    104.85   999.99   -3.923
    105.16   999.99   -3.907
    105.46   999.99   -3.897
    105.77   999.99   -3.887
    106.07   999.99   -3.876
    106.38   999.99   -3.870
    106.68   999.99   -3.862
    106.99   999.99   -3.850
    107.29   999.99   -3.840
    107.59   999.99   -3.830
    107.90   999.99   -3.820
    108.20   999.99   -3.809
    108.51   999.99   -3.797
    108.81   999.99   -3.781
    109.12   999.99   -3.768
    109.42   999.99   -3.753
    109.73   999.99   -3.735
    110.03   999.99   -3.722
    110.34   999.99   -3.711
    110.64   999.99   -3.697
    110.95   999.99   -3.683
    111.25   999.99   -3.668
    111.56   999.99   -3.650
    111.86   999.99   -3.638
    112.17   999.99   -3.625
    112.47   999.99   -3.609
    112.78   999.99   -3.591
    113.08   999.99   -3.571
    113.39   999.99   -3.556
    113.69   999.99   -3.543
    114.00   999.99   -3.527
    114.30   999.99   -3.510
    114.61   999.99   -3.493
    114.91   999.99   -3.470
    115.21   999.99   -3.451
    115.52   999.99   -3.432
    115.82   999.99   -3.418
    116.13   999.99   -3.406
    116.43   999.99   -3.389
    116.74   999.99   -3.375
    117.04   999.99   -3.358
    117.35   999.99   -3.334
    117.65   999.99   -3.311
    117.96   999.99   -3.294
    118.26   999.99   -3.282
    118.57   999.99   -3.267
    118.87   999.99   -3.248
    119.18   999.99   -3.227
    119.48   999.99   -3.209
    119.79   999.99   -3.191
    120.09   999.99   -3.177
    120.40   999.99   -3.167
    120.70   999.99   -3.149
    121.01   999.99   -3.134
    121.31   999.99   -3.123
    121.62   999.99   -3.110
    121.92   999.99   -3.089
    122.22   999.99   -3.008
    122.53   999.99   -3.005
    122.83   999.99   -2.996
    123.14   999.99   -2.988
    123.44   999.99   -2.978
    123.75   999.99   -2.964
    124.05   999.99   -2.947
    124.36   999.99   -2.928
    124.66   999.99   -2.919
    124.97   999.99   -2.909
    125.27   999.99   -2.893
    125.58   999.99   -2.878
    125.88   999.99   -2.857
    126.19   999.99   -2.834
    126.49   999.99   -2.817
    126.80   999.99   -2.799
    127.10   999.99   -2.785
    127.41   999.99   -2.765
    127.71   999.99   -2.741
    128.02   999.99   -2.726
    128.32   999.99   -2.712
    128.63   999.99   -2.694
    128.93   999.99   -2.673
    129.24   999.99   -2.651
    129.54   999.99   -2.636
    129.85   999.99   -2.619
    130.15   999.99   -2.603
    130.45   999.99   -2.590
    130.76   999.99   -2.571
    131.06   999.99   -2.553
    131.37   999.99   -2.535
    131.67   999.99   -2.516
    131.98   999.99   -2.498
    132.28   999.99   -2.477
    132.59   999.99   -2.456
    132.89   999.99   -2.439
    133.20   999.99   -2.419
    133.50   999.99   -2.400
    133.81   999.99   -2.374
    134.11   999.99   -2.354
    134.42   999.99   -2.339
    134.72   999.99   -2.324
    135.03   999.99   -2.308
    135.33   999.99   -2.290
    135.64   999.99   -2.269
    135.94   999.99   -2.247
    136.25   999.99   -2.225
    136.55   999.99   -2.204
    136.86   999.99   -2.187
    137.16   999.99   -2.171
    137.47   999.99   -2.149
    137.77   999.99   -2.132
    138.07   999.99   -2.112
    138.38   999.99   -2.091
    138.68   999.99   -2.077
    138.99   999.99   -2.061
    139.29   999.99   -2.045
    139.60   999.99   -2.024
    139.90   999.99   -2.003
    140.21   999.99   -1.982
    140.51   999.99   -1.966
    140.82   999.99   -1.944
    141.12   999.99   -1.927
    141.43   999.99   -1.905
    141.73   999.99   -1.881
    142.04   999.99   -1.852
    142.34   999.99   -1.829
    142.65   999.99   -1.814
    142.95   999.99   -1.798
    143.26   999.99   -1.777
    143.56   999.99   -1.763
    143.87   999.99   -1.753
    144.17   999.99   -1.738
    144.48   999.99   -1.715
    144.78   999.99   -1.702
    145.09   999.99   -1.688
    145.39   999.99   -1.675
    145.69   999.99   -1.654
    146.00   999.99   -1.627
    146.30   999.99   -1.613
    146.61   999.99   -1.597
    146.91   999.99   -1.580
    147.22   999.99   -1.565
    147.52   999.99   -1.545
    147.83   999.99   -1.532
    148.13   999.99   -1.521
    148.44   999.99   -1.507
    148.74   999.99   -1.485
    149.05   999.99   -1.470
    149.35   999.99   -1.458
    149.66   999.99   -1.444
    149.96   999.99   -1.430
    150.27   999.99   -1.417
    150.57   999.99   -1.404
    150.88   999.99   -1.389
    151.18   999.99   -1.375
    151.49   999.99   -1.366
    151.79   999.99   -1.354
    152.10   999.99   -1.343
    152.40   999.99   -1.330
    152.71   999.99   -1.286
    153.01   999.99   -1.280
    153.31   999.99   -1.276
    153.62   999.99   -1.271
    153.92   999.99   -1.263
    154.23   999.99   -1.255
    154.53   999.99   -1.247
    154.84   999.99   -1.238
    155.14   999.99   -1.231
    155.45   999.99   -1.222
    155.75   999.99   -1.213
    156.06   999.99   -1.205
    156.36   999.99   -1.196
    156.67   999.99   -1.186
    156.97   999.99   -1.175
    157.28   999.99   -1.163
    157.58   999.99   -1.150
    157.89   999.99   -1.141
    158.19   999.99   -1.132
    158.50   999.99   -1.126
    158.80   999.99   -1.119
    159.11   999.99   -1.111
    159.41   999.99   -1.106
    159.72   999.99   -1.097
    160.02   999.99   -1.089
    160.33   999.99   -1.081
    160.63   999.99   -1.071
    160.93   999.99   -1.064
    161.24   999.99   -1.058
    161.54   999.99   -1.051
    161.85   999.99   -1.046
    162.15   999.99   -1.036
    162.46   999.99   -1.030
    162.76   999.99   -1.024
    163.07   999.99   -1.018
    163.37   999.99   -1.012
    163.68   999.99   -1.006
    163.98   999.99   -1.000
    164.29   999.99    -.995
    164.59   999.99    -.988
    164.90   999.99    -.981
    165.20   999.99    -.976
    165.51   999.99    -.969
    165.81   999.99    -.964
    166.12   999.99    -.959
    166.42   999.99    -.952
    166.73   999.99    -.944
    167.03   999.99    -.935
    167.34   999.99    -.928
    167.64   999.99    -.922
    167.95   999.99    -.911
    168.25   999.99    -.905
    168.55   999.99    -.899
    168.86   999.99    -.891
    169.16   999.99    -.879
    169.47   999.99    -.870
    169.77   999.99    -.859
    170.08   999.99    -.849
    170.38   999.99    -.835
    170.69   999.99    -.823
    170.99   999.99    -.810
    171.30   999.99    -.799
    171.60   999.99    -.784
    171.91   999.99    -.771
    172.21   999.99    -.758
    172.52   999.99    -.747
    172.82   999.99    -.736
    173.13   999.99    -.732
    173.43   999.99    -.726
    173.74   999.99    -.720
    174.04   999.99    -.709
    174.35   999.99    -.696
    174.65   999.99    -.682
    174.96   999.99    -.670
    175.26   999.99    -.662
    175.57   999.99    -.652
    175.87   999.99    -.638
    176.17   999.99    -.627
    176.48   999.99    -.613
    176.78   999.99    -.602
    177.09   999.99    -.592
    177.39   999.99    -.581
    177.70   999.99    -.570
    178.00   999.99    -.548
    178.31   999.99    -.535
    178.61   999.99    -.520
    178.92   999.99    -.508
    179.22   999.99    -.497
    179.53   999.99    -.486
    179.83   999.99    -.474
    180.14   999.99    -.463
    180.44   999.99    -.452
    180.75   999.99    -.438
    181.05   999.99    -.424
    181.36   999.99    -.408
    181.66   999.99    -.397
    181.97   999.99    -.386
    182.27   999.99    -.374
    182.58   999.99    -.364
    182.88   999.99    -.356
    183.19   999.99    -.298
    183.49   999.99    -.295
    183.79   999.99    -.289
    184.10   999.99    -.283
    184.40   999.99    -.277
    184.71   999.99    -.270
    185.01   999.99    -.263
    185.32   999.99    -.255
    185.62   999.99    -.247
    185.93   999.99    -.239
    186.23   999.99    -.231
    186.54   999.99    -.219
    186.84   999.99    -.206
    187.15   999.99    -.197
    187.45   999.99    -.185
    187.76   999.99    -.175
    188.06   999.99    -.169
    188.37   999.99    -.156
    188.67   999.99    -.149
    188.98   999.99    -.141
    189.28   999.99    -.131
    189.59   999.99    -.121
    189.89   999.99    -.110
    190.20   999.99    -.100
    190.50   999.99    -.090
    190.81   999.99    -.078
    191.11   999.99    -.063
    191.41   999.99    -.047
    191.72   999.99    -.035
    192.02   999.99    -.019
    192.33   999.99    -.005
    192.63   999.99     .009
    192.94   999.99     .024
    193.24   999.99     .042
    193.55   999.99     .058
    193.85   999.99     .074
    194.16   999.99     .092
    194.46   999.99     .110
    194.77   999.99     .134
    195.07   999.99     .152
    195.38   999.99     .172
    195.68   999.99     .197
    195.99   999.99     .216
    196.29   999.99     .234
    196.60   999.99     .251
    196.90   999.99     .265
    197.21   999.99     .280
    197.51   999.99     .295
    197.82   999.99     .306
    198.12   999.99     .321
    198.43   999.99     .333
    198.73   999.99     .348
    199.03   999.99     .362
    199.34   999.99     .377
    199.64   999.99     .392
    199.95   999.99     .403
    200.25   999.99     .417
    200.56   999.99     .428
    200.86   999.99     .440
    201.17   999.99     .451
    201.47   999.99     .466
    201.78   999.99     .478
    202.08   999.99     .489
    202.39   999.99     .501
    202.69   999.99     .513
    203.00   999.99     .523
    203.30   999.99     .534
    203.61   999.99     .547
    203.91   999.99     .558
    204.22   999.99     .570
    204.52   999.99     .581
    204.83   999.99     .592
    205.13   999.99     .605
    205.44   999.99     .618
    205.74   999.99     .630
    206.05   999.99     .638
    206.35   999.99     .652
    206.65   999.99     .664
    206.96   999.99     .674
    207.26   999.99     .689
    207.57   999.99     .699
    207.87   999.99     .711
    208.18   999.99     .724
    208.48   999.99     .735
    208.79   999.99     .746
    209.09   999.99     .757
    209.40   999.99     .767
    209.70   999.99     .781
    210.01   999.99     .793
    210.31   999.99     .804
    210.62   999.99     .816
    210.92   999.99     .828
    211.23   999.99     .843
    211.53   999.99     .855
    211.84   999.99     .866
    212.14   999.99     .879
    212.45   999.99     .892
    212.75   999.99     .904
    213.06   999.99     .918
    213.36   999.99     .930
    213.67   999.99     .988
    213.97   999.99     .989
    214.27   999.99     .995
    214.58   999.99    1.002
    214.88   999.99    1.010
    215.19   999.99    1.018
    215.49   999.99    1.031
    215.80   999.99    1.045
    216.10   999.99    1.054
    216.41   999.99    1.066
    216.71   999.99    1.081
    217.02   999.99    1.092
    217.32   999.99    1.105
    217.63   999.99    1.117
    217.93   999.99    1.128
    218.24   999.99    1.137
    218.54   999.99    1.148
    218.85   999.99    1.157
    219.15   999.99    1.166
    219.46   999.99    1.181
    219.76   999.99    1.195
    220.07   999.99    1.207
    220.37   999.99    1.219
    220.68   999.99    1.230
    220.98   999.99    1.245
    221.29   999.99    1.257
    221.59   999.99    1.270
    221.89   999.99    1.283
    222.20   999.99    1.296
    222.50   999.99    1.307
    222.81   999.99    1.318
    223.11   999.99    1.329
    223.42   999.99    1.341
    223.72   999.99    1.351
    224.03   999.99    1.365
    224.33   999.99    1.382
    224.64   999.99    1.396
    224.94   999.99    1.409
    225.25   999.99    1.419
    225.55   999.99    1.425
    225.86   999.99    1.433
    226.16   999.99    1.443
    226.47   999.99    1.454
    226.77   999.99    1.468
    227.08   999.99    1.479
    227.38   999.99    1.490
    227.69   999.99    1.499
    227.99   999.99    1.506
    228.30   999.99    1.519
    228.60   999.99    1.529
    228.91   999.99    1.540
    229.21   999.99    1.550
    229.51   999.99    1.558
    229.82   999.99    1.567
    230.12   999.99    1.575
    230.43   999.99    1.583
    230.73   999.99    1.593
    231.04   999.99    1.604
    231.34   999.99    1.616
    231.65   999.99    1.627
    231.95   999.99    1.637
    232.26   999.99    1.645
    232.56   999.99    1.653
    232.87   999.99    1.665
    233.17   999.99    1.676
    233.48   999.99    1.689
    233.78   999.99    1.698
    234.09   999.99    1.706
    234.39   999.99    1.718
    234.70   999.99    1.728
    235.00   999.99    1.738
    235.31   999.99    1.748
    235.61   999.99    1.760
    235.92   999.99    1.772
    236.22   999.99    1.782
    236.53   999.99    1.793
    236.83   999.99    1.804
    237.13   999.99    1.811
    237.44   999.99    1.816
    237.74   999.99    1.828
    238.05   999.99    1.841
    238.35   999.99    1.853
    238.66   999.99    1.865
    238.96   999.99    1.875
    239.27   999.99    1.887
    239.57   999.99    1.899
    239.88   999.99    1.909
    240.18   999.99    1.920
    240.49   999.99    1.932
    240.79   999.99    1.944
    241.10   999.99    1.954
    241.40   999.99    1.963
    241.71   999.99    1.975
    242.01   999.99    1.990
    242.32   999.99    2.005
    242.62   999.99    2.019
    242.93   999.99    2.031
    243.23   999.99    2.042
    243.54   999.99    2.052
    243.84   999.99    2.063
    244.15   999.99    2.111
    244.45   999.99    2.113
    244.75   999.99    2.117
    245.06   999.99    2.121
    245.36   999.99    2.125
    245.67   999.99    2.136
    245.97   999.99    2.148
    246.28   999.99    2.158
    246.58   999.99    2.167
    246.89   999.99    2.180
    247.19   999.99    2.197
    247.50   999.99    2.208
    247.80   999.99    2.219
