 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             SME 
 Log Date:         80SEP14 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     12.19   999.99   -7.819
     15.24   999.99   -7.790
     18.29   999.99   -7.687
     21.34   999.99   -7.609
     24.38   999.99   -7.490
     27.43   999.99   -7.342
     30.48   999.99   -7.176
     33.53   999.99   -7.007
     36.58   999.99   -6.843
     39.62   999.99   -6.668
     42.67   999.99   -6.494
     45.72   999.99   -6.299
     48.77   999.99   -6.146
     51.82   999.99   -5.932
     54.86   999.99   -5.766
     57.91   999.99   -5.631
     60.96   999.99   -5.439
     64.01   999.99   -5.273
     67.06   999.99   -5.121
     70.10   999.99   -4.960
     73.15   999.99   -4.819
     76.20   999.99   -4.694
     79.25   999.99   -4.459
     82.30   999.99   -4.327
     85.34   999.99   -4.165
     88.39   999.99   -3.964
     91.44   999.99   -3.792
     94.49   999.99   -3.657
     97.54   999.99   -3.532
    100.58   999.99   -3.424
    103.63   999.99   -3.324
    106.68   999.99   -3.199
    109.73   999.99   -3.023
    112.78   999.99   -2.875
    115.82   999.99   -2.675
    118.87   999.99   -2.531
    121.92   999.99   -2.351
    124.97   999.99   -2.205
    128.02   999.99   -2.037
    131.06   999.99   -1.880
    134.11   999.99   -1.751
    137.16   999.99   -1.572
    140.21   999.99   -1.418
    143.26   999.99   -1.243
    146.30   999.99   -1.089
    149.35   999.99    -.982
    152.40   999.99    -.940
    155.45   999.99    -.912
    158.50   999.99    -.852
    161.54   999.99    -.751
    164.59   999.99    -.642
    167.64   999.99    -.449
    170.69   999.99    -.270
    173.74   999.99    -.074
    176.78   999.99     .124
    179.83   999.99     .288
    182.88   999.99     .427
    185.93   999.99     .575
    188.98   999.99     .736
    192.02   999.99     .853
    195.07   999.99     .995
    198.12   999.99    1.108
    201.17   999.99    1.227
    204.22   999.99    1.341
    207.26   999.99    1.468
    210.31   999.99    1.602
    213.36   999.99    1.707
    216.41   999.99    1.827
    219.46   999.99    1.935
    222.50   999.99    2.043
    225.55   999.99    2.137
    228.60   999.99    2.232
    231.65   999.99    2.325
    234.70   999.99    2.420
    237.74   999.99    2.545
    240.79   999.99    2.667
    243.84   999.99    2.775
    246.89   999.99    2.889
    249.94   999.99    3.006
    252.98   999.99    3.128
    256.03   999.99    3.267
    259.08   999.99    3.388
    262.13   999.99    3.538
    265.18   999.99    3.680
    268.22   999.99    3.816
    271.27   999.99    3.959
    274.32   999.99    4.113
    277.37   999.99    4.180
    280.42   999.99    4.284
    283.46   999.99    4.378
    286.51   999.99    4.492
    289.56   999.99    4.597
    292.61   999.99    4.705
    295.66   999.99    4.864
    298.70   999.99    5.029
    301.75   999.99    5.216
    304.80   999.99    5.351
    307.85   999.99    5.521
    310.90   999.99    5.718
    313.94   999.99    5.893
    316.99   999.99    6.086
    320.04   999.99    6.244
    323.09   999.99    6.435
    326.14   999.99    6.614
    329.18   999.99    6.786
    332.23   999.99    6.913
    335.28   999.99    7.023
    338.33   999.99    7.099
    341.38   999.99    7.182
    344.42   999.99    7.273
    347.47   999.99    7.388
    350.52   999.99    7.501
    353.57   999.99    7.613
    356.62   999.99    7.728
    359.66   999.99    7.835
    362.71   999.99    7.986
    365.76   999.99    8.119
    368.81   999.99    8.287
    371.86   999.99    8.438
    374.90   999.99    8.613
    377.95   999.99    8.791
    381.00   999.99    9.006
    384.05   999.99    9.177
    387.10   999.99    9.390
    390.14   999.99    9.609
    393.19   999.99    9.892
    396.24   999.99   10.082
    399.29   999.99   10.204
    402.34   999.99   10.299
    405.38   999.99   10.421
    408.43   999.99   10.605
    411.48   999.99   10.822
    414.53   999.99   11.053
    417.58   999.99   11.321
    420.62   999.99   11.572
    423.67   999.99   11.767
    426.72   999.99   11.933
    429.77   999.99   11.999
    432.82   999.99   12.010
    435.86   999.99   11.958
    438.91   999.99   11.952
    441.96   999.99   11.992
    445.01   999.99   12.061
    448.06   999.99   12.172
    451.10   999.99   12.283
    454.15   999.99   12.441
    457.20   999.99   12.595
    460.25   999.99   12.766
    463.30   999.99   12.927
    466.34   999.99   13.062
    469.39   999.99   13.170
    472.44   999.99   13.263
    475.49   999.99   13.362
    478.54   999.99   13.475
    481.58   999.99   13.591
    484.63   999.99   13.695
    487.68   999.99   13.806
    490.73   999.99   13.928
    493.78   999.99   14.051
    496.83   999.99   14.171
    499.87   999.99   14.276
    502.92   999.99   14.639
    505.97   999.99   14.710
    509.02   999.99   14.801
    512.07   999.99   14.940
    515.11   999.99   15.049
    518.16   999.99   15.149
    521.21   999.99   15.400
    524.26   999.99   15.470
    527.31   999.99   15.552
    530.35   999.99   15.645
    533.40   999.99   15.728
    536.45   999.99   15.784
    539.50   999.99   15.931
