 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             SO2 
 Log Date:         50JAN00 
 Type of Log:      incremental 
 Type of Sensor:   thermistors
 Measuring Device: bridge
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     22.86   999.99   -8.682
     28.96   999.99   -8.804
     35.05   999.99   -8.880
     41.15   999.99   -8.891
     47.24   999.99   -8.867
     53.34   999.99   -8.864
     59.44   999.99   -8.749
     65.53   999.99   -8.681
     71.63   999.99   -8.615
     77.72   999.99   -8.496
     83.82   999.99   -8.367
     89.92   999.99   -8.257
     96.01   999.99   -8.110
    102.11   999.99   -7.964
    108.20   999.99   -7.890
    114.30   999.99   -7.680
    120.40   999.99   -7.462
    126.49   999.99   -7.271
    132.59   999.99   -7.100
    138.68   999.99   -6.873
    144.78   999.99   -6.752
    150.88   999.99   -6.492
    156.97   999.99   -6.346
    163.07   999.99   -6.165
    169.16   999.99   -6.043
    175.26   999.99   -5.841
    181.36   999.99   -5.764
