 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             SO2 
 Log Date:         51MAR00 
 Type of Log:      incremental 
 Type of Sensor:   thermistors
 Measuring Device: bridge
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     22.86   999.99   -9.587
     28.96   999.99   -9.696
     35.05   999.99   -9.777
     41.15   999.99   -9.781
     47.24   999.99   -9.778
     53.34   999.99   -9.724
     59.44   999.99   -9.620
     65.53   999.99   -9.538
     71.63   999.99   -9.408
     77.72   999.99   -9.276
     83.82   999.99   -9.182
     89.92   999.99   -9.036
     96.01   999.99   -8.901
    102.11   999.99   -8.719
    108.20   999.99   -8.577
    114.30   999.99   -8.411
    120.40   999.99   -8.201
    126.49   999.99   -8.051
    132.59   999.99   -7.865
    138.68   999.99   -7.643
    144.78   999.99   -7.508
    150.88   999.99   -7.294
    156.97   999.99   -7.139
    163.07   999.99   -6.944
    169.16   999.99   -6.794
    175.26   999.99   -6.574
    181.36   999.99   -6.462
