 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             SOH 
 Log Date:         81AUG21 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     15.24   999.99   -9.819
     18.29   999.99   -9.743
     21.34   999.99   -9.650
     24.38   999.99   -9.561
     27.43   999.99   -9.492
     30.48   999.99   -9.439
     33.53   999.99   -9.360
     36.58   999.99   -9.301
     39.62   999.99   -9.229
     42.67   999.99   -9.174
     45.72   999.99   -9.136
     48.77   999.99   -9.093
     51.82   999.99   -9.070
     54.86   999.99   -9.040
     57.91   999.99   -9.017
     60.96   999.99   -8.992
     64.01   999.99   -8.961
     67.06   999.99   -8.927
     70.10   999.99   -8.870
     73.15   999.99   -8.846
     76.20   999.99   -8.825
     79.25   999.99   -8.770
     82.30   999.99   -8.747
     85.34   999.99   -8.698
     88.39   999.99   -8.636
     91.44   999.99   -8.586
     94.49   999.99   -8.522
     97.54   999.99   -8.460
    100.58   999.99   -8.365
    103.63   999.99   -8.281
    106.68   999.99   -8.209
    109.73   999.99   -8.135
    112.78   999.99   -8.052
    115.82   999.99   -7.965
    118.87   999.99   -7.883
    121.92   999.99   -7.810
    124.97   999.99   -7.725
    128.02   999.99   -7.658
    131.06   999.99   -7.580
    134.11   999.99   -7.500
    137.16   999.99   -7.421
    140.21   999.99   -7.330
    143.26   999.99   -7.249
    146.30   999.99   -7.170
    149.35   999.99   -7.076
    152.40   999.99   -6.961
    155.45   999.99   -6.838
    158.50   999.99   -6.741
    161.54   999.99   -6.640
    164.59   999.99   -6.533
    167.64   999.99   -6.400
    170.69   999.99   -6.302
    173.74   999.99   -6.223
    176.78   999.99   -6.106
    179.83   999.99   -6.001
    182.88   999.99   -5.911
    185.93   999.99   -5.836
    188.98   999.99   -5.733
    192.02   999.99   -5.643
    195.07   999.99   -5.535
    198.12   999.99   -5.445
    201.17   999.99   -5.353
    204.22   999.99   -5.259
    207.26   999.99   -5.147
    210.31   999.99   -5.045
    213.36   999.99   -4.937
    216.41   999.99   -4.836
    219.46   999.99   -4.739
    222.50   999.99   -4.647
    225.55   999.99   -4.570
    228.60   999.99   -4.485
    231.65   999.99   -4.361
    234.70   999.99   -4.268
    237.74   999.99   -4.160
    240.79   999.99   -4.066
    243.84   999.99   -3.979
    246.89   999.99   -3.885
    249.94   999.99   -3.825
    252.98   999.99   -3.758
    256.03   999.99   -3.667
