 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             SOH 
 Log Date:         78SEP15 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      9.14   999.99   -8.591
     12.19   999.99   -8.898
     15.24   999.99   -8.902
     18.29   999.99   -8.897
     21.34   999.99   -8.881
     24.38   999.99   -8.844
     27.43   999.99   -8.796
     30.48   999.99   -8.718
     33.53   999.99   -8.606
     36.58   999.99   -8.533
     39.62   999.99   -8.451
     42.67   999.99   -8.414
     45.72   999.99   -8.414
     48.77   999.99   -8.431
     51.82   999.99   -8.471
     54.86   999.99   -8.487
     57.91   999.99   -8.493
     60.96   999.99   -8.489
     64.01   999.99   -8.471
     67.06   999.99   -8.443
     70.10   999.99   -8.405
     73.15   999.99   -8.369
     76.20   999.99   -8.259
     79.25   999.99   -8.178
     82.30   999.99   -8.108
     85.34   999.99   -8.050
     88.39   999.99   -7.989
     91.44   999.99   -7.924
     94.49   999.99   -7.812
     97.54   999.99   -7.742
    100.58   999.99   -7.619
    103.63   999.99   -7.522
    106.68   999.99   -7.457
    109.73   999.99   -7.344
    112.78   999.99   -7.268
    115.82   999.99   -7.189
    118.87   999.99   -7.122
    121.92   999.99   -7.050
    124.97   999.99   -6.993
    128.02   999.99   -6.920
    131.06   999.99   -6.860
    134.11   999.99   -6.787
    137.16   999.99   -6.713
    140.21   999.99   -6.620
    143.26   999.99   -6.516
    146.30   999.99   -6.399
    149.35   999.99   -6.290
    152.40   999.99   -6.171
    155.45   999.99   -6.044
    158.50   999.99   -5.932
    161.54   999.99   -5.821
    164.59   999.99   -5.727
    167.64   999.99   -5.601
    170.69   999.99   -5.510
    173.74   999.99   -5.423
    176.78   999.99   -5.342
    179.83   999.99   -5.238
    182.88   999.99   -5.177
    185.93   999.99   -5.075
    188.98   999.99   -4.971
    192.02   999.99   -4.898
    195.07   999.99   -4.766
    198.12   999.99   -4.661
    201.17   999.99   -4.582
    204.22   999.99   -4.486
    207.26   999.99   -4.398
    210.31   999.99   -4.274
    213.36   999.99   -4.175
    216.41   999.99   -4.098
    219.46   999.99   -4.019
    222.50   999.99   -3.917
    225.55   999.99   -3.796
    228.60   999.99   -3.726
    231.65   999.99   -3.605
    234.70   999.99   -3.487
    237.74   999.99   -3.378
    240.79   999.99   -3.281
    243.84   999.99   -3.183
    246.89   999.99   -3.087
    249.94   999.99   -3.009
    252.98   999.99   -2.927
    256.03   999.99   -2.837
    259.08   999.99   -2.777
    262.13   999.99   -2.735
