 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             SOH 
 Log Date:         77DEC16 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      5.18   999.99   -6.009
      6.71   999.99   -5.792
      9.75   999.99   -7.021
     12.80   999.99   -7.869
     15.85   999.99   -8.199
     18.90   999.99   -8.260
     21.95   999.99   -8.237
     24.99   999.99   -8.133
     28.04   999.99   -8.016
     31.09   999.99   -7.938
     34.14   999.99   -7.795
     37.19   999.99   -7.619
     40.23   999.99   -7.526
     43.28   999.99   -7.456
     46.33   999.99   -7.457
     49.38   999.99   -7.575
     52.43   999.99   -7.756
     55.47   999.99   -7.864
     58.52   999.99   -7.965
     61.57   999.99   -7.972
     64.62   999.99   -7.969
     67.67   999.99   -7.944
     70.71   999.99   -7.891
     73.76   999.99   -7.840
     76.81   999.99   -7.773
     79.86   999.99   -7.699
     82.91   999.99   -7.624
     85.95   999.99   -7.556
     89.00   999.99   -7.499
     92.05   999.99   -7.439
     95.10   999.99   -7.303
     98.15   999.99   -7.183
    101.19   999.99   -7.053
    104.24   999.99   -6.938
    107.29   999.99   -6.845
    110.34   999.99   -6.734
    113.39   999.99   -6.660
    116.43   999.99   -6.591
    119.48   999.99   -6.522
    122.53   999.99   -6.462
    125.58   999.99   -6.415
    128.63   999.99   -6.368
    131.67   999.99   -6.312
    134.72   999.99   -6.243
    137.77   999.99   -6.161
    140.82   999.99   -6.108
    143.87   999.99   -6.034
    146.91   999.99   -5.909
    149.96   999.99   -5.799
    153.01   999.99   -5.664
    156.06   999.99   -5.505
    159.11   999.99   -5.413
    162.15   999.99   -5.295
    165.20   999.99   -5.184
    168.25   999.99   -5.085
    171.30   999.99   -5.019
    174.35   999.99   -4.915
    177.39   999.99   -4.850
    180.44   999.99   -4.771
    183.49   999.99   -4.659
    186.54   999.99   -4.577
    189.59   999.99   -4.493
    192.63   999.99   -4.424
    195.68   999.99   -4.327
    198.73   999.99   -4.210
    201.78   999.99   -4.097
    204.83   999.99   -4.024
    207.87   999.99   -3.949
    210.92   999.99   -3.833
    213.97   999.99   -3.742
    217.02   999.99   -3.655
    220.07   999.99   -3.568
    223.11   999.99   -3.463
    226.16   999.99   -3.353
    229.21   999.99   -3.262
    232.26   999.99   -3.189
    235.31   999.99   -3.119
    238.35   999.99   -3.037
    241.40   999.99   -2.941
    244.45   999.99   -2.880
    247.50   999.99   -2.797
    250.55   999.99   -2.732
    253.59   999.99   -2.649
    256.64   999.99   -2.594
    259.69   999.99   -2.528
    262.74   999.99   -2.409
    265.79   999.99   -2.348
    266.70   999.99   -2.300
