 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             SWH 
 Log Date:         75JUL07 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     15.24   999.99     .089
     30.48   999.99     .104
     45.72   999.99     .276
     60.96   999.99     .518
     76.20   999.99     .615
     91.44   999.99     .771
    106.68   999.99    1.178
    109.73   999.99    1.379
    112.78   999.99    1.426
    115.82   999.99    1.505
    118.87   999.99    1.591
    121.92   999.99    1.687
    124.97   999.99    1.752
    128.02   999.99    1.806
    131.06   999.99    1.878
    134.11   999.99    2.051
    137.16   999.99    2.709
    140.21   999.99    2.512
    143.26   999.99    2.375
    146.30   999.99    2.322
    149.35   999.99    2.324
    152.40   999.99    2.344
    155.45   999.99    2.382
    158.50   999.99    2.461
    161.54   999.99    2.590
    164.59   999.99    2.635
    167.64   999.99    2.704
    170.69   999.99    2.824
    173.74   999.99    3.590
    176.78   999.99    3.612
    179.83   999.99    3.535
    182.88   999.99    3.656
    185.93   999.99    3.768
    188.98   999.99    3.724
    192.02   999.99    3.791
    195.07   999.99    3.778
    198.12   999.99    3.802
    201.17   999.99    3.842
    204.22   999.99    3.913
    207.26   999.99    3.984
    210.31   999.99    4.047
    213.36   999.99    4.105
    216.41   999.99    4.183
    219.46   999.99    4.259
    222.50   999.99    4.323
    225.55   999.99    4.399
    228.60   999.99    4.493
    231.65   999.99    4.554
    234.70   999.99    4.608
    237.74   999.99    4.701
    240.79   999.99    4.756
    243.84   999.99    4.853
    246.89   999.99    5.047
    249.94   999.99    5.082
    252.98   999.99    5.147
    256.03   999.99    5.187
    259.08   999.99    5.353
    262.13   999.99    5.525
    265.18   999.99    6.654
    268.22   999.99    6.424
    271.27   999.99    6.499
    274.32   999.99    6.585
    277.37   999.99    6.660
    280.42   999.99    6.728
    283.46   999.99    6.746
    286.51   999.99    6.773
    289.56   999.99    6.783
    292.61   999.99    6.735
