 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             TAT 
 Log Date:         75JUL24 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     15.24   999.99    2.426
     30.48   999.99    1.894
     45.72   999.99    1.916
     60.96   999.99    1.999
     76.20   999.99    2.139
     91.44   999.99    2.320
    106.68   999.99    2.555
    121.92   999.99    2.819
    137.16   999.99    3.129
    152.40   999.99    3.473
    155.45   999.99    3.555
    158.50   999.99    3.631
    161.54   999.99    3.694
    164.59   999.99    3.764
    167.64   999.99    3.811
    170.69   999.99    3.877
    173.74   999.99    3.947
    176.78   999.99    4.020
    179.83   999.99    4.113
    182.88   999.99    4.170
    185.93   999.99    4.229
    188.98   999.99    4.279
    192.02   999.99    4.333
    195.07   999.99    4.389
    198.12   999.99    4.439
    201.17   999.99    4.581
    204.22   999.99    4.662
    207.26   999.99    4.716
    208.79   999.99    4.717
