 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             TJ2 
 Log Date:         74SEP03 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      6.10   999.99    -.593
      9.14   999.99    -.602
     12.19   999.99    -.602
     15.24   999.99    -.604
     18.29   999.99    -.597
     21.34   999.99    -.573
     24.38   999.99    -.562
     27.43   999.99    -.551
     30.48   999.99    -.529
     33.53   999.99    -.493
     36.58   999.99    -.444
     39.62   999.99    -.382
     42.67   999.99    -.252
     45.72   999.99    -.141
     48.77   999.99    -.106
     51.82   999.99    -.151
     54.86   999.99    -.189
     57.91   999.99    -.189
     60.96   999.99    -.164
     64.01   999.99    -.131
     67.06   999.99    -.099
     70.10   999.99    -.038
     73.15   999.99     .000
     76.20   999.99     .032
     79.25   999.99     .063
     82.30   999.99     .134
     85.34   999.99     .192
     88.39   999.99     .230
     91.44   999.99     .297
     94.49   999.99     .313
     97.54   999.99     .319
    100.58   999.99     .344
    103.63   999.99     .397
    106.68   999.99     .487
    109.73   999.99     .580
    112.78   999.99     .660
    115.82   999.99     .761
    118.87   999.99     .815
    121.92   999.99     .828
    124.97   999.99     .813
    128.02   999.99     .763
    131.06   999.99     .764
    134.11   999.99     .792
    137.16   999.99     .827
    140.21   999.99     .858
    143.26   999.99    1.037
    146.30   999.99    1.011
    149.35   999.99    1.071
    151.85   999.99    1.048
