 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             TLK 
 Log Date:         84JUL31a
 Type of Log:      continuous  
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      no 
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     12.80   999.99   -5.599
     13.11   999.99   -6.029
     13.41   999.99   -6.497
     13.72   999.99   -6.760
     14.02   999.99   -6.971
     14.33   999.99   -7.252
     14.63   999.99   -7.384
     14.94   999.99   -7.487
     15.24   999.99   -7.609
     15.54   999.99   -7.681
     15.85   999.99   -7.799
     16.15   999.99   -7.839
     16.46   999.99   -7.864
     16.76   999.99   -7.903
     17.07   999.99   -7.919
     17.37   999.99   -7.940
     17.68   999.99   -7.953
     17.98   999.99   -7.955
     18.29   999.99   -7.956
     18.59   999.99   -7.944
     18.90   999.99   -7.945
     19.20   999.99   -7.948
     19.51   999.99   -7.944
     19.81   999.99   -7.959
     20.12   999.99   -7.960
     20.42   999.99   -7.958
     20.12   999.99   -7.954
     20.42   999.99   -7.953
     20.73   999.99   -7.942
     21.03   999.99   -7.933
     21.34   999.99   -7.930
     21.64   999.99   -7.924
     21.95   999.99   -7.918
     22.25   999.99   -7.913
     22.56   999.99   -7.900
     22.86   999.99   -7.895
     23.16   999.99   -7.886
     23.47   999.99   -7.862
     23.77   999.99   -7.851
     24.08   999.99   -7.825
     24.38   999.99   -7.805
     24.69   999.99   -7.796
     24.99   999.99   -7.775
     25.30   999.99   -7.759
     25.60   999.99   -7.746
     25.91   999.99   -7.724
     26.21   999.99   -7.712
     26.52   999.99   -7.700
     26.82   999.99   -7.680
     27.13   999.99   -7.668
     27.43   999.99   -7.651
     27.74   999.99   -7.635
     28.04   999.99   -7.626
     28.35   999.99   -7.607
     28.65   999.99   -7.598
     28.96   999.99   -7.591
     29.26   999.99   -7.575
     29.57   999.99   -7.564
     29.87   999.99   -7.553
     30.18   999.99   -7.540
     30.48   999.99   -7.533
     30.78   999.99   -7.473
     31.09   999.99   -7.473
     31.39   999.99   -7.473
     31.70   999.99   -7.473
     32.00   999.99   -7.472
     32.31   999.99   -7.469
     32.61   999.99   -7.462
     32.92   999.99   -7.456
     33.22   999.99   -7.450
     33.53   999.99   -7.441
     33.83   999.99   -7.435
     34.14   999.99   -7.428
     34.44   999.99   -7.425
     34.75   999.99   -7.420
     35.05   999.99   -7.411
     35.36   999.99   -7.406
     35.66   999.99   -7.401
     35.97   999.99   -7.392
     36.27   999.99   -7.388
     36.58   999.99   -7.384
     36.88   999.99   -7.378
     37.19   999.99   -7.374
     37.49   999.99   -7.365
     37.80   999.99   -7.360
     38.10   999.99   -7.355
     38.40   999.99   -7.349
     38.71   999.99   -7.346
     39.01   999.99   -7.343
     39.32   999.99   -7.336
     39.62   999.99   -7.333
     39.93   999.99   -7.329
     40.23   999.99   -7.325
     40.54   999.99   -7.324
     40.84   999.99   -7.319
     41.15   999.99   -7.319
     41.45   999.99   -7.316
     41.76   999.99   -7.313
     42.06   999.99   -7.312
     42.37   999.99   -7.309
     42.67   999.99   -7.306
     42.98   999.99   -7.303
     43.28   999.99   -7.300
     43.59   999.99   -7.299
     43.89   999.99   -7.299
     44.20   999.99   -7.294
     44.50   999.99   -7.289
     44.81   999.99   -7.289
     45.11   999.99   -7.284
     45.42   999.99   -7.280
     45.72   999.99   -7.278
     46.02   999.99   -7.275
     46.33   999.99   -7.273
     46.63   999.99   -7.268
     46.94   999.99   -7.266
     47.24   999.99   -7.264
     47.55   999.99   -7.263
     47.85   999.99   -7.260
     48.16   999.99   -7.258
     48.46   999.99   -7.256
     48.77   999.99   -7.255
     49.07   999.99   -7.252
     49.38   999.99   -7.249
     49.68   999.99   -7.246
     49.99   999.99   -7.242
     50.29   999.99   -7.240
     50.60   999.99   -7.239
     50.90   999.99   -7.234
     51.21   999.99   -7.231
     51.51   999.99   -7.229
     51.82   999.99   -7.225
     52.12   999.99   -7.222
     52.43   999.99   -7.215
     52.73   999.99   -7.212
     53.04   999.99   -7.208
     53.34   999.99   -7.203
     53.64   999.99   -7.200
     53.95   999.99   -7.196
     54.25   999.99   -7.193
     54.56   999.99   -7.190
     54.86   999.99   -7.183
     55.17   999.99   -7.180
     55.47   999.99   -7.178
     55.78   999.99   -7.176
     56.08   999.99   -7.174
     56.39   999.99   -7.170
     56.69   999.99   -7.167
     57.00   999.99   -7.163
     57.30   999.99   -7.157
     57.61   999.99   -7.154
     57.91   999.99   -7.152
     58.22   999.99   -7.148
     58.52   999.99   -7.146
     58.83   999.99   -7.144
     59.13   999.99   -7.142
     59.44   999.99   -7.141
     59.74   999.99   -7.138
     60.05   999.99   -7.136
     60.35   999.99   -7.134
     60.66   999.99   -7.133
     60.96   999.99   -7.132
     61.26   999.99   -7.122
     61.57   999.99   -7.122
     61.87   999.99   -7.122
     62.18   999.99   -7.122
     62.48   999.99   -7.121
     62.79   999.99   -7.121
     63.09   999.99   -7.119
     63.40   999.99   -7.119
     63.70   999.99   -7.119
     64.01   999.99   -7.118
     64.31   999.99   -7.118
     64.62   999.99   -7.117
     64.92   999.99   -7.115
     65.23   999.99   -7.114
     65.53   999.99   -7.113
     65.84   999.99   -7.113
     66.14   999.99   -7.112
     66.45   999.99   -7.112
     66.75   999.99   -7.110
     67.06   999.99   -7.109
     67.36   999.99   -7.108
     67.67   999.99   -7.105
     67.97   999.99   -7.102
     68.28   999.99   -7.100
     68.58   999.99   -7.098
     68.88   999.99   -7.094
     69.19   999.99   -7.091
     69.49   999.99   -7.089
     69.80   999.99   -7.085
     70.10   999.99   -7.080
     70.41   999.99   -7.072
     70.71   999.99   -7.068
     71.02   999.99   -7.066
     71.32   999.99   -7.062
     71.63   999.99   -7.059
     71.93   999.99   -7.053
     72.24   999.99   -7.046
     72.54   999.99   -7.041
     72.85   999.99   -7.029
     73.15   999.99   -7.023
     73.46   999.99   -7.018
     73.76   999.99   -7.010
     74.07   999.99   -7.005
     74.37   999.99   -6.996
     74.68   999.99   -6.988
     74.98   999.99   -6.981
     75.29   999.99   -6.973
     75.59   999.99   -6.968
     75.90   999.99   -6.962
     76.20   999.99   -6.954
     76.50   999.99   -6.943
     76.81   999.99   -6.928
     77.11   999.99   -6.919
     77.42   999.99   -6.907
     77.72   999.99   -6.895
     78.03   999.99   -6.885
     78.33   999.99   -6.874
     78.64   999.99   -6.862
     78.94   999.99   -6.853
     79.25   999.99   -6.841
     79.55   999.99   -6.831
     79.86   999.99   -6.822
     80.16   999.99   -6.809
