 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             TLK 
 Log Date:         84JUL31b
 Type of Log:      incremental  
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     15.24   999.99   -7.623
     16.76   999.99   -7.908
     18.29   999.99   -7.956
     19.81   999.99   -7.959
     21.34   999.99   -7.931
     22.86   999.99   -7.894
     24.38   999.99   -7.804
     25.91   999.99   -7.723
     27.43   999.99   -7.650
     28.96   999.99   -7.589
     30.48   999.99   -7.533
     32.00   999.99   -7.470
     33.53   999.99   -7.439
     35.05   999.99   -7.411
     36.58   999.99   -7.384
     38.10   999.99   -7.355
     39.62   999.99   -7.332
     41.15   999.99   -7.318
     42.67   999.99   -7.305
     44.20   999.99   -7.293
     45.72   999.99   -7.279
     47.24   999.99   -7.264
     48.77   999.99   -7.254
     50.29   999.99   -7.241
     51.82   999.99   -7.225
     53.34   999.99   -7.203
     54.86   999.99   -7.183
     56.39   999.99   -7.170
     57.91   999.99   -7.151
     59.44   999.99   -7.140
     60.96   999.99   -7.132
     62.48   999.99   -7.121
     64.01   999.99   -7.118
     65.53   999.99   -7.114
     67.06   999.99   -7.109
     68.58   999.99   -7.096
     70.10   999.99   -7.077
     71.63   999.99   -7.059
     73.15   999.99   -7.022
     74.68   999.99   -6.987
     76.20   999.99   -6.951
     77.72   999.99   -6.891
     79.25   999.99   -6.839
     80.77   999.99   -6.776
     82.30   999.99   -6.714
     83.82   999.99   -6.648
     85.34   999.99   -6.565
     86.87   999.99   -6.493
     88.39   999.99   -6.428
     89.92   999.99   -6.371
     91.44   999.99   -6.328
     92.96   999.99   -6.280
     94.49   999.99   -6.252
     96.01   999.99   -6.215
     97.54   999.99   -6.182
     99.06   999.99   -6.138
    100.58   999.99   -6.092
    102.11   999.99   -6.054
    103.63   999.99   -6.004
    105.16   999.99   -5.961
    106.68   999.99   -5.905
    108.20   999.99   -5.852
    109.73   999.99   -5.791
    111.25   999.99   -5.732
    112.78   999.99   -5.666
    114.30   999.99   -5.598
    115.82   999.99   -5.534
    117.35   999.99   -5.479
    118.87   999.99   -5.434
    120.40   999.99   -5.388
    121.92   999.99   -5.326
    123.44   999.99   -5.250
    124.97   999.99   -5.188
    126.49   999.99   -5.097
    128.02   999.99   -5.036
    129.54   999.99   -4.955
    131.06   999.99   -4.893
    132.59   999.99   -4.839
    134.11   999.99   -4.779
    135.64   999.99   -4.717
    137.16   999.99   -4.671
    138.68   999.99   -4.608
    140.21   999.99   -4.562
    141.73   999.99   -4.524
    143.26   999.99   -4.492
    144.78   999.99   -4.452
    146.30   999.99   -4.419
    147.83   999.99   -4.390
    149.35   999.99   -4.363
    150.88   999.99   -4.332
    152.40   999.99   -4.306
    153.92   999.99   -4.274
    155.45   999.99   -4.244
    156.97   999.99   -4.206
    158.50   999.99   -4.167
    160.02   999.99   -4.105
    161.54   999.99   -4.062
    163.07   999.99   -4.013
    164.59   999.99   -3.965
    166.12   999.99   -3.919
    167.64   999.99   -3.873
    169.16   999.99   -3.830
    170.69   999.99   -3.786
    172.21   999.99   -3.756
    173.74   999.99   -3.717
    175.26   999.99   -3.681
    176.78   999.99   -3.647
    178.31   999.99   -3.615
    179.83   999.99   -3.580
    181.36   999.99   -3.534
    182.88   999.99   -3.496
    184.40   999.99   -3.427
    185.93   999.99   -3.383
    187.45   999.99   -3.322
    188.98   999.99   -3.251
    190.50   999.99   -3.186
    192.02   999.99   -3.124
    193.55   999.99   -3.054
    195.07   999.99   -2.995
    196.60   999.99   -2.914
    198.12   999.99   -2.847
    199.64   999.99   -2.769
    201.17   999.99   -2.669
    202.69   999.99   -2.574
    204.22   999.99   -2.458
    205.74   999.99   -2.358
    207.26   999.99   -2.258
    208.79   999.99   -2.182
    210.31   999.99   -2.099
    211.84   999.99   -2.034
    213.36   999.99   -1.988
    214.88   999.99   -1.876
    216.41   999.99   -1.854
    217.93   999.99   -1.812
    219.46   999.99   -1.771
    220.98   999.99   -1.734
    222.50   999.99   -1.701
    224.03   999.99   -1.668
    225.55   999.99   -1.644
    227.08   999.99   -1.622
    228.60   999.99   -1.603
    230.12   999.99   -1.585
    231.65   999.99   -1.564
    233.17   999.99   -1.541
    234.70   999.99   -1.515
    236.22   999.99   -1.486
    237.74   999.99   -1.446
    239.27   999.99   -1.405
    240.79   999.99   -1.351
    242.32   999.99   -1.288
    243.84   999.99   -1.234
    245.36   999.99   -1.150
    246.89   999.99   -1.114
    248.41   999.99   -1.069
