 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             TLK 
 Log Date:         83AUG24 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     24.38   999.99   -7.458
     27.43   999.99   -7.374
     30.48   999.99   -7.273
     33.53   999.99   -7.211
     36.58   999.99   -7.153
     39.62   999.99   -7.118
     42.67   999.99   -7.089
     45.72   999.99   -7.063
     48.77   999.99   -7.044
     51.82   999.99   -7.007
     54.86   999.99   -6.962
     57.91   999.99   -6.922
     60.96   999.99   -6.914
     64.01   999.99   -6.913
     67.06   999.99   -6.913
     70.10   999.99   -6.888
     73.15   999.99   -6.824
     76.20   999.99   -6.715
     79.25   999.99   -6.595
     82.30   999.99   -6.446
     85.34   999.99   -6.253
     88.39   999.99   -6.145
     91.44   999.99   -6.063
     94.49   999.99   -5.990
     97.54   999.99   -5.913
    100.58   999.99   -5.828
    103.63   999.99   -5.716
    106.68   999.99   -5.619
    109.73   999.99   -5.492
    112.78   999.99   -5.365
    115.82   999.99   -5.261
    118.87   999.99   -5.137
    121.92   999.99   -5.029
    124.97   999.99   -4.872
    128.02   999.99   -4.733
    131.06   999.99   -4.583
    134.11   999.99   -4.502
    137.16   999.99   -4.380
    140.21   999.99   -4.291
    143.26   999.99   -4.244
    146.30   999.99   -4.184
    149.35   999.99   -4.134
    152.40   999.99   -4.081
    155.45   999.99   -4.010
    158.50   999.99   -3.938
    161.54   999.99   -3.825
    164.59   999.99   -3.744
    167.64   999.99   -3.635
    170.69   999.99   -3.567
    173.74   999.99   -3.513
    176.78   999.99   -3.458
    179.83   999.99   -3.376
    182.88   999.99   -3.293
    185.93   999.99   -3.193
    188.98   999.99   -3.013
    192.02   999.99   -2.920
    195.07   999.99   -2.787
    198.12   999.99   -2.633
    201.17   999.99   -2.405
    204.22   999.99   -2.165
    207.26   999.99   -2.007
    210.31   999.99   -1.852
    213.36   999.99   -1.714
    216.41   999.99   -1.596
    219.46   999.99   -1.500
    222.50   999.99   -1.449
    225.55   999.99   -1.438
    228.60   999.99   -1.435
    231.65   999.99   -1.425
    234.70   999.99   -1.393
    237.74   999.99   -1.316
    240.79   999.99   -1.223
    243.84   999.99   -1.108
    246.89   999.99   -1.021
    249.94   999.99    -.895
    252.98   999.99    -.795
    256.03   999.99    -.671
    259.08   999.99    -.581
    262.13   999.99    -.442
    265.18   999.99    -.318
    268.22   999.99    -.183
    271.27   999.99     .056
    274.32   999.99     .272
    277.37   999.99     .503
    280.42   999.99     .696
    283.46   999.99     .865
    286.51   999.99    1.015
    289.56   999.99    1.174
    292.61   999.99    1.278
    295.66   999.99    1.407
    298.70   999.99    1.550
    301.75   999.99    1.653
    304.80   999.99    1.753
    307.85   999.99    1.855
    310.90   999.99    1.941
    313.94   999.99    2.046
    316.99   999.99    2.137
    320.04   999.99    2.243
    323.09   999.99    2.360
    326.14   999.99    2.490
    329.18   999.99    2.601
    332.23   999.99    2.711
    335.28   999.99    2.802
    338.33   999.99    2.942
    341.38   999.99    3.069
    344.42   999.99    3.247
    347.47   999.99    3.356
    350.52   999.99    3.462
    353.57   999.99    3.539
    356.62   999.99    3.610
    359.66   999.99    3.700
    362.71   999.99    3.795
    365.76   999.99    3.916
    368.81   999.99    4.017
    371.86   999.99    4.136
    374.90   999.99    4.232
    377.95   999.99    4.329
    381.00   999.99    4.434
    384.05   999.99    4.518
    387.10   999.99    4.645
    390.14   999.99    4.745
    393.19   999.99    4.853
    396.24   999.99    4.932
    399.29   999.99    5.010
    402.34   999.99    5.110
    405.38   999.99    5.219
    408.43   999.99    5.336
    411.48   999.99    5.449
    414.53   999.99    5.568
    417.58   999.99    5.692
    420.62   999.99    5.827
    423.67   999.99    5.991
    426.72   999.99    6.103
    429.77   999.99    6.234
    432.82   999.99    6.365
    435.86   999.99    6.458
    438.91   999.99    6.856
    441.96   999.99    6.931
    445.01   999.99    6.995
    448.06   999.99    7.079
    451.10   999.99    7.158
    454.15   999.99    7.264
    457.20   999.99    7.383
    460.25   999.99    7.476
    463.30   999.99    7.573
    466.34   999.99    7.677
    469.39   999.99    7.774
    472.44   999.99    7.876
    475.49   999.99    7.978
    478.54   999.99    8.097
    481.58   999.99    8.208
    484.63   999.99    8.334
    487.68   999.99    8.441
    490.73   999.99    8.522
    493.78   999.99    8.615
    496.83   999.99    8.690
    499.87   999.99    8.757
    502.92   999.99    8.818
    505.97   999.99    8.904
    509.02   999.99    9.000
    512.07   999.99    9.116
    515.11   999.99    9.234
    518.16   999.99    9.337
    521.21   999.99    9.466
    524.26   999.99    9.602
    527.31   999.99    9.715
    530.35   999.99    9.797
    533.40   999.99   10.085
    536.45   999.99   10.147
    539.50   999.99   10.184
    542.55   999.99   10.350
    545.59   999.99   10.398
    548.64   999.99   10.468
    551.69   999.99   10.470
