 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             TUL 
 Log Date:         81AUG24 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      6.10   999.99   -7.841
      9.14   999.99   -8.722
     12.19   999.99   -8.996
     15.24   999.99   -9.035
     18.29   999.99   -9.043
     21.34   999.99   -9.046
     24.38   999.99   -9.048
     27.43   999.99   -9.050
     30.48   999.99   -9.037
     33.53   999.99   -8.994
     36.58   999.99   -8.950
     39.62   999.99   -8.907
     42.67   999.99   -8.864
     45.72   999.99   -8.808
     48.77   999.99   -8.757
     51.82   999.99   -8.723
     54.86   999.99   -8.669
     57.91   999.99   -8.593
     60.96   999.99   -8.523
     64.01   999.99   -8.438
     67.06   999.99   -8.357
     70.10   999.99   -8.288
     73.15   999.99   -8.210
     76.20   999.99   -8.117
     79.25   999.99   -8.016
     82.30   999.99   -7.925
     85.34   999.99   -7.824
     88.39   999.99   -7.745
     91.44   999.99   -7.644
     94.49   999.99   -7.532
     97.54   999.99   -7.438
    100.58   999.99   -7.338
    103.63   999.99   -7.220
    106.68   999.99   -7.090
    109.73   999.99   -6.940
    112.78   999.99   -6.809
    115.82   999.99   -6.682
    118.87   999.99   -6.579
    121.92   999.99   -6.455
    124.97   999.99   -6.287
    128.02   999.99   -6.133
    131.06   999.99   -6.010
    134.11   999.99   -5.874
    137.16   999.99   -5.719
    140.21   999.99   -5.583
    143.26   999.99   -5.465
    146.30   999.99   -5.331
    149.35   999.99   -5.210
    152.40   999.99   -5.066
    155.45   999.99   -4.956
    158.50   999.99   -4.825
    161.54   999.99   -4.682
    164.59   999.99   -4.547
    167.64   999.99   -4.436
    170.69   999.99   -4.330
    173.74   999.99   -4.221
    176.78   999.99   -4.082
    179.83   999.99   -3.967
    182.88   999.99   -3.853
    185.93   999.99   -3.734
    188.98   999.99   -3.612
    192.02   999.99   -3.479
    195.07   999.99   -3.350
    198.12   999.99   -3.217
    201.17   999.99   -3.088
    204.22   999.99   -2.934
    207.26   999.99   -2.805
    210.31   999.99   -2.672
    213.36   999.99   -2.572
    216.41   999.99   -2.499
    219.46   999.99   -2.428
    222.50   999.99   -2.320
    225.55   999.99   -2.222
    228.60   999.99   -2.148
    231.65   999.99   -2.061
    234.70   999.99   -1.918
    237.74   999.99   -1.841
    240.79   999.99   -1.769
    243.84   999.99   -1.702
    246.89   999.99   -1.623
    249.94   999.99   -1.539
    252.98   999.99   -1.407
    256.03   999.99   -1.307
    259.08   999.99   -1.191
    262.13   999.99   -1.060
    265.18   999.99    -.989
    268.22   999.99    -.913
    271.27   999.99    -.829
    274.32   999.99    -.757
    277.37   999.99    -.693
    280.42   999.99    -.620
    283.46   999.99    -.561
    286.51   999.99    -.494
    289.56   999.99    -.244
    292.61   999.99    -.145
    295.66   999.99    -.048
    298.70   999.99     .078
    301.75   999.99     .150
    304.80   999.99     .374
    307.85   999.99     .738
    310.90   999.99     .872
    313.94   999.99     .984
    316.99   999.99    1.098
    320.04   999.99    1.221
    323.09   999.99    1.360
    326.14   999.99    1.470
