 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             TUL 
 Log Date:         84AUG03a
 Type of Log:      continuous  
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      no 
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      4.88   999.99  -10.586
      5.18   999.99  -10.591
      5.49   999.99  -10.590
      5.79   999.99  -10.595
      6.10   999.99  -10.594
      6.40   999.99  -10.595
      6.71   999.99  -10.598
      7.01   999.99  -10.601
      7.32   999.99  -10.602
      7.62   999.99  -10.598
      7.92   999.99  -10.589
      8.23   999.99  -10.572
      8.53   999.99  -10.549
      8.84   999.99  -10.535
      9.14   999.99  -10.518
      9.45   999.99  -10.495
      9.75   999.99  -10.477
     10.06   999.99  -10.461
     10.36   999.99  -10.445
     10.67   999.99  -10.420
     10.97   999.99  -10.399
     11.28   999.99  -10.367
     11.58   999.99  -10.339
     11.89   999.99  -10.319
     12.19   999.99  -10.296
     12.50   999.99  -10.260
     12.80   999.99  -10.233
     13.11   999.99  -10.207
     13.41   999.99  -10.181
     13.72   999.99  -10.157
     14.02   999.99  -10.133
     14.33   999.99  -10.112
     14.63   999.99  -10.096
     14.94   999.99  -10.070
     15.24   999.99  -10.048
     15.54   999.99  -10.027
     15.85   999.99  -10.002
     16.15   999.99   -9.987
     16.46   999.99   -9.974
     16.76   999.99   -9.958
     17.07   999.99   -9.944
     17.37   999.99   -9.929
     17.68   999.99   -9.914
     17.98   999.99   -9.902
     18.29   999.99   -9.889
     18.59   999.99   -9.878
     18.90   999.99   -9.865
     19.20   999.99   -9.853
     19.51   999.99   -9.843
     19.81   999.99   -9.834
     20.12   999.99   -9.822
     20.42   999.99   -9.817
     20.73   999.99   -9.810
     21.03   999.99   -9.804
     21.34   999.99   -9.800
     21.64   999.99   -9.796
     21.95   999.99   -9.791
     22.25   999.99   -9.785
     22.56   999.99   -9.781
     22.86   999.99   -9.774
     23.16   999.99   -9.772
     23.47   999.99   -9.769
     23.77   999.99   -9.765
     24.08   999.99   -9.761
     24.38   999.99   -9.756
     24.69   999.99   -9.752
     24.99   999.99   -9.750
     25.30   999.99   -9.748
     25.60   999.99   -9.746
     25.91   999.99   -9.744
     26.21   999.99   -9.742
     26.52   999.99   -9.740
     26.82   999.99   -9.738
     27.13   999.99   -9.735
     27.43   999.99   -9.731
     27.74   999.99   -9.729
     28.04   999.99   -9.725
     28.35   999.99   -9.722
     28.65   999.99   -9.719
     28.96   999.99   -9.716
     29.26   999.99   -9.714
     29.57   999.99   -9.712
     29.87   999.99   -9.710
     30.18   999.99   -9.708
     30.48   999.99   -9.705
     30.78   999.99   -9.716
     31.09   999.99   -9.716
     31.39   999.99   -9.706
     31.70   999.99   -9.698
     32.00   999.99   -9.691
     32.31   999.99   -9.686
     32.61   999.99   -9.684
     32.92   999.99   -9.680
     33.22   999.99   -9.676
     33.53   999.99   -9.674
     33.83   999.99   -9.668
     34.14   999.99   -9.665
     34.44   999.99   -9.662
     34.75   999.99   -9.658
     35.05   999.99   -9.654
     35.36   999.99   -9.650
     35.66   999.99   -9.646
     35.97   999.99   -9.643
     36.27   999.99   -9.641
     36.58   999.99   -9.635
     36.88   999.99   -9.633
     37.19   999.99   -9.628
     37.49   999.99   -9.618
     37.80   999.99   -9.614
     38.10   999.99   -9.610
     38.40   999.99   -9.605
     38.71   999.99   -9.603
     39.01   999.99   -9.599
     39.32   999.99   -9.594
     39.62   999.99   -9.591
     39.93   999.99   -9.585
     40.23   999.99   -9.581
     40.54   999.99   -9.578
     40.84   999.99   -9.567
     41.15   999.99   -9.561
     41.45   999.99   -9.556
     41.76   999.99   -9.551
     42.06   999.99   -9.547
     42.37   999.99   -9.543
     42.67   999.99   -9.537
     42.98   999.99   -9.533
     43.28   999.99   -9.529
     43.59   999.99   -9.523
     43.89   999.99   -9.519
     44.20   999.99   -9.514
     44.50   999.99   -9.511
     44.81   999.99   -9.508
     45.11   999.99   -9.501
     45.42   999.99   -9.496
     45.72   999.99   -9.491
     46.02   999.99   -9.485
     46.33   999.99   -9.479
     46.63   999.99   -9.474
     46.94   999.99   -9.468
     47.24   999.99   -9.463
     47.55   999.99   -9.456
     47.85   999.99   -9.450
     48.16   999.99   -9.445
     48.46   999.99   -9.432
     48.77   999.99   -9.426
     49.07   999.99   -9.422
     49.38   999.99   -9.416
     49.68   999.99   -9.410
     49.99   999.99   -9.407
     50.29   999.99   -9.399
     50.60   999.99   -9.396
     50.90   999.99   -9.392
     51.21   999.99   -9.388
     51.51   999.99   -9.382
     51.82   999.99   -9.374
     52.12   999.99   -9.368
     52.43   999.99   -9.359
     52.73   999.99   -9.353
     53.04   999.99   -9.344
     53.34   999.99   -9.340
     53.64   999.99   -9.333
     53.95   999.99   -9.329
     54.25   999.99   -9.323
     54.56   999.99   -9.315
