 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             TUL 
 Log Date:         84AUG03b
 Type of Log:      incremental  
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     54.86   999.99   -9.312
     56.39   999.99   -9.288
     57.91   999.99   -9.263
     59.44   999.99   -9.221
     60.96   999.99   -9.197
     62.48   999.99   -9.148
     64.01   999.99   -9.117
     65.53   999.99   -9.073
     67.06   999.99   -9.035
     68.58   999.99   -8.996
     70.10   999.99   -8.959
     71.63   999.99   -8.923
     73.15   999.99   -8.889
     74.68   999.99   -8.839
     76.20   999.99   -8.795
     77.72   999.99   -8.751
     79.25   999.99   -8.702
     80.77   999.99   -8.654
     82.30   999.99   -8.613
     83.82   999.99   -8.568
     85.34   999.99   -8.518
     86.87   999.99   -8.468
     88.39   999.99   -8.425
     89.92   999.99   -8.380
     91.44   999.99   -8.332
     92.96   999.99   -8.274
     94.49   999.99   -8.233
     96.01   999.99   -8.183
     97.54   999.99   -8.134
     99.06   999.99   -8.078
    100.58   999.99   -8.032
    102.11   999.99   -7.979
    103.63   999.99   -7.920
    105.16   999.99   -7.867
    106.68   999.99   -7.807
    108.20   999.99   -7.750
    109.73   999.99   -7.687
    111.25   999.99   -7.612
    112.78   999.99   -7.564
    114.30   999.99   -7.500
    115.82   999.99   -7.438
    117.35   999.99   -7.372
    118.87   999.99   -7.311
    120.40   999.99   -7.247
    121.92   999.99   -7.187
    124.97   999.99   -7.062
    126.49   999.99   -6.998
    128.02   999.99   -6.939
    129.54   999.99   -6.873
    131.06   999.99   -6.810
    132.59   999.99   -6.739
    134.11   999.99   -6.664
    135.64   999.99   -6.595
    137.16   999.99   -6.527
    138.68   999.99   -6.448
    140.21   999.99   -6.383
    141.73   999.99   -6.304
    143.26   999.99   -6.218
    144.78   999.99   -6.154
    146.30   999.99   -6.092
    147.83   999.99   -6.009
    149.35   999.99   -5.944
    150.88   999.99   -5.879
    152.40   999.99   -5.767
    153.92   999.99   -5.725
    155.45   999.99   -5.661
    156.97   999.99   -5.598
    158.50   999.99   -5.464
    160.02   999.99   -5.398
    161.54   999.99   -5.335
    163.07   999.99   -5.262
    164.59   999.99   -5.174
    166.12   999.99   -5.105
    167.64   999.99   -5.037
    169.16   999.99   -4.980
    170.69   999.99   -4.904
    172.21   999.99   -4.836
    173.74   999.99   -4.770
    175.26   999.99   -4.703
    176.78   999.99   -4.638
    178.31   999.99   -4.579
    179.83   999.99   -4.516
    181.36   999.99   -4.448
    182.88   999.99   -4.376
    184.40   999.99   -4.267
    185.93   999.99   -4.216
    187.45   999.99   -4.155
    188.98   999.99   -4.091
    190.50   999.99   -4.025
    192.02   999.99   -3.949
    193.55   999.99   -3.888
    195.07   999.99   -3.814
    196.60   999.99   -3.744
    198.12   999.99   -3.689
    199.64   999.99   -3.623
    201.17   999.99   -3.562
    202.69   999.99   -3.268
    204.22   999.99   -3.214
    205.74   999.99   -3.119
    207.26   999.99   -3.054
    208.79   999.99   -3.013
    210.31   999.99   -2.862
    211.84   999.99   -2.815
    213.36   999.99   -2.796
    214.88   999.99   -2.813
    216.41   999.99   -2.739
    217.93   999.99   -2.717
    219.46   999.99   -2.649
    220.98   999.99   -2.605
