 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             WDS 
 Log Date:         81AUG23 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     67.06   999.99   -8.330
     70.10   999.99   -8.416
     73.15   999.99   -8.372
     76.20   999.99   -8.304
     79.25   999.99   -8.232
     82.30   999.99   -8.149
     85.34   999.99   -8.048
     88.39   999.99   -7.943
     91.44   999.99   -7.835
     94.49   999.99   -7.720
     97.54   999.99   -7.600
    100.58   999.99   -7.461
    103.63   999.99   -7.366
    106.68   999.99   -7.246
    109.73   999.99   -7.113
    112.78   999.99   -6.989
    115.82   999.99   -6.876
    118.87   999.99   -6.743
    121.92   999.99   -6.647
    124.97   999.99   -6.513
    128.02   999.99   -6.411
    131.06   999.99   -6.290
    134.11   999.99   -6.165
    137.16   999.99   -6.037
    140.21   999.99   -5.919
    143.26   999.99   -5.792
    146.30   999.99   -5.668
    149.35   999.99   -5.549
    152.40   999.99   -5.413
    155.45   999.99   -5.277
    158.50   999.99   -5.151
    161.54   999.99   -5.036
    164.59   999.99   -4.907
    167.64   999.99   -4.769
    170.69   999.99   -4.658
    173.74   999.99   -4.518
    176.78   999.99   -4.399
    179.83   999.99   -4.274
    182.88   999.99   -4.148
    185.93   999.99   -4.024
    188.98   999.99   -3.864
    192.02   999.99   -3.747
    195.07   999.99   -3.627
    198.12   999.99   -3.503
    201.17   999.99   -3.391
    204.22   999.99   -3.260
    207.26   999.99   -3.121
    210.31   999.99   -2.998
    213.36   999.99   -2.834
    216.41   999.99   -2.672
    219.46   999.99   -2.557
    222.50   999.99   -2.433
    225.55   999.99   -2.308
    228.60   999.99   -2.144
    231.65   999.99   -2.014
    234.70   999.99   -1.873
    237.74   999.99   -1.734
    240.79   999.99   -1.592
    243.84   999.99   -1.444
    246.89   999.99   -1.282
    249.94   999.99   -1.127
    252.98   999.99    -.992
    256.03   999.99    -.863
    259.08   999.99    -.746
    262.13   999.99    -.633
    265.18   999.99    -.554
    268.22   999.99    -.439
    271.27   999.99    -.294
    274.32   999.99    -.130
    277.37   999.99     .056
    280.42   999.99     .246
    283.46   999.99     .446
    286.51   999.99     .578
    289.56   999.99     .700
    292.61   999.99     .807
    295.66   999.99     .920
    298.70   999.99    1.052
    301.75   999.99    1.153
    304.80   999.99    1.267
    307.85   999.99    1.407
    310.90   999.99    1.514
    313.94   999.99    1.624
    316.99   999.99    1.750
    320.04   999.99    1.868
    323.09   999.99    1.979
    326.14   999.99    2.117
    329.18   999.99    2.249
    332.23   999.99    2.363
    335.28   999.99    2.482
    338.33   999.99    2.620
    341.38   999.99    2.731
    344.42   999.99    2.840
    347.47   999.99    2.962
    350.52   999.99    3.070
    353.57   999.99    3.211
    356.62   999.99    3.326
    359.66   999.99    3.444
    362.71   999.99    3.580
    365.76   999.99    3.701
    368.81   999.99    3.822
    371.86   999.99    3.936
    374.90   999.99    4.075
    377.95   999.99    4.219
    381.00   999.99    4.332
    384.05   999.99    4.474
    387.10   999.99    4.608
    390.14   999.99    4.730
    393.19   999.99    4.862
    396.24   999.99    5.002
    399.29   999.99    5.122
    402.34   999.99    5.268
    405.38   999.99    5.373
    408.43   999.99    5.486
    411.48   999.99    5.605
    414.53   999.99    5.723
    417.58   999.99    5.827
    420.62   999.99    5.959
    423.67   999.99    6.058
    426.72   999.99    6.186
    429.77   999.99    6.310
    432.82   999.99    6.429
    435.86   999.99    6.552
    438.91   999.99    6.670
    441.96   999.99    6.803
    445.01   999.99    6.921
    448.06   999.99    7.045
    451.10   999.99    7.163
    454.15   999.99    7.301
    457.20   999.99    7.456
    460.25   999.99    7.564
    463.30   999.99    7.705
    466.34   999.99    7.845
    469.39   999.99    8.000
    472.44   999.99    8.128
    475.49   999.99    8.252
    478.54   999.99    8.397
    481.58   999.99    8.555
    484.63   999.99    8.716
    487.68   999.99    8.838
    490.73   999.99    8.995
    493.78   999.99    9.123
    496.83   999.99    9.280
    499.87   999.99    9.416
    502.92   999.99    9.556
    505.97   999.99    9.703
    509.02   999.99    9.859
    512.07   999.99    9.971
    515.11   999.99   10.103
    518.16   999.99   10.258
    521.21   999.99   10.392
    524.26   999.99   10.526
    527.31   999.99   10.667
    530.35   999.99   10.792
    533.40   999.99   10.944
    536.45   999.99   11.073
    539.50   999.99   11.207
    542.55   999.99   11.364
    545.59   999.99   11.489
    548.64   999.99   11.610
    551.69   999.99   11.732
    554.74   999.99   11.860
    557.79   999.99   12.008
    560.83   999.99   12.134
    563.88   999.99   12.281
    566.93   999.99   12.431
    569.98   999.99   12.559
    573.03   999.99   12.677
    576.07   999.99   12.802
    579.12   999.99   12.925
    582.17   999.99   13.058
    585.22   999.99   13.179
    588.27   999.99   13.284
    591.31   999.99   13.418
    594.36   999.99   13.553
    597.41   999.99   13.690
    600.46   999.99   13.823
    603.51   999.99   13.979
    606.55   999.99   14.097
    609.60   999.99   14.256
    612.65   999.99   14.421
    615.70   999.99   14.555
    618.75   999.99   14.711
    621.79   999.99   14.851
    624.84   999.99   15.007
    627.89   999.99   15.167
    630.94   999.99   15.350
    633.99   999.99   15.506
    637.03   999.99   15.673
    640.08   999.99   15.857
    643.13   999.99   16.008
    646.18   999.99   16.169
    649.23   999.99   16.307
    652.27   999.99   16.462
    655.32   999.99   16.619
    658.37   999.99   16.801
    661.42   999.99   16.931
    664.47   999.99   17.098
    667.51   999.99   17.252
    670.56   999.99   17.408
    673.61   999.99   17.556
    676.66   999.99   17.691
    679.71   999.99   17.831
    682.75   999.99   17.958
    685.80   999.99   18.090
    688.85   999.99   18.203
    691.90   999.99   18.324
    694.95   999.99   18.437
    697.99   999.99   18.552
    701.04   999.99   18.650
    704.09   999.99   18.777
    707.14   999.99   18.899
    710.19   999.99   19.023
    713.23   999.99   19.176
    716.28   999.99   19.337
    719.33   999.99   19.484
