 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             WDS 
 Log Date:         84AUG12 
 Type of Log:      increment  
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     12.19   999.99  -10.636
     13.72   999.99  -10.577
     15.24   999.99  -10.514
     16.76   999.99  -10.442
     18.29   999.99  -10.373
     19.81   999.99  -10.305
     21.34   999.99  -10.238
     22.86   999.99  -10.169
     24.38   999.99  -10.107
     25.91   999.99  -10.051
     27.43   999.99  -10.000
     28.96   999.99   -9.955
     30.48   999.99   -9.913
     32.00   999.99   -9.607
     33.53   999.99   -9.601
     35.05   999.99   -9.589
     36.58   999.99   -9.572
     38.10   999.99   -9.553
     39.62   999.99   -9.533
     41.15   999.99   -9.506
     42.67   999.99   -9.478
     44.20   999.99   -9.451
     45.72   999.99   -9.427
     47.24   999.99   -9.405
     48.77   999.99   -9.379
     50.29   999.99   -9.353
     51.82   999.99   -9.326
     53.34   999.99   -9.299
     54.86   999.99   -9.272
     56.39   999.99   -9.243
     57.91   999.99   -9.213
     59.44   999.99   -9.183
     60.96   999.99   -9.155
     62.48   999.99   -9.125
     64.01   999.99   -9.095
     65.53   999.99   -9.064
     67.06   999.99   -8.788
     68.58   999.99   -8.713
     70.10   999.99   -8.692
     71.63   999.99   -8.663
     73.15   999.99   -8.626
     74.68   999.99   -8.589
     76.20   999.99   -8.559
     77.72   999.99   -8.514
     79.25   999.99   -8.479
     80.77   999.99   -8.431
     82.30   999.99   -8.399
     83.82   999.99   -8.348
     85.34   999.99   -8.301
     86.87   999.99   -8.254
     88.39   999.99   -8.205
     89.92   999.99   -8.158
     91.44   999.99   -8.109
     92.96   999.99   -8.057
     94.49   999.99   -8.000
     96.01   999.99   -7.947
     97.54   999.99   -7.891
     99.06   999.99   -7.837
    100.58   999.99   -7.776
    102.11   999.99   -7.718
    103.63   999.99   -7.648
    105.16   999.99   -7.597
    106.68   999.99   -7.524
    108.20   999.99   -7.468
    109.73   999.99   -7.409
    111.25   999.99   -7.356
    112.78   999.99   -7.287
    114.30   999.99   -7.231
    115.82   999.99   -7.166
    117.35   999.99   -7.105
    118.87   999.99   -7.057
    120.40   999.99   -6.993
    121.92   999.99   -6.933
    123.44   999.99   -6.878
    124.97   999.99   -6.814
    126.49   999.99   -6.764
    129.54   999.99   -6.649
    131.06   999.99   -6.593
    132.59   999.99   -6.520
    134.11   999.99   -6.460
    135.64   999.99   -6.413
    137.16   999.99   -6.351
    138.68   999.99   -6.291
    140.21   999.99   -6.219
    141.73   999.99   -6.156
    143.26   999.99   -6.101
    144.78   999.99   -6.030
    146.30   999.99   -5.967
    147.83   999.99   -5.904
    149.35   999.99   -5.845
    150.88   999.99   -5.768
    152.40   999.99   -5.698
    153.92   999.99   -5.623
    155.45   999.99   -5.579
    156.97   999.99   -5.516
    158.50   999.99   -5.440
    160.02   999.99   -5.374
    161.54   999.99   -5.318
    163.07   999.99   -5.262
    164.59   999.99   -5.184
    166.12   999.99   -5.126
    167.64   999.99   -5.057
    169.16   999.99   -4.992
    170.69   999.99   -4.928
    172.21   999.99   -4.859
    173.74   999.99   -4.797
    175.26   999.99   -4.723
    176.78   999.99   -4.657
    178.31   999.99   -4.596
    179.83   999.99   -4.518
    181.36   999.99   -4.450
    182.88   999.99   -4.378
    184.40   999.99   -4.315
    185.93   999.99   -4.246
    187.45   999.99   -4.165
    188.98   999.99   -4.090
    190.50   999.99   -4.024
    192.02   999.99   -3.945
    193.55   999.99   -3.871
    195.07   999.99   -3.790
    196.60   999.99   -3.743
    198.12   999.99   -3.675
    199.64   999.99   -3.605
    201.17   999.99   -3.530
    202.69   999.99   -3.467
    204.22   999.99   -3.390
    205.74   999.99   -3.326
    207.26   999.99   -3.256
    208.79   999.99   -3.178
    210.31   999.99   -3.099
    211.84   999.99   -3.028
    213.36   999.99   -2.958
    214.88   999.99   -2.843
    216.41   999.99   -2.783
    217.93   999.99   -2.715
    219.46   999.99   -2.644
    220.98   999.99   -2.575
    222.50   999.99   -2.507
    224.03   999.99   -2.434
    225.55   999.99   -2.366
    227.08   999.99   -2.297
    228.60   999.99   -2.223
    230.12   999.99   -2.152
    231.65   999.99   -2.069
    233.17   999.99   -1.998
    234.70   999.99   -1.924
    236.22   999.99   -1.847
    237.74   999.99   -1.768
    239.27   999.99   -1.694
    240.79   999.99   -1.618
    242.32   999.99   -1.541
    243.84   999.99   -1.471
    245.36   999.99   -1.401
    246.89   999.99   -1.333
    248.41   999.99   -1.259
    249.94   999.99   -1.188
    251.46   999.99   -1.118
    252.98   999.99   -1.044
    254.51   999.99    -.971
    256.03   999.99    -.899
    257.56   999.99    -.838
    259.08   999.99    -.774
    461.77   999.99    7.362
    463.30   999.99    7.464
    464.82   999.99    7.529
    466.34   999.99    7.604
    467.87   999.99    7.661
    469.39   999.99    7.734
    470.92   999.99    7.798
    472.44   999.99    7.889
    473.96   999.99    7.946
    475.49   999.99    8.005
    477.01   999.99    8.071
    478.54   999.99    8.154
    480.06   999.99    8.223
    481.58   999.99    8.293
    483.11   999.99    8.364
    484.63   999.99    8.437
    486.16   999.99    8.506
    487.68   999.99    8.598
    489.20   999.99    8.661
    490.73   999.99    8.726
    492.25   999.99    8.795
    493.78   999.99    8.862
    495.30   999.99    8.942
    496.83   999.99    9.004
    498.35   999.99    9.078
    499.87   999.99    9.154
    501.40   999.99    9.218
    502.92   999.99    9.291
    504.45   999.99    9.362
    505.97   999.99    9.441
    507.49   999.99    9.509
    509.02   999.99    9.578
    510.54   999.99    9.656
    512.07   999.99    9.718
    513.59   999.99    9.789
    515.11   999.99    9.866
    516.64   999.99    9.929
    518.16   999.99   10.004
    519.69   999.99   10.074
    521.21   999.99   10.141
    522.73   999.99   10.203
    524.26   999.99   10.280
    525.78   999.99   10.350
    527.31   999.99   10.413
    528.83   999.99   10.478
    530.35   999.99   10.549
    531.88   999.99   10.625
    533.40   999.99   10.684
    534.92   999.99   10.760
    536.45   999.99   10.828
    537.97   999.99   10.896
    539.50   999.99   10.956
    541.02   999.99   11.025
    542.55   999.99   11.095
    544.07   999.99   11.168
    545.59   999.99   11.239
    547.12   999.99   11.300
    548.64   999.99   11.360
    550.17   999.99   11.435
    551.69   999.99   11.500
    553.21   999.99   11.572
    554.74   999.99   11.635
    556.26   999.99   11.703
    557.79   999.99   11.771
    559.31   999.99   11.838
    560.83   999.99   11.911
    562.36   999.99   11.982
    563.88   999.99   12.054
    565.41   999.99   12.120
    566.93   999.99   12.194
    568.45   999.99   12.265
    569.98   999.99   12.325
    571.50   999.99   12.391
    573.03   999.99   12.458
    574.55   999.99   12.527
    576.07   999.99   12.591
    577.60   999.99   12.648
    579.12   999.99   12.706
    580.65   999.99   12.469
    582.17   999.99   12.834
    583.69   999.99   12.911
    585.22   999.99   12.969
    586.74   999.99   13.027
    588.27   999.99   13.091
    589.79   999.99   13.162
    591.31   999.99   13.217
    592.84   999.99   13.287
    594.36   999.99   13.343
    595.89   999.99   13.407
    597.41   999.99   13.477
    598.93   999.99   13.548
    600.46   999.99   13.605
    601.98   999.99   13.676
    603.51   999.99   13.746
    605.03   999.99   13.813
    606.55   999.99   13.879
    608.08   999.99   13.963
    609.60   999.99   14.026
    611.13   999.99   14.107
    612.65   999.99   14.188
    614.17   999.99   14.267
    615.70   999.99   14.331
    617.22   999.99   14.410
    618.75   999.99   14.492
    620.27   999.99   14.562
    621.79   999.99   14.636
    623.32   999.99   14.708
    624.84   999.99   14.787
    626.37   999.99   14.861
