 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             WDS 
 Log Date:         80SEP14 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     60.96   999.99   -7.760
     64.01   999.99   -7.756
     67.06   999.99   -7.771
     70.10   999.99   -7.741
     73.15   999.99   -7.660
     76.20   999.99   -7.598
     79.25   999.99   -7.518
     82.30   999.99   -7.410
     85.34   999.99   -7.295
     88.39   999.99   -7.158
     91.44   999.99   -7.047
     94.49   999.99   -6.941
     97.54   999.99   -6.823
    100.58   999.99   -6.678
    103.63   999.99   -6.538
    106.68   999.99   -6.412
    109.73   999.99   -6.292
    112.78   999.99   -6.178
    115.82   999.99   -6.047
    118.87   999.99   -5.957
    121.92   999.99   -5.862
    124.97   999.99   -5.766
    128.02   999.99   -5.652
    131.06   999.99   -5.506
    134.11   999.99   -5.379
    137.16   999.99   -5.251
    140.21   999.99   -5.149
    143.26   999.99   -5.022
    146.30   999.99   -4.918
    149.35   999.99   -4.801
    152.40   999.99   -4.667
    155.45   999.99   -4.567
    158.50   999.99   -4.443
    161.54   999.99   -4.331
    164.59   999.99   -4.219
    167.64   999.99   -4.105
    170.69   999.99   -3.987
    173.74   999.99   -3.865
    176.78   999.99   -3.770
    179.83   999.99   -3.661
    182.88   999.99   -3.555
    185.93   999.99   -3.455
    188.98   999.99   -3.328
    192.02   999.99   -3.173
    195.07   999.99   -3.030
    198.12   999.99   -2.942
    201.17   999.99   -2.864
    204.22   999.99   -2.782
    207.26   999.99   -2.700
    210.31   999.99   -2.584
    213.36   999.99   -2.411
    216.41   999.99   -2.216
    219.46   999.99   -2.086
    222.50   999.99   -1.981
    225.55   999.99   -1.867
    228.60   999.99   -1.742
    231.65   999.99   -1.588
    234.70   999.99   -1.434
    237.74   999.99   -1.239
    240.79   999.99   -1.027
    243.84   999.99    -.852
    246.89   999.99    -.682
    249.94   999.99    -.515
    252.98   999.99    -.345
    256.03   999.99    -.209
    259.08   999.99    -.079
    262.13   999.99     .039
    265.18   999.99     .213
    268.22   999.99     .340
    271.27   999.99     .397
    274.32   999.99     .621
    277.37   999.99     .770
    280.42   999.99     .899
    283.46   999.99    1.025
    286.51   999.99    1.143
    289.56   999.99    1.268
    292.61   999.99    1.377
    295.66   999.99    1.486
    298.70   999.99    1.602
    301.75   999.99    1.721
    304.80   999.99    1.829
    307.85   999.99    1.945
    310.90   999.99    2.067
    313.94   999.99    2.191
    316.99   999.99    2.320
    320.04   999.99    2.439
    323.09   999.99    2.551
    326.14   999.99    2.678
