 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             WK16
 Log Date:         87SEP02 
 Type of Log:      continuous  
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      no 
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      2.74   999.99     .286
      3.05   999.99     .155
      3.35   999.99    -.123
      3.66   999.99    -.350
      3.96   999.99    -.512
      4.27   999.99    -.714
      4.57   999.99   -1.062
      4.88   999.99   -1.481
      5.18   999.99   -1.886
      5.49   999.99   -2.420
      5.79   999.99   -3.404
      6.10   999.99   -4.100
      6.40   999.99   -4.743
      6.71   999.99   -5.380
      7.01   999.99   -5.917
      7.32   999.99   -6.414
      7.62   999.99   -6.848
      7.92   999.99   -7.333
      8.23   999.99   -7.829
      8.53   999.99   -8.235
      8.84   999.99   -8.495
      9.14   999.99   -8.766
      9.45   999.99   -9.024
      9.75   999.99   -9.301
     10.06   999.99   -9.495
     10.36   999.99   -9.639
     10.67   999.99   -9.766
     10.97   999.99   -9.885
     11.28   999.99   -9.981
     11.58   999.99  -10.074
     12.19   999.99  -10.178
     12.50   999.99  -10.205
     12.80   999.99  -10.234
     13.11   999.99  -10.253
     13.41   999.99  -10.267
     13.72   999.99  -10.280
     14.02   999.99  -10.294
     14.33   999.99  -10.303
     14.63   999.99  -10.312
     14.94   999.99  -10.318
     15.24   999.99  -10.322
     15.54   999.99  -10.326
     15.85   999.99  -10.326
     16.15   999.99  -10.324
     16.46   999.99  -10.320
     16.76   999.99  -10.314
     17.07   999.99  -10.308
     17.37   999.99  -10.301
     17.68   999.99  -10.294
     17.98   999.99  -10.287
     18.29   999.99  -10.278
     18.59   999.99  -10.268
     18.90   999.99  -10.259
     19.20   999.99  -10.248
     19.51   999.99  -10.239
     19.81   999.99  -10.225
     20.12   999.99  -10.215
     20.42   999.99  -10.207
     20.73   999.99  -10.199
     21.03   999.99  -10.189
     21.34   999.99  -10.179
     21.64   999.99  -10.169
     21.95   999.99  -10.158
     22.25   999.99  -10.145
     22.56   999.99  -10.135
     22.86   999.99  -10.122
     23.16   999.99  -10.112
     23.47   999.99  -10.103
     23.77   999.99  -10.097
     24.08   999.99  -10.089
     24.38   999.99  -10.079
     24.69   999.99  -10.067
     24.99   999.99  -10.056
     25.30   999.99  -10.045
     25.60   999.99  -10.033
     25.91   999.99  -10.020
     26.21   999.99  -10.009
