 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             WSS1
 Log Date:         87AUG31a
 Type of Log:      continuous  
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      no 
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     10.36   999.99    1.547
     10.67   999.99     .014
     10.97   999.99   -2.089
     11.28   999.99   -3.729
     11.58   999.99   -4.844
     11.89   999.99   -5.832
     12.19   999.99   -6.507
     12.50   999.99   -6.958
     12.80   999.99   -7.408
     13.11   999.99   -7.832
     13.41   999.99   -8.121
     13.72   999.99   -8.364
     14.02   999.99   -8.563
     14.33   999.99   -8.736
     14.63   999.99   -8.874
     14.94   999.99   -8.928
     15.24   999.99   -8.970
     15.54   999.99   -8.983
     15.85   999.99   -8.989
     16.15   999.99   -8.992
     16.46   999.99   -8.994
     16.76   999.99   -8.997
     17.07   999.99   -8.999
     17.37   999.99   -8.996
     17.68   999.99   -8.994
     17.98   999.99   -8.990
     18.29   999.99   -8.986
     18.59   999.99   -8.982
     18.90   999.99   -8.979
     19.20   999.99   -8.971
     19.51   999.99   -8.966
     19.81   999.99   -8.960
     20.12   999.99   -8.951
     20.42   999.99   -8.944
     20.73   999.99   -8.937
     21.03   999.99   -8.930
     21.34   999.99   -8.925
     21.64   999.99   -8.920
     21.95   999.99   -8.915
     22.25   999.99   -8.911
     22.56   999.99   -8.906
     22.86   999.99   -8.901
     23.16   999.99   -8.897
     23.47   999.99   -8.893
     23.77   999.99   -8.891
     24.08   999.99   -8.889
     24.38   999.99   -8.888
     24.69   999.99   -8.886
     24.99   999.99   -8.878
     25.30   999.99   -8.865
     25.60   999.99   -8.847
     25.91   999.99   -8.829
     26.21   999.99   -8.807
     26.52   999.99   -8.796
     26.82   999.99   -8.794
     27.13   999.99   -8.796
     27.43   999.99   -8.798
     27.74   999.99   -8.799
     28.04   999.99   -8.803
     28.35   999.99   -8.804
     28.65   999.99   -8.806
     28.96   999.99   -8.809
     29.26   999.99   -8.811
     29.57   999.99   -8.813
     29.87   999.99   -8.817
     30.18   999.99   -8.821
     30.48   999.99   -8.824
     30.78   999.99   -8.826
     31.09   999.99   -8.831
     31.39   999.99   -8.833
     31.70   999.99   -8.836
     32.00   999.99   -8.839
     32.31   999.99   -8.844
     32.61   999.99   -8.847
     32.92   999.99   -8.850
     33.22   999.99   -8.852
     33.53   999.99   -8.855
     33.83   999.99   -8.858
     34.14   999.99   -8.861
     34.44   999.99   -8.864
     34.75   999.99   -8.867
     35.05   999.99   -8.871
     35.36   999.99   -8.873
     35.66   999.99   -8.877
     35.97   999.99   -8.879
     36.27   999.99   -8.882
     36.58   999.99   -8.884
     36.88   999.99   -8.887
     37.19   999.99   -8.888
     37.49   999.99   -8.890
     37.80   999.99   -8.892
     38.10   999.99   -8.894
     38.40   999.99   -8.896
     38.71   999.99   -8.898
