 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             WSS1
 Log Date:         87AUG31b
 Type of Log:      continuous  
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      no 
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
    457.20   999.99   -1.081
    456.90   999.99   -1.087
    456.59   999.99   -1.092
    456.29   999.99   -1.100
    455.98   999.99   -1.106
    455.68   999.99   -1.112
    455.37   999.99   -1.118
    455.07   999.99   -1.124
    454.76   999.99   -1.131
    454.46   999.99   -1.136
    454.15   999.99   -1.141
    453.85   999.99   -1.149
    453.54   999.99   -1.154
    453.24   999.99   -1.159
    452.93   999.99   -1.166
    452.63   999.99   -1.172
    452.32   999.99   -1.178
    452.02   999.99   -1.183
    451.71   999.99   -1.189
    451.41   999.99   -1.194
    451.10   999.99   -1.199
    450.80   999.99   -1.204
    450.50   999.99   -1.209
    450.19   999.99   -1.215
    449.89   999.99   -1.219
    449.58   999.99   -1.224
    449.28   999.99   -1.229
    448.97   999.99   -1.233
    448.67   999.99   -1.237
    448.36   999.99   -1.242
    448.06   999.99   -1.245
    447.75   999.99   -1.248
    447.45   999.99   -1.251
    447.14   999.99   -1.255
    446.84   999.99   -1.258
    446.53   999.99   -1.260
    446.23   999.99   -1.263
    445.92   999.99   -1.265
    445.62   999.99   -1.268
    445.31   999.99   -1.269
    445.01   999.99   -1.272
    444.70   999.99   -1.273
    444.40   999.99   -1.274
    444.09   999.99   -1.275
    443.79   999.99   -1.275
    443.48   999.99   -1.275
    443.18   999.99   -1.276
    442.88   999.99   -1.276
    442.57   999.99   -1.276
    442.27   999.99   -1.275
    441.96   999.99   -1.275
    441.66   999.99   -1.273
    441.35   999.99   -1.273
    441.05   999.99   -1.272
    440.74   999.99   -1.271
    440.44   999.99   -1.270
    440.13   999.99   -1.268
    439.83   999.99   -1.268
    439.52   999.99   -1.265
    439.22   999.99   -1.263
    438.91   999.99   -1.263
    438.61   999.99   -1.261
    438.30   999.99   -1.259
    438.00   999.99   -1.258
    437.69   999.99   -1.255
    437.39   999.99   -1.253
    437.08   999.99   -1.252
    436.78   999.99   -1.249
    436.47   999.99   -1.248
    436.17   999.99   -1.245
    435.86   999.99   -1.245
    435.56   999.99   -1.242
    435.26   999.99   -1.240
    434.95   999.99   -1.239
    434.65   999.99   -1.237
    434.34   999.99   -1.234
    434.04   999.99   -1.232
    433.73   999.99   -1.230
    433.43   999.99   -1.229
    433.12   999.99   -1.227
    432.82   999.99   -1.224
    432.51   999.99   -1.223
    432.21   999.99   -1.222
    431.90   999.99   -1.219
    431.60   999.99   -1.218
    431.29   999.99   -1.217
    430.99   999.99   -1.215
    430.68   999.99   -1.213
    430.38   999.99   -1.212
    430.07   999.99   -1.210
    429.77   999.99   -1.209
    429.46   999.99   -1.206
    429.16   999.99   -1.205
    428.85   999.99   -1.203
    428.55   999.99   -1.201
    428.24   999.99   -1.200
    427.94   999.99   -1.197
    427.64   999.99   -1.196
    427.33   999.99   -1.194
    427.03   999.99   -1.192
    426.72   999.99   -1.191
    426.42   999.99   -1.188
    426.11   999.99   -1.186
    425.81   999.99   -1.185
    425.50   999.99   -1.184
    425.20   999.99   -1.181
    424.89   999.99   -1.180
    424.59   999.99   -1.179
    424.28   999.99   -1.177
    423.98   999.99   -1.176
    423.67   999.99   -1.175
    423.37   999.99   -1.173
    423.06   999.99   -1.172
    422.76   999.99   -1.170
    422.45   999.99   -1.170
    422.15   999.99   -1.167
    421.84   999.99   -1.166
    421.54   999.99   -1.166
    421.23   999.99   -1.164
    420.93   999.99   -1.164
    420.62   999.99   -1.162
    420.32   999.99   -1.162
    420.02   999.99   -1.160
    419.71   999.99   -1.160
    419.41   999.99   -1.159
    419.10   999.99   -1.158
    418.80   999.99   -1.157
    418.49   999.99   -1.157
    418.19   999.99   -1.157
    417.88   999.99   -1.155
    417.58   999.99   -1.156
    417.27   999.99   -1.155
    416.97   999.99   -1.156
    416.66   999.99   -1.155
    416.36   999.99   -1.156
    416.05   999.99   -1.155
    415.75   999.99   -1.155
    415.44   999.99   -1.155
    415.14   999.99   -1.154
    414.83   999.99   -1.154
    414.53   999.99   -1.154
    414.22   999.99   -1.154
    413.92   999.99   -1.153
    413.61   999.99   -1.154
    413.31   999.99   -1.152
    413.00   999.99   -1.152
    412.70   999.99   -1.152
    412.40   999.99   -1.152
    412.09   999.99   -1.150
    411.79   999.99   -1.151
    411.48   999.99   -1.150
    411.18   999.99   -1.149
    410.87   999.99   -1.149
    410.57   999.99   -1.149
    410.26   999.99   -1.147
    409.96   999.99   -1.146
    409.65   999.99   -1.146
    409.35   999.99   -1.146
    409.04   999.99   -1.146
    408.74   999.99   -1.145
    408.43   999.99   -1.144
    408.13   999.99   -1.144
    407.82   999.99   -1.144
    407.52   999.99   -1.143
    407.21   999.99   -1.143
    406.91   999.99   -1.144
    406.60   999.99   -1.143
    406.30   999.99   -1.142
    405.99   999.99   -1.142
    405.69   999.99   -1.141
