	This is from the start of the line near shore to stake 4.5				
EM31					
Dist (m)	BH1	E	Snow	Ice+Snow	Ice
0	430.9	33.34	3.7	130.9	127.3
5	427.56	33.38	5.5	132.0	126.5
10	437.62	33.384	3.7	128.9	125.2
15	425.42	33.388	11.8	132.6	120.9
20	421.44	33.39	22.8	133.9	111.1
25	440.68	33.39	7.8	128.0	120.2
30	439.14	33.391	3.2	128.5	125.3
35	430	33.393	5.4	131.2	125.8
40	431.52	33.397	3.8	130.8	126.9
45	423.88	33.399	10.0	133.1	123.1
50	429.68	33.397	4.3	131.3	127.0
55	438.24	33.399	3.0	128.7	125.7
60	434.88	33.399	7.8	129.7	121.9
65	444.04	33.399	4.3	127.0	122.7
70	435.18	33.399	3.1	129.6	126.5
75	421.44	33.402	5.8	133.9	128.1
80	430.6	33.402	3.2	131.0	127.9
85	426.64	33.401	4.5	132.2	127.7
90	426.94	33.402	5.0	132.2	127.1
95	417.78	33.402	9.0	135.0	126.1
100	422.06	33.402	8.7	133.7	124.9
105	422.98	33.404	6.9	133.4	126.5
110	426.94	33.402	0.1	132.2	132.0
115	429.68	33.404	9.4	131.3	122.0
120	414.12	33.406	11.0	136.2	125.1
125	406.8	33.406	6.9	138.5	131.7
130	383.92	33.406	11.6	146.2	134.6
135	378.42	33.404	10.2	148.2	138.0
140	395.82	33.406	5.8	142.2	136.3
145	399.16	33.406	6.6	141.0	134.4
150	430.3	33.404	3.6	131.1	127.5
155	430.3	33.404	5.3	131.1	125.8
160	433.96	33.406	4.9	130.0	125.1
165	430.6	33.406	8.8	131.0	122.2
170	424.8	33.406	3.3	132.8	129.5
175	425.72	33.406	8.0	132.5	124.5
180	419	33.406	10.5	134.6	124.1
185	431.52	33.408	1.7	130.8	129.0
190	428.16	33.404	3.7	131.8	128.0
195	416.56	33.406	7.7	135.4	127.7
200	406.5	33.406	13.1	138.6	125.5
205	415.96	33.408	15.1	135.6	120.4
210	418.1	33.406	8.6	134.9	126.3
215	434.26	33.404	1.5	129.9	128.4
220	426.02	33.404	7.2	132.4	125.2
225	427.24	33.406	3.7	132.1	128.3
230	422.36	33.404	7.3	133.6	126.3
235	433.66	33.406	6.8	130.1	123.3
240	425.1	33.406	7.6	132.7	125.1
245	424.5	33.406	7.5	132.9	125.4
250	425.1	33.406	9.6	132.7	123.1
255	434.58	33.404	1.8	129.8	128.0
260	412.9	33.404	18.1	136.6	118.5
265	404.96	33.404	21.2	139.1	117.9
270	432.12	33.404	5.2	130.6	125.3
275	395.2	33.404	5.8	142.4	136.6
280	404.96	33.406	9.0	139.1	130.1
285	397.94	33.406	15.0	141.5	126.5
290	387.88	33.404	10.4	144.9	134.5
295	395.5	33.406	6.6	142.3	135.6
