	This is offshore towards inshore from the end of the line to stake 4.5				
EM31					
Dist (m)	BH1	E	Snow	Ice+Snow	Ice
0	439.76	33.413	6.07	128.3	122.2
5	439.14	33.413	6.07	128.5	122.4
10	429.38	33.417	3.74	131.4	127.7
15	449.52	33.417	2.38	125.4	123.0
20	451.66	33.417	3.66	124.8	121.1
25	449.82	33.417	3.58	125.3	121.7
30	441.9	33.417	3.18	127.6	124.5
35	447.08	33.417	1.50	126.1	124.6
40	442.2	33.415	2.38	127.5	125.2
45	440.06	33.417	2.86	128.2	125.3
50	451.04	33.417	2.78	125.0	122.2
55	451.36	33.415	1.82	124.9	123.0
60	444.34	33.417	2.78	126.9	124.1
65	439.14	33.417	3.34	128.5	125.1
70	442.2	33.417	2.94	127.5	124.6
75	430.9	33.415	1.74	130.9	129.2
80	429.08	33.413	4.79	131.5	126.7
85	430.3	33.413	2.22	131.1	128.9
90	435.8	33.415	1.74	129.5	127.7
95	446.16	33.413	3.82	126.4	122.6
100	437.62	33.413	4.71	128.9	124.2
105	422.36	33.415	0.93	133.6	132.6
110	404.36	33.413	2.70	139.3	136.6
115	393.98	33.413	2.94	142.8	139.8
120	382.08	33.413	5.91	146.9	141.0
125	404.96	33.412	9.84	139.1	129.3
130	400.7	33.413	1.42	140.5	139.1
135	404.96	33.413	1.10	139.1	138.0
140	399.16	33.413	1.58	141.0	139.5
145	415.34	33.413	1.90	135.8	133.9
150	433.34	33.415	4.15	130.2	126.1
155	427.86	33.413	6.63	131.9	125.2
160	425.72	33.412	5.83	132.5	126.7
165	429.08	33.413	7.44	131.5	124.1
170	431.52	33.412	1.34	130.8	129.4
175	414.12	33.413	0.85	136.2	135.3
180	395.82	33.413	6.95	142.2	135.2
185	428.46	33.413	3.66	131.7	128.0
190	442.8	33.413	3.02	127.4	124.3
195	444.94	33.412	3.74	126.7	123.0
200	448	33.412	6.15	125.8	119.7
205	437.62	33.412	15.62	128.9	113.3
210	402.52	33.412	10.73	139.9	129.2
215	393.06	33.412	9.84	143.1	133.3
220	340.88	33.412	1.02	162.3	161.3
225	372.62	33.412	3.99	150.2	146.3
230	412.6	33.412	1.26	136.7	135.4
235	360.1	33.412	17.07	154.9	137.8
240	250.24	33.412	7.68	206.0	198.3
245	260.92	33.413	25.58	199.9	174.3
250	253.6	33.413	6.43	204.0	197.6
255	257.88	33.412	20.12	201.6	181.5
260	227.36	33.412	3.18	220.3	217.1
265	273.74	33.412	6.15	193.0	186.8
270	300.3	33.41	2.46	179.8	177.4
275	341.5	33.412	9.44	162.1	152.6
280	402.22	33.41	1.02	140.0	139.0
285	417.18	33.41	3.66	135.2	131.5
290	419.92	33.412	19.48	134.3	114.9
