	This line is more or less perpendicular to the mainline and crosses it at the hut				
EM31					
Dist (m)	BH1	E	Snow	Ice+Snow	Ice
0	424.2	33.307	6.5	133.0	126.5
5	420.22	33.309	5.4	134.2	128.9
10	426.34	33.309	3.3	132.3	129.0
15	424.8	33.309	4.1	132.8	128.7
20	401.92	33.309	10.3	140.1	129.9
25	392.16	33.311	13.3	143.4	130.1
30	387.58	33.309	17.1	145.0	127.9
35	398.26	33.309	11.6	141.3	129.7
40	422.36	33.309	8.0	133.6	125.5
45	421.76	33.303	9.1	133.8	124.7
50	420.54	33.309	9.8	134.1	124.3
55	418.4	33.307	8.4	134.8	126.4
60	411.98	33.307	7.9	136.9	128.9
65	383.6	33.309	17.9	146.3	128.5
70	393.38	33.311	13.4	143.0	129.6
75	349.74	33.309	26.4	158.8	132.4
80	384.22	33.307	11.4	146.1	134.8
85	411.08	33.309	1.7	137.1	135.5
90	408.64	33.309	4.0	137.9	133.9
95	407.4	33.307	4.1	138.3	134.2
100	420.54	33.309	3.8	134.1	130.4
105	425.42	33.309	3.4	132.6	129.3
110	430.3	33.311	4.1	131.1	127.0
115	421.76	33.309	6.7	133.8	127.0
120	390.32	33.307	22.5	144.0	121.6
125	406.5	33.309	19.8	138.6	118.8
130	421.44	33.307	12.3	133.9	121.6
135	424.8	33.305	8.1	132.8	124.7
140	427.24	33.309	4.9	132.1	127.2
145	428.78	33.309	4.5	131.6	127.1
150	424.5	33.309	3.2	132.9	129.7
155	393.98	33.309	12.3	142.8	130.5
160	422.36	33.309	5.4	133.6	128.1
165	424.8	33.309	7.3	132.8	125.5
170	423.58	33.309	8.2	133.2	125.0
175	423.88	33.309	7.9	133.1	125.2
180	419	33.307	7.8	134.6	126.8
185	376.28	33.311	23.4	148.9	125.6
190	375.06	33.309	18.8	149.4	130.6
195	418.7	33.305	4.3	134.7	130.4
200	423.28	33.309	4.1	133.3	129.2
205	418.1	33.309	3.4	134.9	131.5
210	415.96	33.309	3.1	135.6	132.5
215	415.96	33.309	2.7	135.6	132.9
220	419.92	33.311	5.3	134.3	129.0
225	420.54	33.309	6.0	134.1	128.2
230	425.1	33.309	5.8	132.7	126.9
235	425.42	33.307	5.5	132.6	127.1
240	428.16	33.309	4.9	131.8	126.9
245	429.68	33.309	3.8	131.3	127.6
250	430.6	33.309	3.0	131.0	128.0
255	429.68	33.307	3.3	131.3	128.0
260	430.9	33.307	3.2	130.9	127.7
265	429.38	33.309	5.2	131.4	126.2
270	427.86	33.309	3.8	131.9	128.1
275	420.54	33.309	3.6	134.1	130.5
280	408.32	33.309	7.1	138.0	131.0
285	399.78	33.309	14.9	140.8	126.0
290	391.24	33.311	8.5	143.7	135.2
