latitude,longitude,SSMI x-location (km),SSMI y-location (km),thickness,,
65.661,-103.761,"-2,287.5","-1,387.5","9,999",,
65.85,-103.481,"-2,262.5","-1,387.5","9,999",,
66.038,-103.196,"-2,237.5","-1,387.5","9,999",,
66.226,-102.907,"-2,212.5","-1,387.5","9,999",,
66.413,-102.614,"-2,187.5","-1,387.5","9,999",,
66.6,-102.315,"-2,162.5","-1,387.5","9,999",,
66.786,-102.011,"-2,137.5","-1,387.5","9,999",,
66.972,-101.703,"-2,112.5","-1,387.5","9,999",,
67.157,-101.389,"-2,087.5","-1,387.5","9,999",,
67.342,-101.07,"-2,062.5","-1,387.5","9,999",,
67.526,-100.746,"-2,037.5","-1,387.5","9,999",,
67.709,-100.416,"-2,012.5","-1,387.5","9,999",,
67.892,-100.081,"-1,987.5","-1,387.5","9,999",,
68.074,-99.739,"-1,962.5","-1,387.5",-1,,
68.256,-99.392,"-1,937.5","-1,387.5",-1,,
68.437,-99.039,"-1,912.5","-1,387.5",-1,,
68.617,-98.68,"-1,887.5","-1,387.5",-1,,
68.796,-98.315,"-1,862.5","-1,387.5",-1,,
68.975,-97.943,"-1,837.5","-1,387.5","9,999",,
69.153,-97.565,"-1,812.5","-1,387.5","9,999",,
69.33,-97.181,"-1,787.5","-1,387.5","9,999",,
69.506,-96.789,"-1,762.5","-1,387.5","9,999",,
69.681,-96.39,"-1,737.5","-1,387.5","9,999",,
69.856,-95.985,"-1,712.5","-1,387.5",-1,,
70.03,-95.572,"-1,687.5","-1,387.5","9,999",,
70.202,-95.152,"-1,662.5","-1,387.5","9,999",,
70.374,-94.724,"-1,637.5","-1,387.5","9,999",,
70.544,-94.289,"-1,612.5","-1,387.5","9,999",,
70.714,-93.846,"-1,587.5","-1,387.5","9,999",,
70.883,-93.395,"-1,562.5","-1,387.5","9,999",,
71.05,-92.936,"-1,537.5","-1,387.5","9,999",,
71.216,-92.468,"-1,512.5","-1,387.5",-1,,
71.381,-91.992,"-1,487.5","-1,387.5",-1,,
71.545,-91.507,"-1,462.5","-1,387.5",-1,,
71.708,-91.014,"-1,437.5","-1,387.5",-1,,
71.869,-90.512,"-1,412.5","-1,387.5",-1,,
72.029,-90,"-1,387.5","-1,387.5","9,999",,
72.188,-89.479,"-1,362.5","-1,387.5","9,999",,
72.345,-88.949,"-1,337.5","-1,387.5","9,999",,
72.501,-88.409,"-1,312.5","-1,387.5","9,999",,
72.655,-87.859,"-1,287.5","-1,387.5","9,999",,
72.808,-87.299,"-1,262.5","-1,387.5","9,999",,
72.959,-86.73,"-1,237.5","-1,387.5","9,999",,
73.109,-86.149,"-1,212.5","-1,387.5",-1,,
73.257,-85.559,"-1,187.5","-1,387.5",-1,,
73.403,-84.958,"-1,162.5","-1,387.5","9,999",,
73.547,-84.346,"-1,137.5","-1,387.5","9,999",,
73.69,-83.723,"-1,112.5","-1,387.5","9,999",,
73.83,-83.089,"-1,087.5","-1,387.5","9,999",,
73.969,-82.444,"-1,062.5","-1,387.5",-1,,
74.106,-81.787,"-1,037.5","-1,387.5",-1,,
74.24,-81.119,"-1,012.5","-1,387.5",-1,,
74.373,-80.44,-987.5,"-1,387.5",-1,,
74.503,-79.749,-962.5,"-1,387.5",-1,,
74.631,-79.046,-937.5,"-1,387.5",-1,,
74.757,-78.331,-912.5,"-1,387.5",-1,,
74.881,-77.605,-887.5,"-1,387.5",-1,,
75.002,-76.866,-862.5,"-1,387.5",-1,,
75.12,-76.115,-837.5,"-1,387.5",-1,,
75.236,-75.353,-812.5,"-1,387.5",-1,,
75.35,-74.578,-787.5,"-1,387.5",-1,,
75.461,-73.791,-762.5,"-1,387.5",-1,,
75.569,-72.992,-737.5,"-1,387.5",-1,,
75.674,-72.181,-712.5,"-1,387.5",-1,,
75.776,-71.358,-687.5,"-1,387.5",-1,,
75.876,-70.523,-662.5,"-1,387.5",-1,,
75.972,-69.677,-637.5,"-1,387.5",-1,,
76.066,-68.819,-612.5,"-1,387.5",-1,,
76.156,-67.949,-587.5,"-1,387.5",-1,,
76.243,-67.068,-562.5,"-1,387.5","9,999",,
76.327,-66.176,-537.5,"-1,387.5","9,999",,
76.408,-65.273,-512.5,"-1,387.5","9,999",,
76.485,-64.359,-487.5,"-1,387.5","9,999",,
76.559,-63.435,-462.5,"-1,387.5","9,999",,
