"x","y","depth"
-10571.5887252313,4858.73333606993,39
-10746.5988759098,4801.6850798129,98
-10575.695817096,4849.6266072862,25
-10511.3353776445,4923.96221453032,10
-10656.1222051536,5020.4009343142,40
-10511.3836914609,4924.17830702889,10
-10511.3836914609,4924.20917754459,10
-10511.359530204,4924.20917754459,10
-10511.359530204,4924.17830702889,10
-10503.1695251261,4910.22494506548,102
-10513.8962621356,4933.03807390968,350
-10718.6223756816,4823.44862001394,118
-10736.4036343672,4824.99213357431,62
-10692.7719008076,4705.9563774448,55
-10692.7960620645,4705.9255069291,110
-10690.4284415362,4712.96392783088,33
-10719.053764573,4714.32604793911,85
-10569.3660722443,4860.15336979016,30
-10728.0203566291,4986.9993041573,7
-10661.36478042,4906.36616172022,95
-10709.9974940722,4972.92246124241,65
-10691.9988014694,4992.64856296587,140
-10740.0275358841,4834.50017572815,42
-10732.4198623229,4720.69396697435,150
-10171.0754499959,4910.44103756405,8
-10713.98378835,5018.20914548078,58
-10712.8966187646,4988.72803858921,70
-10653.3226217083,4707.92590034331,60
-10258.684897964,4986.75172435506,500
-10576.0823624164,4849.10181296462,23
-10551.7056024482,4905.10048057849,440
-10712.9690938379,4901.55040016756,20
-10700.8411169959,4868.02528794786,105
-10539.8192207802,4924.45613944753,210
-10690.3895469572,4982.03474667452,5
-10641.6507690402,4868.55008226944,680
-10709.804221412,4711.0808419318,100
-10709.2553225344,4693.87869325686,100
-10714.539453771,4995.27253568511,23
-10709.1036058444,4998.45217324162,60
-10505.6337732871,4890.15927100331,475
-10570.7673120767,4852.89885638981,21
-10346.9686693905,4922.33917977509,46
-10739.6651431232,4785.9412434975,23
-10777.7160786098,4803.78425932188,72
-10750.2227687294,4802.20987524581,121
-10584.9729917593,4883.73825485888,18
-10183.3967081954,4868.73530425231,32
-10507.4940422106,4906.76747509033,695
-10507.4457196968,4906.82921612173,640
-10692.1920741296,4877.81116363167,140
-10692.0712765427,4877.71855208457,160
-10712.9932550947,4858.02332087681,85
-10695.6227029863,4788.62695724814,225
-10673.2994846018,4884.5717521148,118
-10701.0343896561,4855.67718057621,95
-10718.1150327742,4845.64434298946,130
-10733.4562045558,4902.50737837495,130
-10701.27598483,4871.54449895441,165
-10691.2498633881,4885.80656274084,60
-10442.7712099982,4868.11789838363,45
-10721.062471283,5026.9454314101,283
-10690.935793141,4701.94324263237,80
-10659.6803894433,4707.87033385958,80
-10659.7238762268,4707.87033385958,245
-10693.3758800451,4714.60005293835,38
-10684.9442797932,4834.65452719532,230
-10569.2694359141,4862.46863957505,29
-10721.0866238425,5026.88369149003,372
-10700.3820879049,4976.16383983033,120
-10721.3765415302,5000.61309267067,280
-10702.1215592414,4994.13033549484,60
-10575.8649284994,4849.47225693036,22
-10178.1058191126,4873.42758485349,60
-10773.7539542862,4862.43776905935,178
-10726.2808852926,4807.05650731417,65
-10570.2358079125,4862.01114182191,65
-10742.274350128,5036.39173364387,310
-10543.7330312873,4915.41115058387,350
-10529.2374339172,4906.33529120452,595
-10683.2289697136,4735.99314917365,285
-10581.9047643608,4857.34417508806,22
-10680.4023287917,4724.72550096087,180
-10665.0853095696,4687.2798643645,112
-10654.6001677341,4724.78724088094,260
-10693.0618097979,4707.77772342381,65
-10709.5143124217,5013.76382678254,359
-10725.749372431,5023.33360996778,149
-10717.0761770052,4801.66408901801,65
-10716.9553794183,4801.62333989283,136
-10756.6249886544,4781.86636765367,35
-10689.1383365274,4891.2952966459,260
-10689.8573209123,4890.90447867323,220
-10700.9174536955,4868.69826030027,40
-10544.4336468549,4913.37371321762,62
-10767.4483706913,4896.10673623745,75
-10702.8463360659,4864.90739142274,150
-10699.9230588139,5025.92671217131,73
-10690.3801277199,4974.21901289984,360
-10689.6553421981,4973.57073651546,280
-10689.7519872255,4975.17599110724,300
-10728.0203566291,5007.34281063811,50
-10742.3869374103,4813.69361484583,34
-10749.4013555748,4783.68771363268,183
-10749.256396731,4783.96554605132,158
-10723.5750332604,4845.05780763648,170
-10742.6367428889,4805.85256720383,80
-10503.1453638692,4910.71886998269,6
-10546.0040067881,4920.93692844098,205
-10699.2185729226,4698.4684848128,50
-10728.3286257394,4685.88823289676,70
-10716.500220651,4700.04657295067,100
-10720.1878998844,4693.98982622432,65
-10766.3370398491,4852.96059742121,66
-10746.6471897262,4801.96291334287,63
-10732.731419034,4823.26339803107,162
-10724.8796367628,4824.77604107574,136
-10694.1489793832,4812.86011758991,28
-10654.2271468033,4694.22320545597,70
-10653.6009371222,4697.5683077764,104
-10658.4366674377,4694.85666337047,50
-10660.2631123411,4691.7449402817,100
-10650.0872050224,4693.07853589118,110
-10660.2457176277,4686.97733597784,95
-10656.8537485215,4685.36590794972,85
-10701.5668592269,4697.76834711782,95
-10656.8276564514,4685.27700157576,220
-10633.8714705396,4689.03947042344,157
-10707.7748410851,4890.68406532489,240
-10709.5384736785,4987.27713657594,200
-10707.6540434982,5001.07614596085,172
-10711.8094491793,5008.06147086477,280
-10703.9093443943,5009.25676705289,100
-10714.322019854,5004.87318938605,260
-10750.276405328,4963.35946939282,56
-10727.4406256221,4950.37024815654,240
-10662.7901815094,4905.06961006278,232
-10662.8868178395,4906.0265893815,82
-10705.3589067406,4886.57832007669,240
-10689.6070283817,4963.19832659,135
-10688.9788878874,4987.30800598031,180
-10689.0996854743,4973.20029366105,260
-10689.0272017037,4891.73365396805,405
-10705.8662496479,5039.81833310332,157
-10721.2799052001,5040.28138750483,44
-10534.4316866699,4915.34940955247,460
-10722.8260951791,4858.70246666556,160
-10720.6517560084,4774.05619052737,78
-10720.386008275,4772.63615791847,36
-10687.553486798,4764.23944432786,65
-10711.8094491793,4802.98163147033,94
-10551.2547923593,4823.58975888261,13
-10709.6109487518,5014.9060269728,366
-10709.5384736785,5014.8134154257,306
-10711.0200162053,4998.84755989058,117
-10730.9436338811,4990.05546076234,126
-10535.3497448519,4925.07354420489,280
-10570.8881096637,4852.18884008536,10
-10536.8717822713,4931.43282042924,650
-10742.854176806,4842.21774353001,39
-10730.7745137804,4829.34484183679,78
-10538.925323855,4893.9254439128,750
-10691.7088924791,4806.006918671,140
-10705.1255305687,4809.03220476035,65
-10717.5352060962,4824.99213357431,57
-10662.9332008426,4695.50123458172,150
-10692.8443758808,4705.8946364134,62
-10439.7271351592,5030.61899388382,171
-10501.3092562026,4892.72150269114,240
-10501.1642973588,4893.67848089853,140
-10726.1842402652,4837.77242483177,55
-10714.0804246801,4844.65649426637,163
-10706.4460763259,4777.28892408175,188
-10721.4006940897,4772.01875204979,190
-10728.7209721967,4834.87061969389,61
-10706.3977538122,5006.13887052778,190
-10690.1868550597,4996.3221254396,80
-10710.0941304023,4991.75332023323,20
-10707.9439524885,4977.33690942496,100
-10684.6060482892,5044.38713386437,105
-10747.8793181554,5022.00618890597,42
-10693.2550824581,4965.32837550336,60
-10695.3569465555,4992.15463915999,35
-10727.4371466794,4950.3457989037,45
-10312.8230383963,4825.08474401008,65
-10670.4245211662,4686.86002846271,202
