"x","y","depth"
-121.5494444,43.71999999,39
-123.5616667,43.20666666,98
-121.5966667,43.63805555,25
-120.8566667,44.30694444,10
-122.5213889,45.17472222,40
-120.8572222,44.30888889,10
-120.8572222,44.30916667,10
-120.8569444,44.30916667,10
-120.8569444,44.30888889,10
-120.7627778,44.18333333,102
-120.8861111,44.38861111,350
-123.24,43.4025,118
-123.4444444,43.41638889,62
-122.9427778,42.34527778,55
-122.9430556,42.345,110
-122.9158333,42.40833333,33
-123.24496,42.42059,85
-121.5238889,43.73277778,30
-123.3480556,44.87416667,7
-122.5816667,44.14861111,95
-123.1408333,44.7475,65
-122.9338889,44.925,140
-123.4861111,43.50194444,42
-123.39864,42.47789,150
-116.9444444,44.18527778,8
-123.1866667,45.155,58
-123.1741667,44.88972222,70
-122.4892,42.363,60
-117.9517556,44.87193889,500
-121.6011111,43.63333333,23
-121.3208333,44.13722222,440
-123.175,44.10527778,20
-123.0355556,43.80361111,105
-121.1841667,44.31138889,210
-122.9153861,44.82949444,5
-122.355,43.80833333,680
-123.1386111,42.39138889,100
-123.1323,42.2366,100
-123.1930556,44.94861111,23
-123.1305556,44.97722222,60
-120.7911111,44.00277778,475
-121.54,43.6675,21
-118.96682,44.29234,46
-123.4819444,43.065,23
-123.9194444,43.22555556,72
-123.6033333,43.21138889,121
-121.7033333,43.945,18
-117.0861111,43.81,32
-120.8125,44.15222222,695
-120.8119444,44.15277778,640
-122.9361111,43.89166667,140
-122.9347222,43.89083333,160
-123.1752778,43.71361111,85
-122.9755556,43.08916667,225
-122.7188889,43.9525,118
-123.0377778,43.6925,95
-123.2341667,43.60222222,130
-123.4105556,44.11388889,130
-123.0405556,43.83527778,165
-122.9252778,43.96361111,60
-120.0683333,43.80444444,45
-123.2680556,45.23361111,283
-122.9216667,42.30916667,80
-122.5623,42.3625,80
-122.5628,42.3625,245
-122.9497222,42.42305556,38
-122.8527778,43.50333333,230
-121.5227778,43.75361111,29
-123.2683333,45.23305556,372
-123.0302778,44.77666667,120
-123.2716667,44.99666667,280
-123.0502778,44.93833333,60
-121.5986111,43.63666667,22
-117.0252778,43.85222222,60
-123.8738889,43.75333333,178
-123.3280556,43.255,65
-121.5338889,43.74949444,65
-123.5119444,45.31861111,310
-121.2291667,44.23,350
-121.0625,44.14833333,595
-122.8330556,42.61555556,285
-121.6680556,43.7075,22
-122.8005556,42.51416667,180
-122.6244444,42.17722222,112
-122.5038889,42.51472222,260
-122.9461111,42.36166667,65
-123.1352778,45.115,359
-123.3219444,45.20111111,149
-123.2222222,43.20647778,65
-123.2208333,43.20611111,136
-123.6769444,43.02833333,35
-122.901,44.013,260
-122.9092667,44.00948333,220
-123.0364333,43.80966667,40
-121.2372222,44.21166667,62
-123.8013889,44.05629444,75
-123.0586111,43.77555556,150
-123.025,45.22444444,73
-122.9152778,44.75916667,360
-122.9069444,44.75333333,280
-122.9080556,44.76777778,300
-123.3480556,45.05722222,50
-123.5132389,43.31472222,34
-123.5938889,43.04472222,183
-123.5922222,43.04722222,158
-123.2969444,43.59694444,170
-123.5161111,43.24416667,80
-120.7625,44.18777778,6
-121.2552778,44.27972222,205
-123.0169,42.2779,50
-123.3516,42.1647,70
-123.2156,42.2921,100
-123.258,42.2376,65
-123.7886111,43.66805556,66
-123.5622222,43.20916667,63
-123.4022222,43.40083333,162
-123.3119444,43.41444444,136
-122.9586111,43.30722222,28
-122.4996,42.2397,70
-122.4924,42.2698,104
-122.548,42.2454,50
-122.569,42.2174,100
-122.452,42.2294,110
-122.5688,42.1745,95
-122.5298,42.16,85
-123.0439,42.2716,95
-122.5295,42.1592,220
-122.2655556,42.19305556,157
-123.1152778,44.0075,240
-123.1355556,44.87666667,200
-123.1138889,45.00083333,172
-123.1616667,45.06368889,280
-123.0708333,45.07444444,100
-123.1905556,45.035,260
-123.60395,44.66145,56
-123.34139,44.54457,240
-122.5980556,44.13694444,232
-122.5991667,44.14555556,82
-123.0875,43.97055556,240
-122.9063889,44.66,135
-122.8991667,44.87694444,180
-122.9005556,44.75,260
-122.8997222,44.01694444,405
-123.0933333,45.34944444,157
-123.2705556,45.35361111,44
-121.1222222,44.22944444,460
-123.2883333,43.71972222,160
-123.2633333,42.95805556,78
-123.2602778,42.94527778,36
-122.8827778,42.86972222,65
-123.1616667,43.21833333,94
-121.31565,43.40377,13
-123.1363889,45.12527778,366
-123.1355556,45.12444444,306
-123.15259,44.98078,117
-123.3816667,44.90166667,126
-121.1327778,44.31694444,280
-121.5413889,43.66111111,10
-121.1502778,44.37416667,650
-123.5186111,43.57138889,39
-123.3797222,43.45555556,78
-121.1738889,44.03666667,750
-122.9305556,43.24555556,140
-123.0848167,43.27277778,65
-123.2275,43.41638889,57
-122.5997,42.2512,150
-122.9436111,42.34472222,62
-120.0333333,45.26666667,171
-120.7413889,44.02583333,240
-120.7397222,44.03444444,140
-123.3269444,43.53138889,55
-123.1877778,43.59333333,163
-123.1,42.98714444,188
-123.2719444,42.93972222,190
-123.3561111,43.50527778,61
-123.0994444,45.04638889,190
-122.9130556,44.95805556,80
-123.1419444,44.9169444,20
-123.1172222,44.78722222,100
-122.8488889,45.39055556,105
-123.5763889,45.18916667,42
-122.9483333,44.67916667,60
-122.9725,44.92055556,35
-123.34135,44.54435,45
-118.5742222,43.41722222,65
-122.6858333,42.17344444,202
-122.8844444,43.98083333,145
-123.8844444,43.98083333,40
-123.3402778,44.09361111,115
-122.8794444,43.73916667,115
-123.2286111,43.605,67
-123.0602778,43.74166667,58
-123.0902778,43.79333333,120
-123.0280556,44.02555556,127
-123.1933333,43.94916667,60
-122.8772222,43.97611111,218
-123.19,43.94638889,155
-123.2511111,45.23388889,65
-122.7513889,42.20222222,101
-123.0132,42.184,120
-121.5308333,43.76083333,75
-123.0761111,45.12244444,47
-123.3444444,43.38416667,93
-123.5413889,43.08166667,170
-123.5308333,43.3975,144
-123.4875,43.50138889,182
-123.5813889,43.63555556,40
-123.7536111,43.65416667,93
-123.6036111,43.64472222,92
-122.8811111,42.27277778,81
-122.3083,42.3124,115
-122.5627,42.2173,120
-122.5627,42.2172,75
-122.5402,42.3286,160
-123.1306,42.2457,50
-123.1306,42.2459,200
-122.521,42.3,50
-122.5949,42.185,60
-122.8802778,42.27277778,161
-123.1847222,43.31083333,36
-123.1777778,43.46777778,57
-123.3222222,45.87027778,4.5
-122.7508333,42.20361111,162
-122.4946,42.3583,200
-122.5369,42.2458,60
-121.5369444,43.75888889,35
-123.0961111,43.99166667,250
-123.1375,43.71555556,250
-123.1352778,43.98777778,240
-123.2766667,44.3075,90
-123.0233333,44.07666667,105
-122.9027778,44.10166667,275
-123.2394444,43.64666667,300
-121.3608333,44.16527778,770
-122.5626,42.2176,130
-117.1630556,44.11694444,30
-123.0591667,44.85527778,365
-122.8586111,44.52666667,290
-122.8572222,44.52611111,370
-122.7686111,45.02527778,70
-122.7419444,44.77138889,280
-122.9538889,44.86888889,365
-122.8594444,44.52555556,510
-122.9252778,44.47527778,95
-122.8569444,44.52504444,50
-123.2680556,45.24,144
-123.3075,45.22222222,101
-123.2836111,45.23972222,217
-123.2530556,43.59861111,59
-123.2758333,43.43111111,24
-123.1725,43.39722222,21
-117.2072222,44.11388889,18
-122.33137,45.26995,75
-122.9944444,42.29027778,101
-123.6177778,43.13638889,25
-123.23,43.39833333,151
-123.995,42.94111111,96
-121.07034,44.37871,15
-122.5844444,42.385,115
-122.7272222,42.19777778,60
-121.3775,44.18972222,397
-116.9752778,44.05972222,8
-123.0118,42.233,110
-122.9863889,42.29222222,82
-121.214,44.324,125
-123.0194444,42.94166667,199
-123.0322222,42.94055556,230
-123.1691667,43.08694444,191
-123.1744444,43.0825,90
-123.3705556,43.44194444,86
-123.4302778,43.27444444,253
-122.4796,42.1622,180
-122.5428,42.3254,225
-122.5143,42.3255,80
-123.2379,42.3065,75
-122.5363,42.1733,170
-121.5291667,43.67416667,16
-122.5572222,42.1325,78
-123.597011,42.124047,67
-123.01984,44.83362,68
-122.89352,45.15143,74
-122.88644,44.92071,226
-122.88697,44.87257,37
-122.90504,44.90073,91
-122.90663,44.89467,94
-122.87686,44.81536,10
-122.74352,45.22329,51
-122.50438,45.14569,35
-122.7073,45.2123,64
-123.12016,44.82721,31
-122.5435,45.16796,167
-122.68598,45.22596,11
-122.98036,45.06702,58
-122.84596,45.13395,32
-122.81928,45.16217,76
-122.66736,44.18613,78
-122.81464,45.021,95
-122.81409,45.0239,112
-123.2869444,43.49805556,23
-123.2727778,43.50166667,260
-123.2972222,43.71916667,86
-123.3075,43.58944444,26
-123.2258333,43.63833333,94
-123.2025,43.62,66
-123.4455556,43.27888889,124
-123.2683333,43.40527778,250
-121.20386,44.06438,700
-123.2544444,45.48472222,107
-122.5611111,42.11805556,96
-122.5575,42.12555556,38
-122.7425,44.58416667,40
-123.0775,43.865,95
-122.9088889,44.27388889,250
-123.0594444,43.83166667,57
-123.0997222,43.87555556,80
-123.0394444,43.83444444,118
-123.1761111,43.71916667,160
-123.0388889,43.90611111,35
-123.0825,43.9125,178
-123.2302778,43.66027778,180
-122.8461111,43.70277778,62
-123.3605556,44.86305556,50
-122.8205556,44.76416667,40
-123.0588889,44.8575,280
-121.4033333,44.1025,390
-122.3833333,43.57083333,12.5
-121.7611111,44.16472222,550
-121.4938889,43.7475,35
-121.6158333,43.84888889,25
-123.612923,42.062478,237
-123.650304,42.153055,262
-123.599911,42.3193,90
-123.521761,42.362517,132
-123.196824,42.474028,65
-122.5049,42.2398,25
-122.5529,42.3399,140
-123.0807,42.3435,110
-123.8144444,42.40861111,93
-123.0197222,43.2325,72
-123.02,43.23222222,88
-123.2641667,42.8,30
-123.5538889,43.6225,74
-123.7911111,43.66722222,42
-122.6413889,42.16333333,485
-123.703389,42.067477,35
-121.1872222,44.34305556,250
-121.4741667,43.8525,20
-122.3527,42.0642,410
-123.3494444,43.19333333,392
-122.76058,45.12859,46
-121.2652778,44.31694444,230
-123.29839,42.397418,224
-123.2997222,45.25333333,240
-123.2125,45.08888889,90
-123.1113889,45.25972222,119
-123.6716667,43.035,32
-123.3216667,43.25277778,371
-123.0752778,42.94423333,63
-122.9172222,42.95666667,63
-122.6063889,43.79146111,420
-123.30911,44.0307,195
-123.466297,42.447619,136
-121.2458333,44.13916667,567
-121.3225,44.18388889,595
-121.3722222,44.33277778,710
-119.9602778,44.13944444,120
-122.811958,42.628314,93
-121.4702778,43.53222222,75
-117.4227778,44.13888889,20
-123.7058333,43.03111111,98
-123.2047222,43.40888889,135
-122.8625,43.76590556,87
-123.3419444,44.05583333,60
-122.5913889,44.14638889,100
-123.719371,42.04599,81
-121.4583333,43.79583333,132
-122.4061111,44.80888889,25
-122.4038889,44.80416667,130
-123.0629,42.2586,72
-122.5935,42.2522,205
-122.5843,42.2345,100
-117.0252,44.0881,40
-123.0861111,43.92972222,390
-122.4843,42.3734,70
-123.7613889,43.04222222,166
-120.91204,44.35683,60
-123.665267,42.133248,114
-123.633569,42.24453,182
-123.676674,42.112353,62
-123.526545,42.30102,94
-123.66224,43.03608,25
-123.263,44.968,220
-123.288,45.201,130
-122.55,44.9241666,415
-123.376954,42.488529,125
-123.667479,42.131216,40
-121.1629,44.09415,620
-123.727061,42.007765,141
-121.4767,44.23802,340
-122.7027778,42.35388889,270
-122.36423,45.34583333,96
-123.0669444,43.80833333,318
-122.6752778,44.10654444,40
-122.6755556,44.10577778,40
-122.3336111,44.20861111,30
-123.1797222,43.70805556,110
-122.9355556,43.88861111,80
-123.623019,42.150177,103
-117.6719444,45.80805556,60
-123.27421,45.1831,26
-120.96909,44.24144,847
-117.0805556,43.71555556,118
-123.0325,43.26416667,120
-121.3022222,44.28555556,575
-123.350537,42.385974,73
-121.2438889,44.25861111,260
-123.437674,42.466436,468
-122.9902,44.678,145
-123.16638,45.11194,180
-122.9166,44.9652,80
-123.1072,44.9644,120
-123.23303,44.63818,43
-120.7105556,44.305,90
-123.399481,42.694098,64
-123.275686,42.281779,78
-120.7902778,44.16777778,460
-123.0477778,43.95972222,160
-122.9744444,43.94277778,60
-123.597503,42.295514,42
-117.0386111,44.00305556,27
-123.387489,42.591994,38
-122.808438,45.888181,83
-122.8319444,42.26305556,141
-123.2727778,43.24527778,187
-121.51163,44.28299,53
-123.608938,42.071313,22
-121.0375,44.29583333,267
-120.776945,44.221992,260
-122.25362,42.2451,60
-122.3437,42.2303,95
-123.1049,42.2591,110
-122.27169,45.2903,70
-123.384431,42.486663,131
-122.5444,42.1783,100
-122.4078,42.103,455
-122.5592,42.2206,72
-122.3818,42.2571,55
-122.5443,42.1786,140
-123.056836,42.387139,165
-122.9113,45.0141,70
-123.033,45.0738,40
-120.7286111,44.14888889,640
-123.63324,42.022718,78
-122.7058333,44.59277778,180
-123.5083333,43.14916667,96
-123.3583333,43.07805556,261
-120.8078,44.1503,690
-123.436281,42.687816,52
-121.97492,44.197303,238
-123.135337,42.823318,74
-121.5419444,43.72583333,46
-122.8527778,42.41638889,109
-123.1147222,45.20194444,31
-123.1286111,45.10666667,135
-123.387215,42.452745,81
-121.81976,43.39368,8
-116.97307,44.14045,40
-121.7144444,43.66694444,58
-116.9713889,44.37333333,26
-116.9663889,43.98972222,18
-122.8638889,42.4675,125
-123.0902,45.0325,15
-123.0897,45.0741,60
-121.35698,45.62216,375
-122.7541667,43.68416667,70
-123.3488889,44.03111111,135
-122.9441667,43.99194444,90
-122.9533333,44.00583333,75
-122.9405556,43.91472222,380
-122.9386111,43.91638889,430
-122.9438889,43.91611111,86
-122.9463889,43.9125,160
-123.2711111,45.22333333,348
-121.345115,42.169154,124
-123.5527778,43.60944444,270
-123.7030556,43.66305556,138
-123.5102778,43.50694444,190
-123.3722222,43.43666667,76
-121.4855556,43.53769444,51
-122.7558333,42.20583333,102
-123.3719444,43.38756111,97
-123.7022222,43.03333333,48
-120.14854,43.40744,190
-123.567096,42.16201,61
-123.530289,42.296355,43
-123.621626,42.148448,162
-123.681339,42.099437,24
-122.45404,42.754518,123
-122.55033,42.720742,123
-122.938131,42.248542,92
-123.82812,44.40167,76
-123.1844444,45.25472222,31
-123.0361111,45.12361111,22
-117.0869444,43.97305556,80
-117.0522222,43.86527778,60
-117.0733333,43.91,180
-123.15797,45.5148,15
-123.0655556,42.74194444,56
-123.6247222,43.3175,67
-123.2455556,43.40805556,53
-123.5236111,43.50305556,131
-123.5563889,43.56694444,62
-123.1008333,45.27083333,120
-122.7816667,45.00833333,360
-123.2469444,45.09305556,11
-122.90247,44.85265,140
-122.90184,44.89596,30
-121.59,45.648,120
-121.54,43.57972222,22
-122.66275,45.51866389,25
-122.6914083,45.54777778,26
-122.6914,45.54777778,26
-123.37291,44.49605,60
-123.529219,42.298996,104
-122.5391,42.2348,55
-121.5891667,43.54888889,34
-116.9947222,42.88138889,16
-121.786,43.2243,41
-121.5136111,44.04444444,11
-120.7741667,45.89611111,205
-123.659061,42.12025,81
-120.7688889,44.33333333,150
-121.5680556,43.85083333,122
-118.7288889,43.44944444,27
-123.600995,42.292601,56
-123.23061,44.639,25
-123.7272222,43.57444444,280
-123.5516667,43.44388889,370
-123.6963889,43.69194444,257
-123.2183333,42.97944444,51
-123.0658333,44.05083333,60
-122.98,43.94972222,35
-123.1269444,43.97555556,160
-123.0728333,43.74798333,40
-123.0211111,44.10027778,22
-123.632665,42.162754,81
