 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             ATI 
 Log Date:         81AUG26 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     12.19   999.99   -9.620
     15.24   999.99   -9.564
     18.29   999.99   -9.536
     21.34   999.99   -9.519
     24.38   999.99   -9.505
     27.43   999.99   -9.496
     30.48   999.99   -9.475
     33.53   999.99   -9.459
     36.58   999.99   -9.444
     39.62   999.99   -9.428
     42.67   999.99   -9.410
     45.72   999.99   -9.391
     48.77   999.99   -9.358
     51.82   999.99   -9.327
     54.86   999.99   -9.287
     57.91   999.99   -9.243
     60.96   999.99   -9.191
     64.01   999.99   -9.136
     67.06   999.99   -9.078
     70.10   999.99   -9.008
     73.15   999.99   -8.949
     76.20   999.99   -8.879
     79.25   999.99   -8.838
     82.30   999.99   -8.773
     85.34   999.99   -8.714
     88.39   999.99   -8.656
     91.44   999.99   -8.597
     94.49   999.99   -8.536
     97.54   999.99   -8.465
    100.58   999.99   -8.416
    103.63   999.99   -8.346
    106.68   999.99   -8.288
    109.73   999.99   -8.221
    112.78   999.99   -8.155
    115.82   999.99   -8.103
    118.87   999.99   -8.032
    121.92   999.99   -7.972
    124.97   999.99   -7.913
    128.02   999.99   -7.851
    131.06   999.99   -7.788
    134.11   999.99   -7.718
    137.16   999.99   -7.648
    140.21   999.99   -7.588
    143.26   999.99   -7.514
    146.30   999.99   -7.452
    149.35   999.99   -7.397
    152.40   999.99   -7.330
    155.45   999.99   -7.271
    158.50   999.99   -7.215
    161.54   999.99   -7.146
    164.59   999.99   -7.093
    167.64   999.99   -7.020
    170.69   999.99   -6.950
    173.74   999.99   -6.892
    176.78   999.99   -6.828
    179.83   999.99   -6.768
    182.88   999.99   -6.689
    185.93   999.99   -6.643
    188.98   999.99   -6.566
    192.02   999.99   -6.502
    195.07   999.99   -6.429
    198.12   999.99   -6.350
    201.17   999.99   -6.283
    204.22   999.99   -6.211
    207.26   999.99   -6.153
    210.31   999.99   -6.087
    213.36   999.99   -6.024
    216.41   999.99   -5.941
    219.46   999.99   -5.855
    222.50   999.99   -5.782
    225.55   999.99   -5.695
    228.60   999.99   -5.612
    231.65   999.99   -5.528
    234.70   999.99   -5.430
    237.74   999.99   -5.316
    240.79   999.99   -5.208
    243.84   999.99   -5.092
    246.89   999.99   -4.966
    249.94   999.99   -4.853
    252.98   999.99   -4.758
    256.03   999.99   -4.659
    259.08   999.99   -4.585
    262.13   999.99   -4.510
    265.18   999.99   -4.453
    268.22   999.99   -4.405
    271.27   999.99   -4.340
    274.32   999.99   -4.283
    277.37   999.99   -4.217
    280.42   999.99   -4.148
    283.46   999.99   -4.075
    286.51   999.99   -4.008
    289.56   999.99   -3.930
    292.61   999.99   -3.850
    295.66   999.99   -3.765
    298.70   999.99   -3.671
    301.75   999.99   -3.577
    304.80   999.99   -3.486
    307.85   999.99   -3.376
    310.90   999.99   -3.293
    313.94   999.99   -3.195
    316.99   999.99   -3.112
    320.04   999.99   -3.011
    323.09   999.99   -2.917
    326.14   999.99   -2.813
    329.18   999.99   -2.707
    332.23   999.99   -2.597
    335.28   999.99   -2.500
    338.33   999.99   -2.400
    341.38   999.99   -2.298
    344.42   999.99   -2.187
    347.47   999.99   -2.049
    350.52   999.99   -1.939
    353.57   999.99   -1.804
    356.62   999.99   -1.698
    359.66   999.99   -1.583
    362.71   999.99   -1.463
    365.76   999.99   -1.331
    368.81   999.99   -1.211
    371.86   999.99   -1.076
    374.90   999.99    -.907
    377.95   999.99    -.787
    381.00   999.99    -.643
    384.05   999.99    -.502
    387.10   999.99    -.356
    390.14   999.99    -.222
    393.19   999.99    -.093
    396.24   999.99     .023
    399.29   999.99     .185
    402.34   999.99     .318
    405.38   999.99     .461
    408.43   999.99     .621
    411.48   999.99     .779
    414.53   999.99     .902
    417.58   999.99    1.032
    420.62   999.99    1.209
    423.67   999.99    1.323
    426.72   999.99    1.490
    429.77   999.99    1.632
    432.82   999.99    1.782
    435.86   999.99    1.934
    438.91   999.99    2.108
    441.96   999.99    2.279
    445.01   999.99    2.452
    448.06   999.99    2.556
    451.10   999.99    2.719
    454.15   999.99    2.866
    457.20   999.99    3.041
    460.25   999.99    3.186
    463.30   999.99    3.353
    466.34   999.99    3.507
    469.39   999.99    3.665
    472.44   999.99    3.845
    475.49   999.99    4.005
    478.54   999.99    4.170
    481.58   999.99    4.363
    484.63   999.99    4.532
    487.68   999.99    4.719
    490.73   999.99    4.875
    493.78   999.99    5.048
    496.83   999.99    5.229
    499.87   999.99    5.386
    502.92   999.99    5.561
    505.97   999.99    5.742
    509.02   999.99    5.923
    512.07   999.99    6.091
    515.11   999.99    6.248
    518.16   999.99    6.452
    521.21   999.99    6.593
    524.26   999.99    6.750
    527.31   999.99    6.928
    530.35   999.99    7.118
    533.40   999.99    7.256
    536.45   999.99    7.409
    539.50   999.99    7.593
    542.55   999.99    7.738
    545.59   999.99    7.888
    548.64   999.99    8.047
    551.69   999.99    8.189
    554.74   999.99    8.362
    557.79   999.99    8.499
    560.83   999.99    8.645
    563.88   999.99    8.826
    566.93   999.99    8.969
    569.98   999.99    9.124
    573.03   999.99    9.284
    576.07   999.99    9.399
    579.12   999.99    9.570
    582.17   999.99    9.707
    585.22   999.99    9.857
    588.27   999.99    9.979
    591.31   999.99   10.109
    594.36   999.99   10.252
    597.41   999.99   10.391
    600.46   999.99   10.523
    603.51   999.99   10.665
    606.55   999.99   10.782
    609.60   999.99   10.900
    612.65   999.99   10.996
    615.70   999.99   11.085
    618.75   999.99   11.486
    621.79   999.99   11.536
    624.84   999.99   11.580
    627.89   999.99   11.926
    630.94   999.99   11.980
    633.99   999.99   12.030
    637.03   999.99   12.092
    640.08   999.99   12.328
    643.13   999.99   12.516
    646.18   999.99   12.680
    649.23   999.99   12.793
