 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             ATI 
 Log Date:         80SEP11 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     12.19   999.99   -9.466
     15.24   999.99   -9.457
     18.29   999.99   -9.445
     21.34   999.99   -9.446
     24.38   999.99   -9.442
     27.43   999.99   -9.433
     30.48   999.99   -9.415
     33.53   999.99   -9.401
     36.58   999.99   -9.388
     39.62   999.99   -9.378
     42.67   999.99   -9.362
     45.72   999.99   -9.344
     48.77   999.99   -9.306
     51.82   999.99   -9.268
     54.86   999.99   -9.216
     57.91   999.99   -9.171
     60.96   999.99   -9.125
     64.01   999.99   -9.061
     67.06   999.99   -9.005
     70.10   999.99   -8.946
     73.15   999.99   -8.880
     76.20   999.99   -8.809
     79.25   999.99   -8.753
     82.30   999.99   -8.694
     85.34   999.99   -8.634
     88.39   999.99   -8.576
     91.44   999.99   -8.517
     94.49   999.99   -8.460
     97.54   999.99   -8.409
    100.58   999.99   -8.347
    103.63   999.99   -8.267
    106.68   999.99   -8.213
    109.73   999.99   -8.154
    112.78   999.99   -8.089
    115.82   999.99   -8.024
    118.87   999.99   -7.965
    121.92   999.99   -7.884
    124.97   999.99   -7.804
    128.02   999.99   -7.754
    131.06   999.99   -7.687
    134.11   999.99   -7.621
    137.16   999.99   -7.563
    140.21   999.99   -7.490
    143.26   999.99   -7.429
    146.30   999.99   -7.364
    149.35   999.99   -7.307
    152.40   999.99   -7.250
    155.45   999.99   -7.196
    158.50   999.99   -7.134
    161.54   999.99   -7.068
    164.59   999.99   -7.007
    167.64   999.99   -6.941
    170.69   999.99   -6.858
    173.74   999.99   -6.803
    176.78   999.99   -6.736
    179.83   999.99   -6.668
    182.88   999.99   -6.617
    185.93   999.99   -6.539
    188.98   999.99   -6.462
    192.02   999.99   -6.398
    195.07   999.99   -6.308
    198.12   999.99   -6.240
    201.17   999.99   -6.184
    204.22   999.99   -6.111
    207.26   999.99   -6.051
    210.31   999.99   -5.973
    213.36   999.99   -5.903
    216.41   999.99   -5.822
    219.46   999.99   -5.748
    222.50   999.99   -5.674
    225.55   999.99   -5.583
    228.60   999.99   -5.500
    231.65   999.99   -5.401
    234.70   999.99   -5.299
    237.74   999.99   -5.157
    240.79   999.99   -5.052
    243.84   999.99   -4.920
    246.89   999.99   -4.814
    249.94   999.99   -4.705
    252.98   999.99   -4.630
    256.03   999.99   -4.549
    259.08   999.99   -4.489
    262.13   999.99   -4.423
    265.18   999.99   -4.356
    268.22   999.99   -4.302
    271.27   999.99   -4.235
    274.32   999.99   -4.181
    277.37   999.99   -4.110
    280.42   999.99   -4.030
    283.46   999.99   -3.978
    286.51   999.99   -3.885
