 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             ATI 
 Log Date:         77DEC14 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      5.49   999.99  -12.708
      8.53   999.99  -10.183
     11.58   999.99   -8.335
     14.63   999.99   -8.331
     17.68   999.99   -8.361
     20.73   999.99   -8.439
     23.77   999.99   -8.524
     26.82   999.99   -8.527
     29.87   999.99   -8.470
     32.92   999.99   -8.413
     35.97   999.99   -8.403
     39.01   999.99   -8.463
     42.06   999.99   -8.494
     45.11   999.99   -8.498
     48.16   999.99   -8.462
     51.21   999.99   -8.410
     54.25   999.99   -8.307
     57.30   999.99   -8.233
     60.35   999.99   -8.165
     63.40   999.99   -8.104
     66.45   999.99   -8.004
     69.49   999.99   -7.949
     72.54   999.99   -7.923
     75.59   999.99   -7.892
     78.64   999.99   -7.853
     81.69   999.99   -7.807
     84.73   999.99   -7.780
     87.78   999.99   -7.741
     90.83   999.99   -7.728
     93.88   999.99   -7.696
     96.93   999.99   -7.646
     99.97   999.99   -7.608
    103.02   999.99   -7.552
    106.07   999.99   -7.481
    109.12   999.99   -7.436
    112.17   999.99   -7.395
    115.21   999.99   -7.340
    118.26   999.99   -7.283
    121.31   999.99   -7.217
    124.36   999.99   -7.127
    127.41   999.99   -7.050
    130.45   999.99   -6.983
    133.50   999.99   -6.925
    136.55   999.99   -6.855
    139.60   999.99   -6.798
    142.65   999.99   -6.731
    145.69   999.99   -6.657
    148.74   999.99   -6.593
    151.79   999.99   -6.532
    154.84   999.99   -6.471
    157.89   999.99   -6.409
    160.93   999.99   -6.344
    163.98   999.99   -6.249
    167.03   999.99   -6.136
    170.08   999.99   -6.079
    173.13   999.99   -6.010
    176.17   999.99   -5.951
    179.22   999.99   -5.886
    182.27   999.99   -5.802
    185.32   999.99   -5.726
    188.37   999.99   -5.619
    191.41   999.99   -5.502
    194.46   999.99   -5.367
    197.51   999.99   -5.258
    200.56   999.99   -5.243
    203.61   999.99   -5.239
    206.65   999.99   -5.234
    209.70   999.99   -5.176
    212.75   999.99   -5.048
    215.80   999.99   -4.879
    218.85   999.99   -4.790
    221.89   999.99   -4.664
    224.94   999.99   -4.554
    227.99   999.99   -4.467
    231.04   999.99   -4.360
    234.09   999.99   -4.243
    237.13   999.99   -4.102
    240.18   999.99   -3.922
    243.23   999.99   -3.752
    246.28   999.99   -3.622
    249.33   999.99   -3.511
    252.37   999.99   -3.446
    255.42   999.99   -3.417
    258.47   999.99   -3.387
    261.52   999.99   -3.361
    264.57   999.99   -3.317
    267.61   999.99   -3.290
    270.66   999.99   -3.305
    273.71   999.99   -3.307
    276.76   999.99   -3.242
    279.81   999.99   -3.161
    282.86   999.99   -3.106
    285.90   999.99   -3.034
    288.95   999.99   -2.944
    292.00   999.99   -2.879
    295.05   999.99   -2.800
    298.10   999.99   -2.729
    301.14   999.99   -2.659
    304.19   999.99   -2.593
    307.24   999.99   -2.521
    310.29   999.99   -2.469
    313.33   999.99   -2.400
    316.38   999.99   -2.341
    319.43   999.99   -2.283
    322.48   999.99   -2.259
    325.53   999.99   -2.239
    328.58   999.99   -2.176
    331.62   999.99   -2.063
    334.67   999.99   -1.922
    337.72   999.99   -1.827
    340.77   999.99   -1.713
    343.82   999.99   -1.550
    346.86   999.99   -1.436
    349.91   999.99   -1.299
    352.96   999.99   -1.152
    356.01   999.99    -.986
    359.06   999.99    -.796
    362.10   999.99    -.635
    365.15   999.99    -.397
    368.20   999.99    -.256
    371.25   999.99    -.097
    374.30   999.99     .054
    377.34   999.99     .222
    380.39   999.99     .385
    383.44   999.99     .504
    386.49   999.99     .667
    389.54   999.99     .794
    392.58   999.99     .942
    398.68   999.99    1.195
    404.78   999.99    1.486
    410.87   999.99    1.772
    416.97   999.99    2.064
    423.06   999.99    2.346
    429.16   999.99    2.632
    435.26   999.99    2.953
    441.35   999.99    3.260
    447.45   999.99    3.542
    453.54   999.99    3.820
    459.64   999.99    4.147
    465.74   999.99    4.434
    471.83   999.99    4.742
    477.93   999.99    5.072
    484.02   999.99    5.432
    490.12   999.99    5.748
    496.22   999.99    6.152
    502.31   999.99    6.474
    508.41   999.99    6.794
    514.50   999.99    7.167
    520.60   999.99    7.469
    526.70   999.99    7.763
    532.79   999.99    8.087
    538.89   999.99    8.405
    544.98   999.99    8.700
    554.13   999.99    9.104
    557.18   999.99    9.236
    563.27   999.99    9.547
    569.37   999.99    9.871
    575.46   999.99   10.154
    581.56   999.99   10.429
    587.66   999.99   10.665
    593.75   999.99   10.939
    599.85   999.99   11.197
    605.94   999.99   11.434
    608.99   999.99   11.682
    612.04   999.99   11.901
    618.14   999.99   12.356
    624.23   999.99   12.666
    630.33   999.99   12.800
    636.42   999.99   13.089
    648.62   999.99   13.436
    654.71   999.99   13.735
    658.06   999.99   13.898
