 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             AWUN
 Log Date:         81AUG22 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     30.48   999.99   -1.861
     33.53   999.99   -1.957
     36.58   999.99   -2.075
     39.62   999.99   -2.112
     42.67   999.99   -2.091
     45.72   999.99   -2.065
     48.77   999.99   -2.031
     51.82   999.99   -1.996
     54.86   999.99   -1.959
     57.91   999.99   -1.929
     60.96   999.99   -1.860
     64.01   999.99   -1.778
     67.06   999.99   -1.730
     70.10   999.99   -1.706
     73.15   999.99   -1.762
     76.20   999.99   -1.800
     79.25   999.99   -1.764
     82.30   999.99   -1.662
     85.34   999.99   -1.577
     88.39   999.99   -1.478
     91.44   999.99   -1.348
     94.49   999.99   -1.247
     97.54   999.99   -1.167
    100.58   999.99   -1.135
    103.63   999.99   -1.160
    106.68   999.99   -1.158
    109.73   999.99   -1.141
    112.78   999.99   -1.108
    115.82   999.99   -1.069
    118.87   999.99   -1.014
    121.92   999.99    -.937
    124.97   999.99    -.886
    128.02   999.99    -.795
    131.06   999.99    -.745
    134.11   999.99    -.692
    137.16   999.99    -.634
    140.21   999.99    -.590
    143.26   999.99    -.536
    146.30   999.99    -.486
    149.35   999.99    -.419
    152.40   999.99    -.355
    155.45   999.99    -.293
    158.50   999.99    -.227
    161.54   999.99    -.162
    164.59   999.99    -.077
    167.64   999.99     .013
    170.69   999.99     .123
    173.74   999.99     .226
    176.78   999.99     .339
    179.83   999.99     .442
    182.88   999.99     .550
    185.93   999.99     .655
    188.98   999.99     .763
    192.02   999.99     .856
    195.07   999.99     .907
    198.12   999.99    1.034
    201.17   999.99    1.123
    204.22   999.99    1.240
    207.26   999.99    1.340
    210.31   999.99    1.429
    213.36   999.99    1.526
    216.41   999.99    1.617
    219.46   999.99    1.710
    222.50   999.99    1.791
    225.55   999.99    1.875
    228.60   999.99    1.961
    231.65   999.99    2.041
    234.70   999.99    2.116
    237.74   999.99    2.211
    240.79   999.99    2.289
    243.84   999.99    2.396
    246.89   999.99    2.489
    249.94   999.99    2.582
    252.98   999.99    2.669
    256.03   999.99    2.772
    259.08   999.99    2.861
    262.13   999.99    2.944
    265.18   999.99    3.024
    268.22   999.99    3.113
    271.27   999.99    3.193
    274.32   999.99    3.264
    277.37   999.99    3.325
    280.42   999.99    3.379
    283.46   999.99    3.447
    286.51   999.99    3.535
    289.56   999.99    3.627
    292.61   999.99    3.713
    295.66   999.99    3.828
    298.70   999.99    3.932
    301.75   999.99    4.052
    304.80   999.99    4.134
    307.85   999.99    4.212
    310.90   999.99    4.296
    313.94   999.99    4.362
    316.99   999.99    4.456
    320.04   999.99    4.520
    323.09   999.99    4.604
    326.14   999.99    4.696
    329.18   999.99    4.779
    332.23   999.99    4.876
    335.28   999.99    4.957
    338.33   999.99    5.060
    341.38   999.99    5.146
    344.42   999.99    5.242
    347.47   999.99    5.328
    350.52   999.99    5.419
    353.57   999.99    5.504
    356.62   999.99    5.604
    359.66   999.99    5.686
    362.71   999.99    5.772
    365.76   999.99    5.821
    368.81   999.99    5.893
    371.86   999.99    5.974
    374.90   999.99    6.055
    377.95   999.99    6.126
    381.00   999.99    6.211
    384.05   999.99    6.278
    387.10   999.99    6.366
    390.14   999.99    6.442
    393.19   999.99    6.525
    396.24   999.99    6.616
    399.29   999.99    6.698
    402.34   999.99    6.756
    405.38   999.99    6.827
    408.43   999.99    6.905
    411.48   999.99    7.005
    414.53   999.99    7.100
    417.58   999.99    7.193
    420.62   999.99    7.273
    423.67   999.99    7.372
    426.72   999.99    7.466
    429.77   999.99    7.557
    432.82   999.99    7.626
    435.86   999.99    7.694
    438.91   999.99    7.773
    441.96   999.99    7.849
    445.01   999.99    7.915
    448.06   999.99    8.015
    451.10   999.99    8.115
    454.15   999.99    8.211
    457.20   999.99    8.315
    460.25   999.99    8.441
    463.30   999.99    8.547
    466.34   999.99    8.643
    469.39   999.99    8.753
    472.44   999.99    8.846
    475.49   999.99    8.942
    478.54   999.99    9.038
    481.58   999.99    9.119
    484.63   999.99    9.188
    487.68   999.99    9.269
    490.73   999.99    9.363
    493.78   999.99    9.446
    496.83   999.99    9.526
    499.87   999.99    9.643
    502.92   999.99    9.735
    505.97   999.99    9.836
    509.02   999.99    9.941
    512.07   999.99   10.042
    515.11   999.99   10.133
    518.16   999.99   10.210
    521.21   999.99   10.281
    524.26   999.99   10.362
    527.31   999.99   10.450
    530.35   999.99   10.519
    533.40   999.99   10.603
    536.45   999.99   10.677
    539.50   999.99   10.751
    542.55   999.99   10.796
    545.59   999.99   10.862
    548.64   999.99   10.899
    551.69   999.99   10.944
    554.74   999.99   10.995
    557.79   999.99   11.045
    560.83   999.99   11.112
    563.88   999.99   11.174
    566.93   999.99   11.244
    569.98   999.99   11.311
    573.03   999.99   11.374
    576.07   999.99   11.447
    579.12   999.99   11.510
    582.17   999.99   11.583
    585.22   999.99   11.644
    588.27   999.99   11.732
    591.31   999.99   11.820
    594.36   999.99   11.894
    597.41   999.99   11.952
    600.46   999.99   12.042
    603.51   999.99   12.137
    606.55   999.99   12.218
    609.60   999.99   12.309
    612.65   999.99   12.431
    615.70   999.99   12.534
    618.75   999.99   12.645
