 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             BEM 
 Log Date:         72APR27 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     79.25   999.99    2.484
     82.30   999.99    2.507
     85.34   999.99    2.571
     88.39   999.99    2.613
     91.44   999.99    2.651
     94.49   999.99    2.691
     97.54   999.99    2.725
    100.58   999.99    2.752
    103.63   999.99    2.778
    106.68   999.99    2.798
    109.73   999.99    2.909
    112.78   999.99    2.949
    115.82   999.99    2.999
    118.87   999.99    3.072
    121.92   999.99    3.104
    124.97   999.99    3.151
    128.02   999.99    3.194
    131.06   999.99    3.249
    134.11   999.99    3.279
    137.16   999.99    3.308
    140.21   999.99    3.329
    143.26   999.99    3.346
    146.30   999.99    3.392
    149.35   999.99    3.462
    152.40   999.99    3.506
    155.45   999.99    3.556
    158.50   999.99    3.619
    161.54   999.99    3.679
    164.59   999.99    3.742
    167.64   999.99    3.813
    170.69   999.99    3.888
    173.74   999.99    3.938
