 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             BT8 
 Log Date:         78AUG11 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
       .61   999.99    4.790
      7.62   999.99    4.722
     15.30   999.99    4.887
     18.38   999.99    4.954
     21.79   999.99    4.934
     24.60   999.99    4.931
     30.54   999.99    5.100
     36.58   999.99    5.175
     42.73   999.99    5.141
     48.80   999.99    5.254
     54.86   999.99    5.339
     60.96   999.99    5.421
     67.15   999.99    5.459
     73.24   999.99    5.514
     76.47   999.99    5.569
     79.52   999.99    5.566
     82.45   999.99    5.582
     85.86   999.99    5.634
     88.61   999.99    5.668
     91.59   999.99    5.741
     94.70   999.99    5.760
     97.75   999.99    5.791
    103.66   999.99    5.816
    106.83   999.99    5.805
    109.76   999.99    5.834
    112.87   999.99    5.823
    115.89   999.99    5.852
    119.06   999.99    5.884
    122.16   999.99    5.898
    125.18   999.99    5.971
    128.23   999.99    5.998
    134.17   999.99    6.274
    137.34   999.99    6.240
    140.54   999.99    6.317
    143.65   999.99    6.391
    146.46   999.99    6.416
    152.40   999.99    6.318
    155.54   999.99    6.309
    158.65   999.99    6.516
    161.73   999.99    6.472
    167.64   999.99    6.451
    170.96   999.99    6.583
    173.92   999.99    6.511
    176.94   999.99    6.621
    181.08   999.99    6.690
    186.11   999.99    6.705
    189.22   999.99    6.744
    192.18   999.99    6.788
    195.22   999.99    6.809
    198.30   999.99    6.759
    201.20   999.99    6.753
    204.25   999.99    6.736
    207.66   999.99    6.775
    210.43   999.99    6.791
    213.45   999.99    6.848
    216.71   999.99    6.848
    219.76   999.99    6.886
    222.60   999.99    6.893
    225.64   999.99    6.921
    228.97   999.99    6.962
    231.77   999.99    6.930
    234.73   999.99    6.968
    237.77   999.99    7.004
    240.82   999.99    7.050
    243.99   999.99    6.970
    247.01   999.99    7.050
    249.94   999.99    7.070
    252.98   999.99    7.094
    256.58   999.99    7.121
    259.29   999.99    7.139
    262.19   999.99    7.143
    265.24   999.99    7.158
    268.26   999.99    7.168
    271.27   999.99    7.170
    274.32   999.99    7.180
    277.73   999.99    7.196
    280.45   999.99    7.199
    283.77   999.99    7.199
    286.79   999.99    7.262
    289.62   999.99    7.264
    292.61   999.99    7.275
