 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             CNR 
 Log Date:         81AUG28 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      6.10   999.99   -3.382
      9.14   999.99   -6.902
     12.19   999.99   -6.943
     15.24   999.99   -6.915
     18.29   999.99   -6.880
     21.34   999.99   -6.840
     24.38   999.99   -6.832
     27.43   999.99   -6.818
     30.48   999.99   -6.799
     33.53   999.99   -6.779
     36.58   999.99   -6.748
     39.62   999.99   -6.709
     42.67   999.99   -6.663
     45.72   999.99   -6.600
     48.77   999.99   -6.537
     51.82   999.99   -6.470
     54.86   999.99   -6.395
     57.91   999.99   -6.317
     60.96   999.99   -6.247
     64.01   999.99   -6.202
     67.06   999.99   -6.077
     70.10   999.99   -6.007
     73.15   999.99   -5.922
     76.20   999.99   -5.827
     79.25   999.99   -5.743
     82.30   999.99   -5.652
     85.34   999.99   -5.581
     88.39   999.99   -5.490
     91.44   999.99   -5.396
     94.49   999.99   -5.308
     97.54   999.99   -5.223
    100.58   999.99   -5.134
    103.63   999.99   -5.036
    106.68   999.99   -4.963
    109.73   999.99   -4.887
    112.78   999.99   -4.798
    115.82   999.99   -4.720
    118.87   999.99   -4.636
    121.92   999.99   -4.549
    124.97   999.99   -4.460
    128.02   999.99   -4.368
    131.06   999.99   -4.286
    134.11   999.99   -4.199
    137.16   999.99   -4.035
    140.21   999.99   -3.941
    143.26   999.99   -3.866
    146.30   999.99   -3.775
    149.35   999.99   -3.692
    152.40   999.99   -3.607
    155.45   999.99   -3.500
    158.50   999.99   -3.412
    161.54   999.99   -3.322
    164.59   999.99   -3.286
    167.64   999.99   -3.235
    170.69   999.99   -3.140
    173.74   999.99   -3.052
    176.78   999.99   -2.967
    179.83   999.99   -2.864
    182.88   999.99   -2.783
    185.93   999.99   -2.695
    188.98   999.99   -2.612
    192.02   999.99   -2.514
    195.07   999.99   -2.450
    198.12   999.99   -2.351
    201.17   999.99   -2.250
    204.22   999.99   -2.176
    207.26   999.99   -2.077
    210.31   999.99   -1.989
    213.36   999.99   -1.895
    216.41   999.99   -1.800
    219.46   999.99   -1.702
    222.50   999.99   -1.625
    225.55   999.99   -1.544
    228.60   999.99   -1.439
    231.65   999.99   -1.360
    234.70   999.99   -1.270
    237.74   999.99   -1.165
    240.79   999.99   -1.074
    243.84   999.99    -.976
    246.89   999.99    -.878
    249.94   999.99    -.802
    252.98   999.99    -.698
    256.03   999.99    -.597
    259.08   999.99    -.495
    262.13   999.99    -.431
    265.18   999.99    -.346
    268.22   999.99    -.301
