 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             CTD 
 Log Date:         61SEP02 
 Type of Log:      thermistor string (frozen in place) 
 Type of Sensor:   thermistors
 Measuring Device: Wheatstone Bridge
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     27.74   999.99   -5.320
     42.98   999.99   -5.320
     58.22   999.99   -5.290
     73.46   999.99   -5.240
     88.70   999.99   -5.110
    103.94   999.99   -4.930
    119.18   999.99   -4.670
    134.42   999.99   -4.440
    149.66   999.99   -4.140
    164.90   999.99   -3.840
    180.14   999.99   -3.560
    195.38   999.99   -3.240
    210.62   999.99   -2.950
    225.86   999.99   -2.620
    241.10   999.99   -2.350
    256.34   999.99   -2.040
    271.58   999.99   -1.780
    286.82   999.99   -1.480
    302.06   999.99   -1.180
    317.30   999.99    -.910
    332.54   999.99    -.600
    347.78   999.99    -.280
    363.02   999.99     .070
