 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             DHPA
 Log Date:         72APR25 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     15.24   999.99    1.371
     18.29   999.99    1.385
     21.34   999.99    1.392
     24.38   999.99    1.409
     27.43   999.99    1.420
     30.48   999.99    1.439
     33.53   999.99    1.464
     36.58   999.99    1.497
     39.62   999.99    1.532
     42.67   999.99    1.553
     45.72   999.99    1.610
     48.77   999.99    1.631
     51.82   999.99    1.662
     54.86   999.99    1.702
     57.91   999.99    1.742
     60.96   999.99    1.788
     64.01   999.99    1.839
     67.06   999.99    1.884
     70.10   999.99    1.929
     73.15   999.99    1.977
     76.20   999.99    2.017
     79.25   999.99    2.067
     82.30   999.99    2.113
     85.34   999.99    2.158
     88.39   999.99    2.210
     91.44   999.99    2.258
     94.49   999.99    2.319
     97.54   999.99    2.369
    100.58   999.99    2.434
    103.63   999.99    2.495
    106.68   999.99    2.559
    109.73   999.99    2.618
    112.78   999.99    2.683
    115.82   999.99    2.756
    118.87   999.99    2.823
    121.92   999.99    2.893
    124.97   999.99    2.947
    128.02   999.99    3.024
    131.06   999.99    3.098
    134.11   999.99    3.170
    137.16   999.99    3.246
    140.21   999.99    3.312
    143.26   999.99    3.382
    146.30   999.99    3.449
    149.35   999.99    3.527
    152.40   999.99    3.608
    160.02   999.99    3.818
    167.64   999.99    4.047
    175.26   999.99    4.239
    182.88   999.99    4.437
    190.50   999.99    4.653
    198.12   999.99    4.864
    205.74   999.99    5.088
    213.36   999.99    5.297
    220.98   999.99    5.534
    228.60   999.99    5.750
    236.22   999.99    5.963
    243.84   999.99    6.177
    251.46   999.99    6.402
    259.08   999.99    6.630
    266.70   999.99    6.866
    274.32   999.99    7.096
    281.94   999.99    7.328
    289.56   999.99    7.555
    297.18   999.99    7.795
    304.80   999.99    8.035
    312.42   999.99    8.266
    320.04   999.99    8.481
    327.66   999.99    8.708
    335.28   999.99    8.929
    342.90   999.99    9.160
    350.52   999.99    9.381
    358.14   999.99    9.607
    365.76   999.99    9.834
    373.38   999.99   10.051
    381.00   999.99   10.275
    388.62   999.99   10.522
    396.24   999.99   10.777
    403.86   999.99   11.009
    411.48   999.99   11.258
    419.10   999.99   11.492
    426.72   999.99   11.714
    434.34   999.99   11.954
    441.96   999.99   12.180
    449.58   999.99   12.439
    457.20   999.99   12.711
    464.82   999.99   12.961
    472.44   999.99   13.214
    480.06   999.99   13.463
    487.68   999.99   13.722
    495.30   999.99   13.972
    502.92   999.99   14.233
    510.54   999.99   14.480
    518.16   999.99   14.730
    525.78   999.99   14.976
    533.40   999.99   15.231
    541.02   999.99   15.471
    548.64   999.99   15.739
    556.26   999.99   15.993
    563.88   999.99   16.259
    571.50   999.99   16.518
    579.12   999.99   16.773
    586.74   999.99   17.043
    594.36   999.99   17.295
    601.98   999.99   17.547
    609.60   999.99   17.809
    617.22   999.99   18.069
    624.84   999.99   18.333
    632.46   999.99   18.597
    640.08   999.99   18.858
    647.70   999.99   19.137
    655.32   999.99   19.406
    662.94   999.99   19.641
    670.56   999.99   19.889
    678.18   999.99   20.151
    685.80   999.99   20.421
    693.42   999.99   20.684
    701.04   999.99   20.954
    708.66   999.99   21.203
    716.28   999.99   21.443
    723.90   999.99   21.679
    731.52   999.99   21.887
    739.14   999.99   22.135
    746.76   999.99   22.384
    754.38   999.99   22.636
    762.00   999.99   22.880
    769.62   999.99   23.129
    777.24   999.99   23.380
    784.86   999.99   23.601
    792.48   999.99   23.821
    800.10   999.99   24.063
    807.72   999.99   24.300
    815.34   999.99   24.566
    822.96   999.99   24.807
    830.58   999.99   25.029
    838.20   999.99   25.241
