 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             DRP 
 Log Date:         81AUG26 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     36.58   999.99   -8.866
     39.62   999.99   -8.939
     42.67   999.99   -8.901
     45.72   999.99   -8.867
     48.77   999.99   -8.818
     51.82   999.99   -8.654
     54.86   999.99   -8.716
     57.91   999.99   -8.653
     60.96   999.99   -8.476
     64.01   999.99   -8.417
     67.06   999.99   -8.488
     70.10   999.99   -8.292
     73.15   999.99   -8.345
     76.20   999.99   -8.292
     79.25   999.99   -8.227
     82.30   999.99   -7.994
     85.34   999.99   -7.933
     88.39   999.99   -8.015
     91.44   999.99   -7.901
     94.49   999.99   -7.814
     97.54   999.99   -7.658
    100.58   999.99   -7.607
    103.63   999.99   -7.461
    106.68   999.99   -7.396
    109.73   999.99   -7.300
    112.78   999.99   -7.188
    115.82   999.99   -7.097
    118.87   999.99   -6.998
    121.92   999.99   -6.908
    124.97   999.99   -6.790
    128.02   999.99   -6.672
    131.06   999.99   -6.589
    134.11   999.99   -6.492
    137.16   999.99   -6.376
    140.21   999.99   -6.288
    143.26   999.99   -6.190
    146.30   999.99   -6.106
    149.35   999.99   -6.005
    152.40   999.99   -5.917
    155.45   999.99   -5.820
    158.50   999.99   -5.715
    161.54   999.99   -5.623
    164.59   999.99   -5.529
    167.64   999.99   -5.439
    170.69   999.99   -5.335
    173.74   999.99   -5.240
    176.78   999.99   -5.157
    179.83   999.99   -5.074
    182.88   999.99   -4.966
    185.93   999.99   -4.875
    188.98   999.99   -4.773
    192.02   999.99   -4.682
    195.07   999.99   -4.589
    198.12   999.99   -4.491
    201.17   999.99   -4.391
    204.22   999.99   -4.302
    207.26   999.99   -4.186
    210.31   999.99   -4.108
    213.36   999.99   -4.022
    216.41   999.99   -3.929
    219.46   999.99   -3.860
    222.50   999.99   -3.772
    225.55   999.99   -3.688
    228.60   999.99   -3.602
    231.65   999.99   -3.511
    234.70   999.99   -3.416
    237.74   999.99   -3.211
    240.79   999.99   -3.126
    243.84   999.99   -2.991
    246.89   999.99   -2.886
    249.94   999.99   -2.795
    252.98   999.99   -2.666
    256.03   999.99   -2.541
    259.08   999.99   -2.440
    262.13   999.99   -2.309
    265.18   999.99   -2.175
    268.22   999.99   -2.021
    271.27   999.99   -1.917
    274.32   999.99   -1.783
    277.37   999.99   -1.636
    280.42   999.99   -1.502
    283.46   999.99   -1.368
    286.51   999.99   -1.130
    289.56   999.99    -.968
    292.61   999.99    -.890
    295.66   999.99    -.832
    298.70   999.99    -.762
    301.75   999.99    -.665
    304.80   999.99    -.573
    307.85   999.99    -.423
    310.90   999.99    -.304
    313.94   999.99    -.167
    316.99   999.99    -.021
    320.04   999.99     .139
    323.09   999.99     .288
    326.14   999.99     .423
    329.18   999.99     .573
    332.23   999.99     .741
    335.28   999.99     .924
    338.33   999.99    1.091
    341.38   999.99    1.268
    344.42   999.99    1.433
    347.47   999.99    1.633
    350.52   999.99    1.782
    353.57   999.99    1.933
    356.62   999.99    2.096
    359.66   999.99    2.223
    362.71   999.99    2.374
    365.76   999.99    2.500
    368.81   999.99    2.642
    371.86   999.99    2.762
    374.90   999.99    2.885
    377.95   999.99    2.995
    381.00   999.99    3.153
    384.05   999.99    3.250
    387.10   999.99    3.347
    390.14   999.99    3.464
    393.19   999.99    3.582
    396.24   999.99    3.688
    399.29   999.99    3.814
    402.34   999.99    3.948
    405.38   999.99    4.065
    408.43   999.99    4.165
    411.48   999.99    4.300
    414.53   999.99    4.431
    417.58   999.99    4.555
    420.62   999.99    4.677
    423.67   999.99    4.769
    426.72   999.99    4.896
    429.77   999.99    5.013
    432.82   999.99    5.112
    435.86   999.99    5.217
    438.91   999.99    5.319
    441.96   999.99    5.412
    445.01   999.99    5.504
    448.06   999.99    5.589
    451.10   999.99    5.703
    454.15   999.99    5.801
    457.20   999.99    5.893
    460.25   999.99    5.986
    463.30   999.99    6.105
    466.34   999.99    6.212
    469.39   999.99    6.294
    472.44   999.99    6.398
    475.49   999.99    6.504
    478.54   999.99    6.603
    481.58   999.99    6.694
    484.63   999.99    6.796
    487.68   999.99    6.901
    490.73   999.99    7.002
    493.78   999.99    7.176
    496.83   999.99    7.205
    499.87   999.99    7.332
    502.92   999.99    7.445
    505.97   999.99    7.583
    509.02   999.99    7.668
    512.07   999.99    7.777
    515.11   999.99    7.912
    518.16   999.99    8.010
    521.21   999.99    8.162
    524.26   999.99    8.249
    527.31   999.99    8.367
    530.35   999.99    8.448
    533.40   999.99    8.558
    536.45   999.99    8.655
    539.50   999.99    8.782
    542.55   999.99    8.883
    545.59   999.99    8.971
    548.64   999.99    9.116
    551.69   999.99    9.243
    554.74   999.99    9.368
    557.79   999.99    9.452
    560.83   999.99    9.577
    563.88   999.99    9.701
    566.93   999.99    9.808
    569.98   999.99    9.930
    573.03   999.99   10.041
    576.07   999.99   10.149
    579.12   999.99   10.252
    582.17   999.99   10.356
    585.22   999.99   10.471
    588.27   999.99   10.601
    591.31   999.99   10.717
    594.36   999.99   10.845
    597.41   999.99   10.981
    600.46   999.99   11.115
    603.51   999.99   11.204
    606.55   999.99   11.334
    609.60   999.99   11.451
    612.65   999.99   11.574
    615.70   999.99   11.662
    618.75   999.99   11.778
    621.79   999.99   11.878
    624.84   999.99   11.941
    627.89   999.99   12.005
    630.94   999.99   12.259
    633.99   999.99   12.290
    637.03   999.99   12.481
    640.08   999.99   12.500
