 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             DRP 
 Log Date:         84AUG10b
 Type of Log:      incremental  
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      no 
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     30.48   999.99   -9.818
     32.00   999.99   -9.779
     33.53   999.99   -9.447
     35.05   999.99   -9.306
     36.58   999.99   -9.161
     38.10   999.99   -9.131
     39.62   999.99   -9.114
     41.15   999.99   -9.102
     42.67   999.99   -9.079
     44.20   999.99   -9.050
     45.72   999.99   -9.025
     47.24   999.99   -8.997
     48.77   999.99   -8.977
     50.29   999.99   -8.953
     51.82   999.99   -8.929
     53.34   999.99   -8.905
     54.86   999.99   -8.869
     56.39   999.99   -8.839
     57.91   999.99   -8.814
     59.44   999.99   -8.783
     60.96   999.99   -8.754
     62.48   999.99   -8.723
     64.01   999.99   -8.692
     65.53   999.99   -8.670
     67.06   999.99   -8.644
     68.58   999.99   -8.612
     70.10   999.99   -8.573
     71.63   999.99   -8.545
     73.15   999.99   -8.517
     74.68   999.99   -8.484
     76.20   999.99   -8.449
     77.72   999.99   -8.415
     79.25   999.99   -8.384
     80.77   999.99   -8.347
     82.30   999.99   -8.307
     83.82   999.99   -8.269
     85.34   999.99   -8.216
     86.87   999.99   -8.183
     88.39   999.99   -8.135
     89.92   999.99   -8.099
     91.44   999.99   -8.059
     92.96   999.99   -7.998
     94.49   999.99   -7.957
     96.01   999.99   -7.904
     97.54   999.99   -7.858
     99.06   999.99   -7.814
    100.58   999.99   -7.773
    102.11   999.99   -7.725
    103.63   999.99   -7.678
    105.16   999.99   -7.634
    106.68   999.99   -7.586
    108.20   999.99   -7.533
    109.73   999.99   -7.480
    111.25   999.99   -7.443
    112.78   999.99   -7.385
    114.30   999.99   -7.330
    115.82   999.99   -7.289
    117.35   999.99   -7.241
    118.87   999.99   -7.187
    120.40   999.99   -7.139
    121.92   999.99   -7.084
    123.44   999.99   -7.034
    124.97   999.99   -6.983
    126.49   999.99   -6.924
    128.02   999.99   -6.886
    129.54   999.99   -6.839
    131.06   999.99   -6.799
    132.59   999.99   -6.743
    134.11   999.99   -6.694
    135.64   999.99   -6.632
    137.16   999.99   -6.580
    138.68   999.99   -6.530
    140.21   999.99   -6.488
    141.73   999.99   -6.429
    143.26   999.99   -6.389
    144.78   999.99   -6.332
    146.30   999.99   -6.280
    147.83   999.99   -6.233
    149.35   999.99   -6.190
    150.88   999.99   -6.147
    152.40   999.99   -6.104
    153.92   999.99   -6.029
    155.45   999.99   -5.990
    156.97   999.99   -5.951
    158.50   999.99   -5.899
    160.02   999.99   -5.855
    161.54   999.99   -5.808
    163.07   999.99   -5.756
    164.59   999.99   -5.707
    166.12   999.99   -5.666
    167.64   999.99   -5.616
    169.16   999.99   -5.563
    170.69   999.99   -5.515
    172.21   999.99   -5.482
    173.74   999.99   -5.440
    175.26   999.99   -5.383
    176.78   999.99   -5.333
    178.31   999.99   -5.293
    179.83   999.99   -5.252
    181.36   999.99   -5.198
    182.88   999.99   -5.156
    184.40   999.99   -5.113
    185.93   999.99   -5.056
    187.45   999.99   -5.014
    188.98   999.99   -4.970
    190.50   999.99   -4.918
    192.02   999.99   -4.863
    193.55   999.99   -4.814
    195.07   999.99   -4.762
    196.60   999.99   -4.721
    198.12   999.99   -4.672
    199.64   999.99   -4.617
    201.17   999.99   -4.575
    202.69   999.99   -4.533
    204.22   999.99   -4.479
    205.74   999.99   -4.428
    207.26   999.99   -4.384
    208.79   999.99   -4.341
    210.31   999.99   -4.285
    211.84   999.99   -4.244
    214.88   999.99   -4.155
    216.41   999.99   -4.110
    217.93   999.99   -4.066
    219.46   999.99   -4.030
    220.98   999.99   -3.986
    222.50   999.99   -3.942
    224.03   999.99   -3.910
    225.55   999.99   -3.856
    227.08   999.99   -3.816
    228.60   999.99   -3.770
    230.12   999.99   -3.720
    231.65   999.99   -3.671
    233.17   999.99   -3.626
    234.70   999.99   -3.583
    236.22   999.99   -3.539
    237.74   999.99   -3.485
    239.27   999.99   -3.436
    240.79   999.99   -3.389
    242.32   999.99   -3.340
    243.84   999.99   -3.303
