 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             DRP 
 Log Date:         79SEP13 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     42.67   999.99   -8.622
     45.72   999.99   -8.590
     48.77   999.99   -8.543
     51.82   999.99   -8.495
     54.86   999.99   -8.458
     57.91   999.99   -8.387
     60.96   999.99   -8.343
     64.01   999.99   -8.285
     67.06   999.99   -8.191
     70.10   999.99   -8.142
     73.15   999.99   -8.083
     76.20   999.99   -8.016
     79.25   999.99   -7.959
     82.30   999.99   -7.861
     85.34   999.99   -7.773
     88.39   999.99   -7.675
     91.44   999.99   -7.586
     94.49   999.99   -7.468
     97.54   999.99   -7.376
    100.58   999.99   -7.283
    103.63   999.99   -7.180
    106.68   999.99   -7.088
    109.73   999.99   -6.991
    112.78   999.99   -6.881
    115.82   999.99   -6.792
    118.87   999.99   -6.684
    121.92   999.99   -6.593
    124.97   999.99   -6.500
    128.02   999.99   -6.388
    131.06   999.99   -6.293
    134.11   999.99   -6.199
    137.16   999.99   -6.072
    140.21   999.99   -6.004
    143.26   999.99   -5.929
    146.30   999.99   -5.821
    149.35   999.99   -5.744
    152.40   999.99   -5.637
    155.45   999.99   -5.535
    158.50   999.99   -5.446
    161.54   999.99   -5.337
    164.59   999.99   -5.254
    167.64   999.99   -5.160
    170.69   999.99   -5.076
    173.74   999.99   -4.989
    176.78   999.99   -4.906
    179.83   999.99   -4.821
    182.88   999.99   -4.738
    185.93   999.99   -4.622
    188.98   999.99   -4.537
    192.02   999.99   -4.433
    195.07   999.99   -4.353
    198.12   999.99   -4.243
    201.17   999.99   -4.156
    204.22   999.99   -4.055
    207.26   999.99   -3.975
    210.31   999.99   -3.886
    213.36   999.99   -3.794
    216.41   999.99   -3.728
    219.46   999.99   -3.639
    222.50   999.99   -3.564
    225.55   999.99   -3.478
    228.60   999.99   -3.396
    231.65   999.99   -3.317
    234.70   999.99   -3.242
    237.74   999.99   -3.167
    240.79   999.99   -3.068
    243.84   999.99   -2.998
    246.89   999.99   -2.904
    249.94   999.99   -2.809
    252.98   999.99   -2.720
    256.03   999.99   -2.596
    259.08   999.99   -2.495
    262.13   999.99   -2.388
    265.18   999.99   -2.268
    268.22   999.99   -2.142
    271.27   999.99   -2.011
    274.32   999.99   -1.850
    277.37   999.99   -1.715
    280.42   999.99   -1.556
    283.46   999.99   -1.388
    286.51   999.99   -1.246
    289.56   999.99   -1.117
    292.61   999.99    -.962
    295.66   999.99    -.832
    298.70   999.99    -.694
    301.75   999.99    -.563
    304.80   999.99    -.426
    307.85   999.99    -.228
    310.90   999.99    -.062
    313.94   999.99     .086
    316.99   999.99     .225
    320.04   999.99     .344
    323.09   999.99     .517
    326.14   999.99     .648
    329.18   999.99     .840
    332.23   999.99     .979
    335.28   999.99    1.142
    338.33   999.99    1.284
    341.38   999.99    1.459
    344.42   999.99    1.594
    347.47   999.99    1.752
    350.52   999.99    1.912
    353.57   999.99    2.084
    356.62   999.99    2.244
    359.66   999.99    2.378
    362.71   999.99    2.494
    365.76   999.99    2.637
    368.81   999.99    2.767
    371.86   999.99    2.904
    374.90   999.99    3.026
    377.95   999.99    3.129
    381.00   999.99    3.254
    384.05   999.99    3.369
    387.10   999.99    3.484
    390.14   999.99    3.583
    393.19   999.99    3.691
    396.24   999.99    3.838
    399.29   999.99    3.951
    402.34   999.99    4.052
    405.38   999.99    4.161
    408.43   999.99    4.311
    411.48   999.99    4.423
    414.53   999.99    4.521
    417.58   999.99    4.627
    420.62   999.99    4.776
    423.67   999.99    4.867
    426.72   999.99    4.990
    429.77   999.99    5.103
    432.82   999.99    5.213
    435.86   999.99    5.316
    438.91   999.99    5.410
    441.96   999.99    5.491
    445.01   999.99    5.600
    448.06   999.99    5.682
    451.10   999.99    5.774
    454.15   999.99    5.871
    457.20   999.99    5.986
    460.25   999.99    6.091
    463.30   999.99    6.195
    466.34   999.99    6.297
    469.39   999.99    6.388
    472.44   999.99    6.471
    475.49   999.99    6.562
    478.54   999.99    6.661
    481.58   999.99    6.755
    484.63   999.99    6.857
    487.68   999.99    6.955
    490.73   999.99    7.043
    493.78   999.99    7.151
    496.83   999.99    7.263
    499.87   999.99    7.369
    502.92   999.99    7.483
    505.97   999.99    7.595
    509.02   999.99    7.743
    512.07   999.99    7.848
    515.11   999.99    7.946
    518.16   999.99    8.061
    521.21   999.99    8.183
    524.26   999.99    8.305
