 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             EB1 
 Log Date:         75AUG15 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     15.24   999.99   -5.830
     18.29   999.99   -5.702
     21.34   999.99   -5.559
     24.38   999.99   -5.402
     27.43   999.99   -5.278
     30.48   999.99   -5.159
     33.53   999.99   -5.004
     36.58   999.99   -4.903
     39.62   999.99   -4.830
     42.67   999.99   -4.764
     45.72   999.99   -4.700
     48.77   999.99   -4.648
     51.82   999.99   -4.589
     54.86   999.99   -4.552
     57.91   999.99   -4.485
     60.96   999.99   -4.428
     64.01   999.99   -4.361
     67.06   999.99   -4.290
     70.10   999.99   -4.212
     73.15   999.99   -4.141
     76.20   999.99   -4.053
     79.25   999.99   -3.974
     82.30   999.99   -3.881
     85.34   999.99   -3.797
     88.39   999.99   -3.695
     91.44   999.99   -3.613
     94.49   999.99   -3.522
     97.54   999.99   -3.435
    100.58   999.99   -3.349
    103.63   999.99   -3.265
    106.68   999.99   -3.205
    109.73   999.99   -3.127
    112.78   999.99   -3.046
    115.82   999.99   -2.965
    118.87   999.99   -2.774
    121.92   999.99   -2.641
    124.97   999.99   -2.552
    128.02   999.99   -2.470
    131.06   999.99   -2.413
    134.11   999.99   -2.363
    137.16   999.99   -2.316
    140.21   999.99   -2.259
    143.26   999.99   -2.200
    146.30   999.99   -2.132
    149.35   999.99   -2.072
    152.40   999.99   -2.008
    155.45   999.99   -1.927
    158.50   999.99   -1.838
    161.54   999.99   -1.763
    164.59   999.99   -1.697
    167.64   999.99   -1.619
    170.69   999.99   -1.558
    173.74   999.99   -1.496
    176.78   999.99   -1.437
    179.83   999.99   -1.368
    182.88   999.99   -1.294
    185.93   999.99   -1.244
    188.98   999.99   -1.192
    192.02   999.99   -1.137
    195.07   999.99   -1.085
    198.12   999.99   -1.023
    201.17   999.99    -.930
    204.22   999.99    -.829
    207.26   999.99    -.736
    210.31   999.99    -.603
    213.36   999.99    -.496
    216.41   999.99    -.406
    219.46   999.99    -.324
    222.50   999.99    -.255
    225.55   999.99    -.196
    228.60   999.99    -.167
    231.65   999.99    -.152
    234.70   999.99    -.147
    237.74   999.99    -.145
    240.79   999.99    -.138
    243.84   999.99    -.138
    246.89   999.99    -.139
    249.94   999.99    -.139
    252.98   999.99    -.126
    256.03   999.99    -.108
    259.08   999.99    -.065
    262.13   999.99     .002
    265.18   999.99     .075
    268.22   999.99     .155
    271.27   999.99     .266
    274.32   999.99     .344
    277.37   999.99     .429
    280.42   999.99     .518
    283.46   999.99     .604
    286.51   999.99     .698
    289.56   999.99     .782
    292.61   999.99     .852
    295.66   999.99     .925
    298.70   999.99    1.000
    301.75   999.99    1.085
    304.80   999.99    1.154
