 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             ESN 
 Log Date:         81AUG24 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      9.14   999.99   -8.958
     12.19   999.99   -9.113
     15.24   999.99   -9.249
     18.29   999.99   -9.329
     21.34   999.99   -9.344
     24.38   999.99   -9.330
     27.43   999.99   -9.295
     30.48   999.99   -9.251
     33.53   999.99   -9.198
     36.58   999.99   -9.161
     39.62   999.99   -9.109
     42.67   999.99   -9.060
     45.72   999.99   -9.016
     48.77   999.99   -8.962
     51.82   999.99   -8.915
     54.86   999.99   -8.863
     57.91   999.99   -8.811
     60.96   999.99   -8.742
     64.01   999.99   -8.673
     67.06   999.99   -8.604
     70.10   999.99   -8.520
     73.15   999.99   -8.429
     76.20   999.99   -8.350
     79.25   999.99   -8.274
     82.30   999.99   -8.202
     85.34   999.99   -8.120
     88.39   999.99   -8.048
     91.44   999.99   -7.966
     94.49   999.99   -7.874
     97.54   999.99   -7.779
    100.58   999.99   -7.692
    103.63   999.99   -7.611
    106.68   999.99   -7.521
    109.73   999.99   -7.404
    112.78   999.99   -7.315
    115.82   999.99   -7.210
    118.87   999.99   -7.138
    121.92   999.99   -7.065
    124.97   999.99   -6.987
    128.02   999.99   -6.896
    131.06   999.99   -6.816
    134.11   999.99   -6.737
    137.16   999.99   -6.643
    140.21   999.99   -6.550
    143.26   999.99   -6.462
    146.30   999.99   -6.377
    149.35   999.99   -6.303
    152.40   999.99   -6.234
    155.45   999.99   -6.156
    158.50   999.99   -6.086
    161.54   999.99   -6.030
    164.59   999.99   -5.966
    167.64   999.99   -5.897
    170.69   999.99   -5.811
    173.74   999.99   -5.734
    176.78   999.99   -5.656
    179.83   999.99   -5.636
    182.88   999.99   -5.469
    185.93   999.99   -5.363
    188.98   999.99   -5.251
    192.02   999.99   -5.132
    195.07   999.99   -5.022
    198.12   999.99   -4.904
    201.17   999.99   -4.799
    204.22   999.99   -4.696
    207.26   999.99   -4.600
    210.31   999.99   -4.506
    213.36   999.99   -4.425
    216.41   999.99   -4.343
    219.46   999.99   -4.273
    222.50   999.99   -4.198
    225.55   999.99   -4.137
    228.60   999.99   -4.067
    231.65   999.99   -4.005
    234.70   999.99   -3.942
    237.74   999.99   -3.872
    240.79   999.99   -3.795
    243.84   999.99   -3.699
    246.89   999.99   -3.613
    249.94   999.99   -3.524
    252.98   999.99   -3.460
    256.03   999.99   -3.393
    259.08   999.99   -3.321
    262.13   999.99   -3.260
    265.18   999.99   -3.202
    268.22   999.99   -3.142
    271.27   999.99   -3.082
    274.32   999.99   -3.023
    277.37   999.99   -2.939
    280.42   999.99   -2.824
    283.46   999.99   -2.721
    286.51   999.99   -2.636
    289.56   999.99   -2.526
    292.61   999.99   -2.409
    295.66   999.99   -2.315
    298.70   999.99   -2.190
    301.75   999.99   -2.085
    304.80   999.99   -2.000
    307.85   999.99   -1.910
    310.90   999.99   -1.810
    313.94   999.99   -1.730
    316.99   999.99   -1.618
    320.04   999.99   -1.521
    323.09   999.99   -1.424
    326.14   999.99   -1.303
    329.18   999.99   -1.215
    332.23   999.99   -1.134
    335.28   999.99   -1.028
    338.33   999.99    -.935
    341.38   999.99    -.837
    347.00   999.99    -.500
    365.76   999.99     .265
    368.81   999.99     .397
    371.86   999.99     .531
    374.90   999.99     .665
    377.95   999.99     .774
    381.00   999.99     .907
    384.05   999.99    1.015
    387.10   999.99    1.060
    390.14   999.99    1.245
    393.19   999.99    1.371
    396.24   999.99    1.493
    399.29   999.99    1.625
    402.34   999.99    1.749
    405.38   999.99    1.873
    408.43   999.99    1.983
    411.48   999.99    2.127
    414.53   999.99    2.248
    417.58   999.99    2.342
    420.62   999.99    2.451
    423.67   999.99    2.598
    426.72   999.99    2.692
    429.77   999.99    2.798
    432.82   999.99    2.903
    435.86   999.99    2.999
    438.91   999.99    3.114
    441.96   999.99    3.222
    445.01   999.99    3.337
    448.06   999.99    3.441
    451.10   999.99    3.555
    454.15   999.99    3.680
    457.20   999.99    3.806
    460.25   999.99    3.909
    463.30   999.99    4.024
    466.34   999.99    4.125
    469.39   999.99    4.242
    472.44   999.99    4.353
    475.49   999.99    4.466
    478.54   999.99    4.571
    481.58   999.99    4.689
    484.63   999.99    4.815
    487.68   999.99    4.940
    490.73   999.99    5.073
    493.78   999.99    5.202
    496.83   999.99    5.324
    499.87   999.99    5.450
    502.92   999.99    5.581
    505.97   999.99    5.724
    509.02   999.99    5.843
    512.07   999.99    5.977
    515.11   999.99    6.092
    518.16   999.99    6.220
    521.21   999.99    6.348
    524.26   999.99    6.492
    527.31   999.99    6.610
    530.35   999.99    6.745
    533.40   999.99    6.892
    536.45   999.99    7.016
    539.50   999.99    7.159
    542.55   999.99    7.305
    545.59   999.99    7.430
    548.64   999.99    7.561
    551.69   999.99    7.699
    554.74   999.99    7.821
    557.79   999.99    7.943
    560.83   999.99    8.069
    563.88   999.99    8.189
    566.93   999.99    8.309
    569.98   999.99    8.406
    573.03   999.99    8.495
    576.07   999.99    8.576
    579.12   999.99    8.851
    582.17   999.99    9.032
    585.22   999.99    9.134
    588.27   999.99    9.230
    591.31   999.99    9.280
    594.36   999.99    9.360
    597.41   999.99    9.576
    600.46   999.99    9.635
