 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             ESN 
 Log Date:         79SEP13 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      9.14   999.99   -7.146
     12.19   999.99   -7.973
     15.24   999.99   -8.007
     18.29   999.99   -8.080
     21.34   999.99   -8.019
     24.38   999.99   -7.897
     27.43   999.99   -7.766
     30.48   999.99   -7.706
     33.53   999.99   -7.653
     36.58   999.99   -7.595
     39.62   999.99   -7.553
     42.67   999.99   -7.501
     45.72   999.99   -7.461
     48.77   999.99   -7.396
     51.82   999.99   -7.340
     54.86   999.99   -7.278
     57.91   999.99   -7.216
     60.96   999.99   -7.145
     64.01   999.99   -7.051
     67.06   999.99   -6.973
     70.10   999.99   -6.899
     73.15   999.99   -6.793
     76.20   999.99   -6.721
     79.25   999.99   -6.699
     82.30   999.99   -6.611
     85.34   999.99   -6.547
     88.39   999.99   -6.461
     91.44   999.99   -6.355
     94.49   999.99   -6.238
     97.54   999.99   -6.149
    100.58   999.99   -6.107
    103.63   999.99   -6.091
    106.68   999.99   -5.988
    109.73   999.99   -5.850
    112.78   999.99   -5.775
    115.82   999.99   -5.722
    118.87   999.99   -5.681
    121.92   999.99   -5.610
    124.97   999.99   -5.538
    128.02   999.99   -5.440
    131.06   999.99   -5.334
    134.11   999.99   -5.221
    137.16   999.99   -5.114
    140.21   999.99   -5.045
    143.26   999.99   -5.026
    146.30   999.99   -4.993
    149.35   999.99   -4.935
    152.40   999.99   -4.834
    155.45   999.99   -4.805
    158.50   999.99   -4.805
    161.54   999.99   -4.777
    164.59   999.99   -4.721
    167.64   999.99   -4.641
    170.69   999.99   -4.549
    173.74   999.99   -4.487
    176.78   999.99   -4.418
    179.83   999.99   -4.317
    182.88   999.99   -4.169
    185.93   999.99   -4.041
    188.98   999.99   -3.964
    192.02   999.99   -3.834
    195.07   999.99   -3.716
    198.12   999.99   -3.643
    201.17   999.99   -3.538
    204.22   999.99   -3.456
    207.26   999.99   -3.359
    210.31   999.99   -3.247
    213.36   999.99   -3.142
    216.41   999.99   -2.995
    219.46   999.99   -2.903
    222.50   999.99   -2.842
    225.55   999.99   -2.775
    228.60   999.99   -2.751
    231.65   999.99   -2.685
    234.70   999.99   -2.738
    237.74   999.99   -2.836
    240.79   999.99   -2.791
    243.84   999.99   -2.662
    246.89   999.99   -2.497
    249.94   999.99   -2.433
    252.98   999.99   -2.379
    256.03   999.99   -2.282
    259.08   999.99   -2.227
    262.13   999.99   -2.179
    265.18   999.99   -2.312
    268.22   999.99   -2.333
    271.27   999.99   -2.319
    274.32   999.99   -2.254
    277.37   999.99   -2.158
    280.42   999.99   -2.022
    283.46   999.99   -1.935
    286.51   999.99   -1.871
    289.56   999.99   -1.807
    292.61   999.99   -1.712
    295.66   999.99   -1.554
    298.70   999.99   -1.391
    301.75   999.99   -1.256
    304.80   999.99   -1.209
    307.85   999.99   -1.119
    310.90   999.99   -1.009
    313.94   999.99    -.906
    316.99   999.99    -.802
    320.04   999.99    -.686
    323.09   999.99    -.601
    326.14   999.99    -.541
    329.18   999.99    -.494
    332.23   999.99    -.332
    335.28   999.99    -.172
    338.33   999.99     .027
    341.38   999.99     .190
    344.42   999.99     .336
    347.47   999.99     .477
    350.52   999.99     .631
    353.57   999.99     .764
    356.62   999.99     .899
    359.66   999.99    1.033
    362.71   999.99    1.139
    365.76   999.99    1.298
    368.81   999.99    1.412
    371.86   999.99    1.550
    374.90   999.99    1.692
    377.95   999.99    1.821
    381.00   999.99    1.928
    384.05   999.99    2.028
    387.10   999.99    2.137
    390.14   999.99    2.275
    393.19   999.99    2.411
    396.24   999.99    2.519
    399.29   999.99    2.650
    402.34   999.99    2.793
    405.38   999.99    2.913
    408.43   999.99    3.027
    411.48   999.99    3.133
    414.53   999.99    3.217
    417.58   999.99    3.337
    420.62   999.99    3.441
    423.67   999.99    3.542
    426.72   999.99    3.651
    429.77   999.99    3.738
    432.82   999.99    3.861
    435.86   999.99    3.961
    438.91   999.99    4.092
    441.96   999.99    4.139
    445.01   999.99    4.262
    448.06   999.99    4.368
    451.10   999.99    4.490
    454.15   999.99    4.615
    457.20   999.99    4.727
    460.25   999.99    4.845
    463.30   999.99    4.956
    466.34   999.99    5.056
    469.39   999.99    5.163
    472.44   999.99    5.249
    475.49   999.99    5.348
    478.54   999.99    5.469
    481.58   999.99    5.550
    484.63   999.99    5.688
    487.68   999.99    5.813
    490.73   999.99    5.932
    493.78   999.99    6.073
    496.83   999.99    6.191
    499.87   999.99    6.288
    502.92   999.99    6.406
    505.97   999.99    6.541
    509.02   999.99    6.665
    512.07   999.99    6.796
    515.11   999.99    6.937
    518.16   999.99    7.042
    521.21   999.99    7.197
    524.26   999.99    7.291
    527.31   999.99    7.447
    530.35   999.99    7.584
    533.40   999.99    7.722
    536.45   999.99    7.827
    539.50   999.99    7.962
    542.55   999.99    8.121
    545.59   999.99    8.252
    548.64   999.99    8.376
    551.69   999.99    8.509
    554.74   999.99    8.626
    557.79   999.99    8.754
    560.83   999.99    8.864
    563.88   999.99    8.976
    566.93   999.99    9.074
    569.98   999.99    9.161
    573.03   999.99    9.268
    576.07   999.99    9.334
    579.12   999.99    9.545
    582.17   999.99    9.857
    585.22   999.99    9.877
    588.27   999.99    9.930
    591.31   999.99    9.991
    594.36   999.99   10.047
    597.41   999.99   10.267
    600.46   999.99   10.417
    603.81   999.99   10.562
