 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             ESN2
 Log Date:         80MAR10 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     30.48   999.99    1.824
     32.00   999.99    1.826
     33.53   999.99    1.801
     35.05   999.99    1.834
     36.58   999.99    1.811
     38.10   999.99    1.776
     39.62   999.99    1.797
     41.15   999.99    1.771
     42.67   999.99    1.684
     44.20   999.99    1.569
     45.72   999.99    1.405
     47.24   999.99    1.182
     48.77   999.99     .948
     50.29   999.99    1.004
     51.82   999.99     .961
     53.34   999.99     .976
     54.86   999.99     .912
     56.39   999.99     .926
     57.91   999.99     .848
     59.44   999.99     .947
     60.96   999.99     .905
     62.48   999.99     .967
     64.01   999.99     .907
     65.53   999.99     .854
     67.06   999.99     .859
     68.58   999.99     .818
     70.10   999.99     .948
     71.63   999.99     .882
     73.15   999.99     .804
     74.68   999.99     .857
     76.20   999.99     .879
     77.72   999.99     .812
     79.25   999.99     .961
     80.77   999.99     .986
     82.30   999.99     .807
     83.82   999.99     .758
     85.34   999.99     .742
     86.87   999.99     .808
     88.39   999.99     .719
     89.92   999.99     .770
     91.44   999.99     .820
     92.96   999.99     .832
     94.49   999.99     .688
     96.01   999.99     .662
     97.54   999.99     .721
     99.06   999.99     .762
    100.58   999.99     .818
    102.11   999.99     .764
    103.63   999.99     .812
    105.16   999.99     .827
    106.68   999.99     .766
    108.20   999.99     .708
    109.73   999.99     .772
    111.25   999.99     .861
    112.78   999.99     .803
    114.30   999.99     .819
    115.82   999.99     .803
    117.35   999.99     .696
    118.87   999.99     .664
    120.40   999.99     .576
    121.92   999.99     .679
    123.44   999.99     .718
    124.97   999.99     .712
    126.49   999.99     .598
    128.02   999.99     .558
    129.54   999.99     .568
    131.06   999.99     .604
    132.59   999.99     .672
    134.11   999.99     .666
    135.64   999.99     .601
    137.16   999.99     .563
    138.68   999.99     .636
    140.21   999.99     .565
    141.73   999.99     .702
    143.26   999.99     .640
    144.78   999.99     .466
    146.30   999.99     .577
    147.83   999.99     .548
    149.35   999.99     .574
    150.88   999.99     .580
    152.40   999.99     .702
    153.92   999.99     .651
    155.45   999.99     .660
    156.97   999.99     .712
    158.50   999.99     .673
    160.02   999.99     .677
    161.54   999.99     .672
    163.07   999.99     .672
    164.59   999.99     .707
    166.12   999.99     .705
    167.64   999.99     .647
    169.16   999.99     .761
    170.69   999.99     .788
    172.21   999.99     .737
    173.74   999.99     .793
    175.26   999.99     .836
    176.78   999.99     .803
    178.31   999.99     .773
    179.83   999.99     .843
    181.36   999.99     .873
    182.88   999.99     .907
    184.40   999.99     .858
    185.93   999.99     .810
    187.45   999.99     .888
    188.98   999.99     .885
    190.50   999.99     .895
    192.02   999.99     .936
    193.55   999.99    1.016
    195.07   999.99    1.028
    196.60   999.99    1.029
    198.12   999.99     .842
    199.64   999.99     .965
    201.17   999.99     .963
    202.69   999.99     .996
    204.22   999.99    1.062
    205.74   999.99     .977
    207.26   999.99    1.052
    208.79   999.99    1.012
    210.31   999.99     .956
    211.84   999.99    1.005
    213.36   999.99     .908
    214.88   999.99    1.109
    216.41   999.99    1.069
    217.93   999.99     .976
    219.46   999.99     .928
    220.98   999.99     .933
    222.50   999.99    1.028
    224.03   999.99    1.034
    225.55   999.99    1.013
    227.08   999.99    1.119
    228.60   999.99    1.044
    230.12   999.99    1.151
    231.65   999.99     .979
    233.17   999.99     .998
    234.70   999.99    1.042
    236.22   999.99     .928
    237.74   999.99     .949
    239.27   999.99     .996
    240.79   999.99    1.034
    242.32   999.99    1.137
    243.84   999.99    1.106
    245.36   999.99    1.064
    246.89   999.99    1.013
    248.41   999.99    1.069
    249.94   999.99    1.117
    251.46   999.99    1.179
    252.98   999.99    1.185
    254.51   999.99    1.193
    256.03   999.99    1.174
    257.56   999.99    1.170
    259.08   999.99    1.222
    260.60   999.99    1.040
    262.13   999.99    1.092
    263.65   999.99    1.203
    265.18   999.99    1.184
    266.70   999.99    1.218
    268.22   999.99    1.143
    269.75   999.99    1.179
    271.27   999.99    1.246
    272.80   999.99    1.306
    274.32   999.99    1.410
    275.84   999.99    1.492
    277.37   999.99    1.442
    278.89   999.99    1.382
    280.42   999.99    1.419
    281.94   999.99    1.406
    283.46   999.99    1.512
    284.99   999.99    1.491
    286.51   999.99    1.459
    288.04   999.99    1.549
    289.56   999.99    1.533
    291.08   999.99    1.498
    292.61   999.99    1.774
    294.13   999.99    1.682
    295.66   999.99    1.640
    297.18   999.99    1.683
    298.70   999.99    1.655
    300.23   999.99    1.704
    301.75   999.99    1.742
    303.28   999.99    1.686
    304.80   999.99    1.583
    306.32   999.99    1.601
    307.85   999.99    1.685
    309.37   999.99    1.754
    310.90   999.99    1.740
    312.42   999.99    1.803
    313.94   999.99    1.818
    315.47   999.99    1.916
    316.99   999.99    1.944
    318.52   999.99    1.705
    320.04   999.99    1.827
    321.56   999.99    1.852
    323.09   999.99    1.911
    324.61   999.99    1.881
    326.14   999.99    1.933
    327.66   999.99    1.967
    329.18   999.99    1.817
    330.71   999.99    1.759
    332.23   999.99    1.823
    333.76   999.99    1.740
    335.28   999.99    1.753
    336.80   999.99    1.904
    338.33   999.99    1.964
    339.85   999.99    1.847
    341.38   999.99    2.097
    342.90   999.99    2.131
    344.42   999.99    1.854
    345.95   999.99    1.770
    347.47   999.99    1.734
    349.00   999.99    1.732
    350.52   999.99    1.733
    352.04   999.99    1.846
    353.57   999.99    1.887
    355.09   999.99    1.976
    356.62   999.99    2.006
    358.14   999.99    1.908
    359.66   999.99    1.846
    361.19   999.99    1.928
    362.71   999.99    1.973
    364.24   999.99    1.935
    365.76   999.99    1.938
    367.28   999.99    2.133
    368.81   999.99    2.182
    370.33   999.99    2.211
    371.86   999.99    2.337
    373.38   999.99    2.337
    374.90   999.99    2.321
    376.43   999.99    2.309
    377.95   999.99    2.314
    379.48   999.99    2.371
    381.00   999.99    2.452
    382.52   999.99    2.438
    384.05   999.99    2.437
    385.57   999.99    2.478
    387.10   999.99    2.492
    388.62   999.99    2.542
    390.14   999.99    2.604
    391.67   999.99    2.701
    393.19   999.99    2.791
    394.72   999.99    2.701
    396.24   999.99    2.586
    397.76   999.99    2.603
    399.29   999.99    2.492
    400.81   999.99    2.518
    402.34   999.99    2.563
    403.86   999.99    2.614
    405.38   999.99    2.705
    406.91   999.99    2.642
    408.43   999.99    2.732
    409.96   999.99    2.765
    411.48   999.99    2.771
    413.00   999.99    2.681
    414.53   999.99    2.661
    416.05   999.99    2.478
    417.58   999.99    2.464
    419.10   999.99    2.506
    420.62   999.99    2.535
    422.15   999.99    2.545
    423.67   999.99    2.557
    425.20   999.99    2.586
    426.72   999.99    2.612
    428.24   999.99    2.736
    429.77   999.99    2.975
