 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             ESN2
 Log Date:         80MAR11 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     30.48   999.99    1.597
     32.00   999.99    1.630
     33.53   999.99    1.628
     35.05   999.99    1.507
     36.58   999.99    1.522
     38.10   999.99    1.496
     39.62   999.99    1.489
     41.15   999.99    1.554
     42.67   999.99    1.587
     44.20   999.99    1.608
     45.72   999.99    1.568
     47.24   999.99    1.632
     48.77   999.99    1.591
     50.29   999.99    1.616
     51.82   999.99    1.642
     53.34   999.99    1.636
     54.86   999.99    1.483
     56.39   999.99    1.556
     57.91   999.99    1.873
     59.44   999.99    1.984
     60.96   999.99    1.863
     62.48   999.99    1.975
     64.01   999.99    2.146
     65.53   999.99    2.180
     67.06   999.99    2.176
     68.58   999.99    2.179
     70.10   999.99    2.194
     71.63   999.99    2.203
     73.15   999.99    2.226
     74.68   999.99    2.256
     76.20   999.99    2.226
     77.72   999.99    2.222
     79.25   999.99    2.221
     80.77   999.99    2.209
     82.30   999.99    2.196
     83.82   999.99    2.219
     85.34   999.99    2.193
     86.87   999.99    2.197
     88.39   999.99    2.224
     89.92   999.99    2.244
     91.44   999.99    2.293
     92.96   999.99    2.318
     94.49   999.99    2.342
     96.01   999.99    2.339
     97.54   999.99    2.338
     99.06   999.99    2.342
    100.58   999.99    2.116
    102.11   999.99    2.123
    103.63   999.99    2.124
    105.16   999.99    2.124
    106.68   999.99    2.140
    108.20   999.99    2.169
    109.73   999.99    2.152
    111.25   999.99    2.149
    112.78   999.99    2.168
    114.30   999.99    2.190
    115.82   999.99    2.216
    117.35   999.99    2.249
    118.87   999.99    2.249
    120.40   999.99    2.229
    121.92   999.99    2.171
    123.44   999.99    2.166
    124.97   999.99    2.193
    126.49   999.99    2.223
    128.02   999.99    2.207
    129.54   999.99    2.206
    131.06   999.99    2.214
    132.59   999.99    2.229
    134.11   999.99    2.243
    135.64   999.99    2.267
    137.16   999.99    2.298
    138.68   999.99    2.296
    140.21   999.99    2.247
    141.73   999.99    2.242
    143.26   999.99    2.253
    144.78   999.99    2.270
    146.30   999.99    2.276
    147.83   999.99    2.243
    149.35   999.99    2.189
    150.88   999.99    2.213
    152.40   999.99    2.218
    153.92   999.99    2.249
    155.45   999.99    2.291
    156.97   999.99    2.276
    158.50   999.99    2.306
    160.02   999.99    2.353
    161.54   999.99    2.386
    163.07   999.99    2.378
    164.59   999.99    2.339
    166.12   999.99    2.398
    167.64   999.99    2.380
    169.16   999.99    2.391
    170.69   999.99    2.410
    172.21   999.99    2.426
    173.74   999.99    2.384
    175.26   999.99    2.466
    176.78   999.99    2.502
    178.31   999.99    2.457
    179.83   999.99    2.507
    181.36   999.99    2.429
    182.88   999.99    2.494
    184.40   999.99    2.524
    185.93   999.99    2.638
    187.45   999.99    2.593
    188.98   999.99    2.530
    190.50   999.99    2.580
    192.02   999.99    2.614
    193.55   999.99    2.599
    195.07   999.99    2.622
    196.60   999.99    2.671
    198.12   999.99    2.724
    199.64   999.99    2.638
    201.17   999.99    2.528
    202.69   999.99    2.580
    204.22   999.99    2.579
    205.74   999.99    2.718
    207.26   999.99    2.638
    208.79   999.99    2.592
    210.31   999.99    2.600
    211.84   999.99    2.632
    213.36   999.99    2.601
    214.88   999.99    2.663
    216.41   999.99    2.717
    217.93   999.99    2.757
    219.46   999.99    2.758
    220.98   999.99    2.861
    222.50   999.99    2.892
    224.03   999.99    2.807
    225.55   999.99    2.844
    227.08   999.99    2.846
    228.60   999.99    2.757
    230.12   999.99    2.818
    231.65   999.99    2.757
    233.17   999.99    2.731
    234.70   999.99    2.811
    236.22   999.99    2.877
    237.74   999.99    2.917
    239.27   999.99    2.959
    240.79   999.99    2.933
    242.32   999.99    2.977
    243.84   999.99    3.034
    245.36   999.99    3.071
    246.89   999.99    3.119
    248.41   999.99    3.108
    249.94   999.99    3.090
    251.46   999.99    3.104
    252.98   999.99    3.121
    254.51   999.99    3.210
    256.03   999.99    3.234
    257.56   999.99    3.107
    259.08   999.99    3.128
    260.60   999.99    3.192
    262.13   999.99    3.253
    263.65   999.99    3.281
    265.18   999.99    3.304
    266.70   999.99    3.250
    268.22   999.99    3.375
    269.75   999.99    3.471
    271.27   999.99    3.429
    272.80   999.99    3.461
    274.32   999.99    3.564
    275.84   999.99    3.604
    277.37   999.99    3.651
    278.89   999.99    3.728
    280.42   999.99    3.761
    281.94   999.99    3.651
    283.46   999.99    3.677
    284.99   999.99    3.826
    286.51   999.99    3.822
    288.04   999.99    3.751
    289.56   999.99    3.747
    291.08   999.99    3.822
    292.61   999.99    3.833
    294.13   999.99    3.942
    295.66   999.99    4.058
    297.18   999.99    4.136
