 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             ETK 
 Log Date:         78SEP17 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      6.10   999.99   -9.056
      9.14   999.99   -9.085
     12.19   999.99   -9.058
     15.24   999.99   -9.016
     18.29   999.99   -8.957
     21.34   999.99   -8.908
     24.38   999.99   -8.838
     27.43   999.99   -8.761
     30.48   999.99   -8.706
     33.53   999.99   -8.645
     36.58   999.99   -8.587
     39.62   999.99   -8.522
     42.67   999.99   -8.459
     45.72   999.99   -8.386
     48.77   999.99   -8.313
     51.82   999.99   -8.237
     54.86   999.99   -8.146
     57.91   999.99   -8.079
     60.96   999.99   -7.976
     64.01   999.99   -7.876
     67.06   999.99   -7.787
     70.10   999.99   -7.681
     73.15   999.99   -7.565
     76.20   999.99   -7.451
     79.25   999.99   -7.354
     82.30   999.99   -7.250
     85.34   999.99   -7.122
     88.39   999.99   -6.967
     91.44   999.99   -6.857
     94.49   999.99   -6.735
     97.54   999.99   -6.592
    100.58   999.99   -6.458
    103.63   999.99   -6.345
    106.68   999.99   -6.226
    109.73   999.99   -6.080
    112.78   999.99   -5.950
    115.82   999.99   -5.764
    118.87   999.99   -5.611
    121.92   999.99   -5.458
    124.97   999.99   -5.290
    128.02   999.99   -5.113
    131.06   999.99   -4.963
    134.11   999.99   -4.785
    137.16   999.99   -4.647
    140.21   999.99   -4.472
    143.26   999.99   -4.321
    146.30   999.99   -4.164
    149.35   999.99   -4.010
    152.40   999.99   -3.854
    155.45   999.99   -3.732
    158.50   999.99   -3.597
    161.54   999.99   -3.448
    164.59   999.99   -3.308
    167.64   999.99   -3.181
    170.69   999.99   -3.049
    173.74   999.99   -2.925
    176.78   999.99   -2.803
    179.83   999.99   -2.690
    182.88   999.99   -2.581
    185.93   999.99   -2.472
    188.98   999.99   -2.365
    192.02   999.99   -2.275
    195.07   999.99   -2.152
    198.12   999.99   -2.053
    201.17   999.99   -1.956
    204.22   999.99   -1.858
    207.26   999.99   -1.740
    210.31   999.99   -1.629
    213.36   999.99   -1.520
    216.41   999.99   -1.386
    219.46   999.99   -1.264
    222.50   999.99   -1.115
    225.55   999.99    -.996
    228.60   999.99    -.828
    231.65   999.99    -.719
    234.70   999.99    -.582
    237.74   999.99    -.389
    240.79   999.99    -.369
    243.84   999.99    -.244
    246.89   999.99     .004
    249.94   999.99     .169
    252.98   999.99     .232
    256.03   999.99     .313
    259.08   999.99     .398
    262.13   999.99     .481
    265.18   999.99     .683
    268.22   999.99     .969
    271.27   999.99    1.079
    274.32   999.99    1.175
    277.37   999.99    1.286
    280.42   999.99    1.442
    283.46   999.99    1.582
    286.51   999.99    1.715
    289.56   999.99    1.848
    292.61   999.99    1.968
    295.66   999.99    2.136
    298.70   999.99    2.291
    301.75   999.99    2.427
    304.80   999.99    2.564
    307.85   999.99    2.713
    310.90   999.99    2.845
    313.94   999.99    2.949
    316.99   999.99    3.069
    320.04   999.99    3.195
    323.09   999.99    3.323
    326.14   999.99    3.450
    329.18   999.99    3.586
    332.23   999.99    3.700
    335.28   999.99    3.813
    338.33   999.99    3.950
