 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             ETK 
 Log Date:         77DEC17 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     10.97   999.99   -9.529
     14.02   999.99   -8.994
     17.07   999.99   -8.878
     20.12   999.99   -8.817
     23.16   999.99   -8.757
     26.21   999.99   -8.679
     29.26   999.99   -8.597
     32.31   999.99   -8.527
     35.36   999.99   -8.469
     38.40   999.99   -8.415
     41.45   999.99   -8.336
     44.50   999.99   -8.273
     47.55   999.99   -8.218
     50.60   999.99   -8.150
     53.64   999.99   -8.089
     56.69   999.99   -7.992
     59.74   999.99   -7.912
     62.79   999.99   -7.823
     65.84   999.99   -7.719
     68.88   999.99   -7.589
     71.93   999.99   -7.498
     74.98   999.99   -7.422
     78.03   999.99   -7.317
     81.08   999.99   -7.217
     84.12   999.99   -7.100
     87.17   999.99   -6.975
     90.22   999.99   -6.837
     93.27   999.99   -6.738
     96.32   999.99   -6.577
     99.36   999.99   -6.474
    102.41   999.99   -6.334
    105.46   999.99   -6.237
    108.51   999.99   -6.121
    111.56   999.99   -5.973
    114.61   999.99   -5.830
    117.65   999.99   -5.679
    120.70   999.99   -5.479
    123.75   999.99   -5.309
    126.80   999.99   -5.143
    129.85   999.99   -4.994
    132.89   999.99   -4.828
    135.94   999.99   -4.668
    138.99   999.99   -4.536
    142.04   999.99   -4.387
    145.09   999.99   -4.197
    148.13   999.99   -4.026
    151.18   999.99   -3.864
    154.23   999.99   -3.758
    157.28   999.99   -3.631
    160.33   999.99   -3.513
    163.37   999.99   -3.396
    166.42   999.99   -3.257
    169.47   999.99   -3.102
    172.52   999.99   -2.975
    175.57   999.99   -2.843
    178.61   999.99   -2.722
    181.66   999.99   -2.611
    184.71   999.99   -2.498
    187.76   999.99   -2.415
    190.81   999.99   -2.305
    193.85   999.99   -2.193
    196.90   999.99   -2.078
    199.95   999.99   -1.978
    203.00   999.99   -1.901
    206.05   999.99   -1.812
    209.09   999.99   -1.718
    212.14   999.99   -1.662
    215.19   999.99   -1.485
    218.24   999.99   -1.360
    221.29   999.99   -1.227
    224.33   999.99   -1.089
    227.38   999.99    -.933
    230.43   999.99    -.799
    233.48   999.99    -.657
    236.53   999.99    -.505
    239.57   999.99    -.378
    242.62   999.99    -.271
    245.67   999.99    -.185
    248.72   999.99    -.141
    251.77   999.99     .204
    254.81   999.99     .295
    257.86   999.99     .398
    260.91   999.99     .494
    263.96   999.99     .558
    267.01   999.99     .669
    270.05   999.99    1.000
    273.10   999.99    1.086
    279.20   999.99    1.255
    285.29   999.99    1.704
    291.39   999.99    1.957
    297.49   999.99    2.194
    303.58   999.99    2.463
    309.68   999.99    2.720
    315.77   999.99    2.990
    321.87   999.99    3.239
    327.97   999.99    3.480
    334.06   999.99    3.720
    340.16   999.99    3.954
    346.25   999.99    4.183
    352.35   999.99    4.426
    358.45   999.99    4.662
    364.54   999.99    4.925
    370.64   999.99    5.148
    376.73   999.99    5.416
    382.83   999.99    5.663
    388.93   999.99    5.910
    395.02   999.99    6.172
    401.12   999.99    6.438
    407.21   999.99    6.692
    413.31   999.99    6.949
    419.41   999.99    7.198
    425.50   999.99    7.500
    431.60   999.99    7.742
    437.69   999.99    8.003
    443.79   999.99    8.230
    449.89   999.99    8.822
    455.98   999.99    9.043
    462.08   999.99    9.328
    468.17   999.99    9.667
    474.27   999.99    9.965
    480.37   999.99   10.263
    486.46   999.99   10.527
    492.56   999.99   10.748
    498.65   999.99   10.967
    504.75   999.99   11.183
    510.85   999.99   11.428
    516.94   999.99   11.789
    523.04   999.99   12.030
    529.13   999.99   12.286
    535.23   999.99   12.547
    541.33   999.99   12.766
    547.42   999.99   12.976
    553.52   999.99   13.197
    559.61   999.99   13.406
    565.71   999.99   13.613
    571.81   999.99   13.818
    577.90   999.99   14.025
    584.00   999.99   14.275
    590.09   999.99   14.523
    596.19   999.99   14.747
    602.29   999.99   15.008
    608.38   999.99   15.298
    614.48   999.99   15.565
    620.57   999.99   15.809
    626.67   999.99   16.036
    632.77   999.99   16.278
    638.86   999.99   16.525
    644.96   999.99   16.771
    651.05   999.99   17.009
    657.15   999.99   17.286
    663.25   999.99   17.533
    669.34   999.99   17.785
    675.44   999.99   18.053
    681.53   999.99   18.339
    687.63   999.99   18.592
    693.73   999.99   18.861
    699.82   999.99   19.096
    705.92   999.99   19.345
    712.01   999.99   19.533
    718.11   999.99   19.881
    724.21   999.99   20.203
    724.82   999.99   20.250
