 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             FCK 
 Log Date:         78SEP16 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      6.10   999.99   -8.095
      9.14   999.99   -8.117
     12.19   999.99   -8.079
     15.24   999.99   -8.043
     18.29   999.99   -8.016
     21.34   999.99   -7.978
     24.38   999.99   -7.927
     27.43   999.99   -7.875
     30.48   999.99   -7.815
     33.53   999.99   -7.756
     36.58   999.99   -7.679
     39.62   999.99   -7.602
     42.67   999.99   -7.534
     45.72   999.99   -7.453
     48.77   999.99   -7.388
     51.82   999.99   -7.316
     54.86   999.99   -7.258
     57.91   999.99   -7.195
     60.96   999.99   -7.134
     64.01   999.99   -7.080
     67.06   999.99   -7.007
     70.10   999.99   -6.914
     73.15   999.99   -6.804
     76.20   999.99   -6.703
     79.25   999.99   -6.603
     82.30   999.99   -6.507
     85.34   999.99   -6.433
     88.39   999.99   -6.358
     91.44   999.99   -6.285
     94.49   999.99   -6.203
     97.54   999.99   -6.123
    100.58   999.99   -6.030
    103.63   999.99   -5.946
    106.68   999.99   -5.831
    109.73   999.99   -5.711
    112.78   999.99   -5.584
    115.82   999.99   -5.467
    118.87   999.99   -5.376
    121.92   999.99   -5.250
    124.97   999.99   -5.138
    128.02   999.99   -5.013
    131.06   999.99   -4.911
    134.11   999.99   -4.790
    137.16   999.99   -4.663
    140.21   999.99   -4.498
    143.26   999.99   -4.347
    146.30   999.99   -4.196
    149.35   999.99   -4.009
    152.40   999.99   -3.853
    155.45   999.99   -3.691
    158.50   999.99   -3.506
    161.54   999.99   -3.335
    164.59   999.99   -3.145
    167.64   999.99   -2.972
    170.69   999.99   -2.841
    173.74   999.99   -2.684
    176.78   999.99   -2.518
    179.83   999.99   -2.391
    182.88   999.99   -2.208
    185.93   999.99   -2.047
    188.98   999.99   -1.906
    192.02   999.99   -1.758
    195.07   999.99   -1.645
    198.12   999.99   -1.413
    201.17   999.99   -1.308
    204.22   999.99   -1.174
    207.26   999.99   -1.061
    210.31   999.99    -.924
    213.36   999.99    -.744
    219.46   999.99    -.594
    222.50   999.99    -.490
    225.55   999.99    -.346
    228.60   999.99    -.229
    231.65   999.99    -.109
    234.70   999.99     .005
    237.74   999.99     .129
    240.79   999.99     .248
    243.84   999.99     .377
    246.89   999.99     .474
    249.94   999.99     .620
    252.98   999.99     .733
    256.03   999.99     .858
    259.08   999.99     .991
    262.13   999.99    1.088
    265.18   999.99    1.200
    268.22   999.99    1.308
    271.27   999.99    1.437
    274.32   999.99    1.552
    277.37   999.99    1.664
    280.42   999.99    1.773
    283.46   999.99    1.885
    286.51   999.99    2.008
    289.56   999.99    2.104
    292.61   999.99    2.199
    295.66   999.99    2.295
    298.70   999.99    2.415
    301.75   999.99    2.523
    304.80   999.99    2.639
    307.85   999.99    2.756
    310.90   999.99    2.866
    313.94   999.99    2.956
    316.99   999.99    3.088
    320.04   999.99    3.218
    323.09   999.99    3.307
    326.14   999.99    3.427
    329.18   999.99    3.543
    332.23   999.99    3.643
    335.28   999.99    3.760
    338.33   999.99    3.875
    341.38   999.99    4.005
