 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             G13 
 Log Date:         79JUL31 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      6.10   999.99     .771
      9.14   999.99     .774
     12.19   999.99     .766
     15.24   999.99     .933
     18.29   999.99     .774
     21.34   999.99     .762
     24.38   999.99     .752
     27.43   999.99     .744
     30.48   999.99     .736
     33.53   999.99     .726
     36.58   999.99     .717
     39.62   999.99     .714
     42.67   999.99     .715
     45.72   999.99     .715
     48.77   999.99     .717
     51.82   999.99     .720
     54.86   999.99     .729
     57.91   999.99     .737
     60.96   999.99     .741
     64.01   999.99     .756
     67.06   999.99     .800
     70.10   999.99     .830
     73.15   999.99     .872
     76.20   999.99     .903
     79.25   999.99     .946
     82.30   999.99     .962
     85.34   999.99    1.006
     88.39   999.99    1.057
     91.44   999.99    1.082
     94.49   999.99    1.120
     97.54   999.99    1.140
    100.58   999.99    1.169
    103.63   999.99    1.197
    106.68   999.99    1.233
    109.73   999.99    1.270
    112.78   999.99    1.304
    115.82   999.99    1.357
    118.87   999.99    1.409
    121.92   999.99    1.478
    124.97   999.99    1.516
    128.02   999.99    1.560
    131.06   999.99    1.608
    134.11   999.99    1.647
    137.16   999.99    1.684
    140.21   999.99    1.719
    143.26   999.99    1.764
    146.30   999.99    1.811
    149.35   999.99    1.879
    152.40   999.99    1.949
    155.45   999.99    2.021
    158.50   999.99    2.083
    161.54   999.99    2.145
    164.59   999.99    2.201
    167.64   999.99    2.270
    170.69   999.99    2.331
