 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             IKP 
 Log Date:         83AUG20 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     18.29   999.99   -8.686
     21.34   999.99   -8.390
     24.38   999.99   -8.190
     27.43   999.99   -8.020
     30.48   999.99   -7.932
     33.53   999.99   -7.857
     36.58   999.99   -7.808
     39.62   999.99   -7.769
     42.67   999.99   -7.742
     45.72   999.99   -7.711
     48.77   999.99   -7.669
     51.82   999.99   -7.631
     54.86   999.99   -7.579
     57.91   999.99   -7.521
     60.96   999.99   -7.461
     64.01   999.99   -7.403
     67.06   999.99   -7.328
     70.10   999.99   -7.264
     73.15   999.99   -7.187
     76.20   999.99   -7.104
     79.25   999.99   -7.042
     82.30   999.99   -6.966
     85.34   999.99   -6.884
     88.39   999.99   -6.782
     91.44   999.99   -6.698
     94.49   999.99   -6.601
     97.54   999.99   -6.478
    100.58   999.99   -6.363
    103.63   999.99   -6.269
    106.68   999.99   -6.142
    109.73   999.99   -6.035
    112.78   999.99   -5.917
    115.82   999.99   -5.795
    118.87   999.99   -5.661
    121.92   999.99   -5.521
    124.97   999.99   -5.406
    128.02   999.99   -5.301
    131.06   999.99   -5.206
    134.11   999.99   -5.122
    137.16   999.99   -5.042
    140.21   999.99   -4.959
    143.26   999.99   -4.880
    146.30   999.99   -4.777
    149.35   999.99   -4.671
    152.40   999.99   -4.566
    155.45   999.99   -4.467
    158.50   999.99   -4.363
    161.54   999.99   -4.298
    164.59   999.99   -4.268
    167.64   999.99   -4.228
    170.69   999.99   -4.193
    173.74   999.99   -4.103
    176.78   999.99   -3.972
    179.83   999.99   -3.855
    182.88   999.99   -3.721
    185.93   999.99   -3.596
    188.98   999.99   -3.529
    192.02   999.99   -3.451
    195.07   999.99   -3.373
    198.12   999.99   -3.325
    201.17   999.99   -3.315
    204.22   999.99   -3.296
    207.26   999.99   -3.267
    210.31   999.99   -3.212
    213.36   999.99   -3.158
    216.41   999.99   -3.107
    219.46   999.99   -3.048
    222.50   999.99   -2.971
    225.55   999.99   -2.890
    228.60   999.99   -2.801
    231.65   999.99   -2.695
    234.70   999.99   -2.551
    237.74   999.99   -2.444
    240.79   999.99   -2.325
    243.84   999.99   -2.215
    246.89   999.99   -2.134
    249.94   999.99   -2.075
    252.98   999.99   -2.019
    256.03   999.99   -1.963
    259.08   999.99   -1.869
    262.13   999.99   -1.752
    265.18   999.99   -1.656
    268.22   999.99   -1.573
    271.27   999.99   -1.502
    274.32   999.99   -1.397
    277.37   999.99   -1.283
    280.42   999.99   -1.233
    283.46   999.99   -1.218
    286.51   999.99   -1.243
    289.56   999.99   -1.238
    292.61   999.99   -1.177
    295.66   999.99   -1.112
    298.70   999.99    -.995
    301.75   999.99    -.914
    304.80   999.99    -.817
    307.85   999.99    -.715
    310.90   999.99    -.619
    313.94   999.99    -.523
    316.99   999.99    -.417
    320.04   999.99    -.290
    323.09   999.99    -.160
    326.14   999.99    -.022
    329.18   999.99     .126
    332.23   999.99     .246
    338.33   999.99     .463
    344.42   999.99     .610
    350.52   999.99     .760
    356.62   999.99     .887
    362.71   999.99    1.015
    368.81   999.99    1.165
    374.90   999.99    1.349
    381.00   999.99    1.490
    387.10   999.99    1.641
    393.19   999.99    1.796
    399.29   999.99    1.958
    405.38   999.99    2.115
    411.48   999.99    2.274
    417.58   999.99    2.394
    423.67   999.99    2.539
    429.77   999.99    2.693
    435.86   999.99    2.845
    441.96   999.99    3.015
    448.06   999.99    3.200
    454.15   999.99    3.381
    460.25   999.99    3.587
    466.34   999.99    3.778
    472.44   999.99    3.945
    478.54   999.99    4.093
    484.63   999.99    4.202
    490.73   999.99    4.439
    496.83   999.99    4.638
    502.92   999.99    4.792
    509.02   999.99    4.968
    515.11   999.99    5.170
    521.21   999.99    5.376
    527.31   999.99    5.565
    533.40   999.99    5.738
    539.50   999.99    5.903
    545.59   999.99    6.043
    551.69   999.99    6.199
    557.79   999.99    6.382
    563.88   999.99    6.543
    569.98   999.99    6.723
    576.07   999.99    6.930
    582.17   999.99    7.072
    588.27   999.99    7.264
    594.36   999.99    7.483
    600.46   999.99    7.698
    606.55   999.99    7.883
    609.60   999.99    7.957
