 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             JWD 
 Log Date:         83AUG26 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     27.43   999.99  -10.025
     30.48   999.99   -9.980
     33.53   999.99   -9.983
     36.58   999.99   -9.966
     39.62   999.99   -9.956
     42.67   999.99   -9.945
     45.72   999.99   -9.934
     48.77   999.99   -9.918
     51.82   999.99   -9.894
     54.86   999.99   -9.875
     57.91   999.99   -9.853
     60.96   999.99   -9.821
     64.01   999.99   -9.791
     67.06   999.99   -9.761
     70.10   999.99   -9.710
     73.15   999.99   -9.666
     76.20   999.99   -9.610
     79.25   999.99   -9.557
     82.30   999.99   -9.501
     85.34   999.99   -9.441
     88.39   999.99   -9.387
     91.44   999.99   -9.330
     94.49   999.99   -9.265
     97.54   999.99   -9.176
    100.58   999.99   -9.134
    103.63   999.99   -9.060
    106.68   999.99   -8.997
    109.73   999.99   -8.932
    112.78   999.99   -8.855
    115.82   999.99   -8.789
    118.87   999.99   -8.717
    121.92   999.99   -8.616
    124.97   999.99   -8.557
    128.02   999.99   -8.467
    131.06   999.99   -8.398
    134.11   999.99   -8.323
    137.16   999.99   -8.210
    140.21   999.99   -8.142
    143.26   999.99   -8.062
    146.30   999.99   -7.965
    149.35   999.99   -7.900
    152.40   999.99   -7.803
    155.45   999.99   -7.717
    158.50   999.99   -7.663
    161.54   999.99   -7.583
    164.59   999.99   -7.497
    170.69   999.99   -7.362
    173.74   999.99   -7.293
    176.78   999.99   -7.221
    179.83   999.99   -7.158
    182.88   999.99   -7.099
    185.93   999.99   -7.047
    188.98   999.99   -6.980
    192.02   999.99   -6.907
    195.07   999.99   -6.854
    198.12   999.99   -6.779
    201.17   999.99   -6.743
    204.22   999.99   -6.699
    207.26   999.99   -6.642
    210.31   999.99   -6.595
    213.36   999.99   -6.549
    216.41   999.99   -6.495
    219.46   999.99   -6.453
    222.50   999.99   -6.406
    225.55   999.99   -6.356
    228.60   999.99   -6.303
    231.65   999.99   -6.257
    234.70   999.99   -6.214
    237.74   999.99   -6.170
    240.79   999.99   -6.122
    243.84   999.99   -6.068
    246.89   999.99   -6.021
    249.94   999.99   -5.971
    252.98   999.99   -5.915
    256.03   999.99   -5.874
    259.08   999.99   -5.827
    262.13   999.99   -5.774
    265.18   999.99   -5.710
    268.22   999.99   -5.639
    271.27   999.99   -5.550
    274.32   999.99   -5.449
    277.37   999.99   -5.359
    280.42   999.99   -5.216
    283.46   999.99   -5.112
    286.51   999.99   -5.002
    289.56   999.99   -4.906
    292.61   999.99   -4.788
    295.66   999.99   -4.668
    298.70   999.99   -4.579
    301.75   999.99   -4.442
    304.80   999.99   -4.325
    307.85   999.99   -4.196
    310.90   999.99   -4.041
    313.94   999.99   -3.970
    316.99   999.99   -3.842
    320.04   999.99   -3.724
    323.09   999.99   -3.595
    326.14   999.99   -3.446
    329.18   999.99   -3.360
    332.23   999.99   -3.250
    335.28   999.99   -3.127
    338.33   999.99   -3.007
    341.38   999.99   -2.885
    344.42   999.99   -2.743
    347.47   999.99   -2.648
    350.52   999.99   -2.492
    353.57   999.99   -2.360
    356.62   999.99   -2.206
    359.66   999.99   -2.040
    362.71   999.99   -1.910
    365.76   999.99   -1.699
    368.81   999.99   -1.560
    371.86   999.99   -1.383
    374.90   999.99   -1.281
    377.95   999.99   -1.135
    381.00   999.99    -.966
    384.05   999.99    -.816
    387.10   999.99    -.677
    390.14   999.99    -.533
    393.19   999.99    -.357
    396.24   999.99    -.244
    399.29   999.99    -.073
    402.34   999.99     .084
    405.38   999.99     .220
    408.43   999.99     .392
    411.48   999.99     .487
    414.53   999.99     .619
    417.58   999.99     .765
    420.62   999.99     .887
    423.67   999.99    1.036
    426.72   999.99    1.198
    429.77   999.99    1.316
    432.82   999.99    1.416
    435.86   999.99    1.532
    438.91   999.99    1.646
    441.96   999.99    1.769
    445.01   999.99    1.921
    448.06   999.99    1.994
    451.10   999.99    2.135
    454.15   999.99    2.252
    457.20   999.99    2.343
    460.25   999.99    2.418
    463.30   999.99    2.468
    466.34   999.99    2.949
    469.39   999.99    2.991
    472.44   999.99    3.059
    475.49   999.99    3.104
    478.54   999.99    3.322
    481.58   999.99    3.571
    484.63   999.99    3.609
    487.68   999.99    3.747
