 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             KAG 
 Log Date:         83AUG25 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     21.34   999.99   -8.214
     24.38   999.99   -8.060
     27.43   999.99   -7.958
     30.48   999.99   -7.891
     33.53   999.99   -7.833
     36.58   999.99   -7.779
     39.62   999.99   -7.730
     42.67   999.99   -7.695
     45.72   999.99   -7.643
     48.77   999.99   -7.600
     51.82   999.99   -7.550
     54.86   999.99   -7.484
     57.91   999.99   -7.417
     60.96   999.99   -7.344
     64.01   999.99   -7.287
     67.06   999.99   -7.191
     70.10   999.99   -7.147
     73.15   999.99   -7.040
     76.20   999.99   -6.922
     79.25   999.99   -6.845
     82.30   999.99   -6.748
     85.34   999.99   -6.649
     88.39   999.99   -6.568
     91.44   999.99   -6.450
     94.49   999.99   -6.353
     97.54   999.99   -6.250
    100.58   999.99   -6.129
    103.63   999.99   -6.013
    106.68   999.99   -5.895
    109.73   999.99   -5.797
    112.78   999.99   -5.636
    115.82   999.99   -5.509
    118.87   999.99   -5.403
    121.92   999.99   -5.265
    124.97   999.99   -5.161
    128.02   999.99   -5.030
    131.06   999.99   -4.859
    134.11   999.99   -4.758
    137.16   999.99   -4.627
    140.21   999.99   -4.496
    143.26   999.99   -4.350
    146.30   999.99   -4.210
    149.35   999.99   -4.088
    152.40   999.99   -3.965
    155.45   999.99   -3.870
    158.50   999.99   -3.751
    161.54   999.99   -3.598
    164.59   999.99   -3.481
    167.64   999.99   -3.351
    170.69   999.99   -3.236
    173.74   999.99   -3.129
    176.78   999.99   -3.005
    179.83   999.99   -2.890
    182.88   999.99   -2.772
    185.93   999.99   -2.666
    188.98   999.99   -2.562
    192.02   999.99   -2.470
    195.07   999.99   -2.373
    198.12   999.99   -2.283
    201.17   999.99   -2.174
    204.22   999.99   -2.056
    207.26   999.99   -1.967
    210.31   999.99   -1.852
    213.36   999.99   -1.745
    216.41   999.99   -1.652
    219.46   999.99   -1.555
    222.50   999.99   -1.486
    225.55   999.99   -1.395
    228.60   999.99   -1.346
    231.65   999.99   -1.278
    234.70   999.99   -1.192
    237.74   999.99   -1.069
    240.79   999.99    -.966
    243.84   999.99    -.888
    246.89   999.99    -.804
    249.94   999.99    -.731
    252.98   999.99    -.636
    256.03   999.99    -.563
    259.08   999.99    -.461
    262.13   999.99    -.390
    265.18   999.99    -.286
    268.22   999.99    -.210
    271.27   999.99    -.110
    274.32   999.99    -.038
    277.37   999.99     .035
    280.42   999.99     .124
    283.46   999.99     .203
    286.51   999.99     .288
    289.56   999.99     .410
    292.61   999.99     .499
    295.66   999.99     .592
    298.70   999.99     .680
    301.75   999.99     .779
    304.80   999.99     .856
    307.85   999.99     .950
    310.90   999.99    1.036
    313.94   999.99    1.121
    316.99   999.99    1.230
    320.04   999.99    1.336
    323.09   999.99    1.453
    326.14   999.99    1.608
    329.18   999.99    1.749
    332.23   999.99    1.852
    335.28   999.99    1.987
    338.33   999.99    2.086
    341.38   999.99    2.217
    344.42   999.99    2.325
    347.47   999.99    2.450
    350.52   999.99    2.558
    356.62   999.99    2.755
    359.66   999.99    2.883
    362.71   999.99    2.996
    365.76   999.99    3.131
    368.81   999.99    3.273
    371.86   999.99    3.429
    374.90   999.99    3.530
    377.95   999.99    3.613
    381.00   999.99    3.714
    384.05   999.99    3.805
    387.10   999.99    3.876
    390.14   999.99    4.257
    393.19   999.99    4.306
    396.24   999.99    4.397
    399.29   999.99    4.498
    402.34   999.99    4.581
    405.38   999.99    4.654
    408.43   999.99    4.743
    411.48   999.99    4.836
    414.53   999.99    4.890
    417.58   999.99    5.003
    420.62   999.99    5.090
    423.67   999.99    5.174
    426.72   999.99    5.274
    429.77   999.99    5.369
    432.82   999.99    5.453
    435.86   999.99    5.546
    438.91   999.99    5.655
    441.96   999.99    5.777
    445.01   999.99    5.839
    448.06   999.99    5.928
    451.10   999.99    6.001
    454.15   999.99    6.073
    457.20   999.99    6.162
    460.25   999.99    6.231
    463.30   999.99    6.291
    466.34   999.99    6.371
    469.39   999.99    6.458
    472.44   999.99    6.563
    475.49   999.99    6.682
    478.54   999.99    6.817
    481.58   999.99    6.909
    484.63   999.99    7.006
    487.68   999.99    7.115
    490.73   999.99    7.220
    493.78   999.99    7.324
    496.83   999.99    7.422
    499.87   999.99    7.548
    502.92   999.99    7.642
    505.97   999.99    7.732
    509.02   999.99    7.855
    512.07   999.99    7.949
    515.11   999.99    8.037
    518.16   999.99    8.123
    521.21   999.99    8.214
    524.26   999.99    8.286
    527.31   999.99    8.372
    530.35   999.99    8.432
    533.40   999.99    8.482
    536.45   999.99    8.602
    539.50   999.99    8.604
