 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             KAG 
 Log Date:         84AUG06 
 Type of Log:      continuous  
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      no 
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      6.40   999.99   -6.668
      6.71   999.99   -6.796
      7.01   999.99   -6.853
      7.32   999.99   -6.926
      7.62   999.99   -7.007
      7.92   999.99   -7.051
      8.23   999.99   -7.564
      8.53   999.99   -8.107
      8.84   999.99   -8.399
      9.14   999.99   -8.744
      9.45   999.99   -8.939
      9.75   999.99   -9.144
     10.06   999.99   -9.248
     10.36   999.99   -9.299
     10.67   999.99   -9.333
     10.97   999.99   -9.374
     11.28   999.99   -9.376
     11.58   999.99   -9.374
     11.89   999.99   -9.355
     12.19   999.99   -9.344
     12.50   999.99   -9.330
     12.80   999.99   -9.308
     13.11   999.99   -9.291
     13.41   999.99   -9.263
     13.72   999.99   -9.226
     14.02   999.99   -9.205
     14.33   999.99   -9.172
     14.63   999.99   -9.142
     14.94   999.99   -9.115
     15.24   999.99   -9.071
     15.54   999.99   -9.043
     15.85   999.99   -9.029
     16.15   999.99   -9.011
     16.46   999.99   -8.992
     16.76   999.99   -8.966
     17.07   999.99   -8.939
     17.37   999.99   -8.915
     17.68   999.99   -8.889
     17.98   999.99   -8.867
     18.29   999.99   -8.844
     18.59   999.99   -8.818
     18.90   999.99   -8.765
     19.20   999.99   -8.744
     19.51   999.99   -8.721
     19.81   999.99   -8.693
     20.12   999.99   -8.677
     20.42   999.99   -8.653
     20.73   999.99   -8.615
     21.03   999.99   -8.596
     21.34   999.99   -8.576
     21.64   999.99   -8.551
     21.95   999.99   -8.529
     22.25   999.99   -8.507
     22.56   999.99   -8.490
     22.86   999.99   -8.468
     23.16   999.99   -8.445
     23.47   999.99   -8.428
     23.77   999.99   -8.412
     24.08   999.99   -8.387
     24.38   999.99   -8.370
     24.69   999.99   -8.357
     24.99   999.99   -8.334
     25.30   999.99   -8.323
     25.60   999.99   -8.304
     25.91   999.99   -8.275
     26.21   999.99   -8.260
     26.52   999.99   -8.242
     26.82   999.99   -8.229
     27.13   999.99   -8.217
     27.43   999.99   -8.198
     27.74   999.99   -8.184
     28.04   999.99   -8.170
     28.35   999.99   -8.154
     28.65   999.99   -8.144
     28.96   999.99   -8.131
     29.26   999.99   -8.114
     29.57   999.99   -8.105
     29.87   999.99   -8.092
     30.18   999.99   -8.066
     30.48   999.99   -8.055
     30.78   999.99   -7.994
     31.09   999.99   -7.997
     31.39   999.99   -7.996
     31.70   999.99   -7.984
     32.00   999.99   -7.975
     32.31   999.99   -7.968
     32.61   999.99   -7.951
     32.92   999.99   -7.945
     33.22   999.99   -7.943
     33.53   999.99   -7.928
     33.83   999.99   -7.924
     34.14   999.99   -7.918
     34.44   999.99   -7.906
     34.75   999.99   -7.902
     35.05   999.99   -7.895
     35.36   999.99   -7.881
     35.66   999.99   -7.878
     35.97   999.99   -7.868
     36.27   999.99   -7.858
     36.58   999.99   -7.855
     36.88   999.99   -7.848
     37.19   999.99   -7.844
     37.49   999.99   -7.840
     37.80   999.99   -7.830
     38.10   999.99   -7.824
     38.40   999.99   -7.817
     38.71   999.99   -7.807
     39.01   999.99   -7.804
     39.32   999.99   -7.798
     39.62   999.99   -7.791
     39.93   999.99   -7.788
     40.23   999.99   -7.782
     40.54   999.99   -7.774
     40.84   999.99   -7.771
     41.15   999.99   -7.765
     41.45   999.99   -7.763
     41.76   999.99   -7.759
     42.06   999.99   -7.753
     42.37   999.99   -7.748
     42.67   999.99   -7.744
     42.98   999.99   -7.739
     43.28   999.99   -7.734
     43.59   999.99   -7.728
     43.89   999.99   -7.720
     44.20   999.99   -7.715
     44.50   999.99   -7.710
     44.81   999.99   -7.706
     45.11   999.99   -7.702
     45.42   999.99   -7.696
     45.72   999.99   -7.691
     46.02   999.99   -7.688
     46.33   999.99   -7.682
     46.63   999.99   -7.677
     46.94   999.99   -7.672
     47.24   999.99   -7.664
     47.55   999.99   -7.661
     47.85   999.99   -7.656
     48.16   999.99   -7.651
     48.46   999.99   -7.649
     48.77   999.99   -7.643
     49.07   999.99   -7.636
     49.38   999.99   -7.633
     49.68   999.99   -7.627
     49.99   999.99   -7.620
     50.29   999.99   -7.613
     50.60   999.99   -7.608
     50.90   999.99   -7.601
     51.21   999.99   -7.598
     51.51   999.99   -7.590
     51.82   999.99   -7.585
     52.12   999.99   -7.579
     52.43   999.99   -7.573
     52.73   999.99   -7.568
     53.04   999.99   -7.561
     53.34   999.99   -7.553
     53.64   999.99   -7.548
     53.95   999.99   -7.542
     54.25   999.99   -7.536
     54.56   999.99   -7.531
     54.86   999.99   -7.522
     55.17   999.99   -7.517
     55.47   999.99   -7.511
     55.78   999.99   -7.501
     56.08   999.99   -7.496
     56.39   999.99   -7.490
     56.69   999.99   -7.485
     57.00   999.99   -7.481
     57.30   999.99   -7.473
     57.61   999.99   -7.468
     57.91   999.99   -7.464
     58.22   999.99   -7.459
     58.52   999.99   -7.454
     58.83   999.99   -7.447
     59.13   999.99   -7.434
     59.44   999.99   -7.429
     59.74   999.99   -7.421
     60.05   999.99   -7.416
     60.35   999.99   -7.410
     60.66   999.99   -7.403
     60.96   999.99   -7.398
     61.26   999.99   -7.392
     61.57   999.99   -7.379
     61.87   999.99   -7.376
     62.18   999.99   -7.367
     62.48   999.99   -7.356
     62.79   999.99   -7.353
     63.09   999.99   -7.342
     63.40   999.99   -7.337
     63.70   999.99   -7.323
     64.01   999.99   -7.320
     64.31   999.99   -7.309
     64.62   999.99   -7.299
     64.92   999.99   -7.292
     65.23   999.99   -7.286
     65.53   999.99   -7.282
     65.84   999.99   -7.271
     66.14   999.99   -7.267
     66.45   999.99   -7.261
     66.75   999.99   -7.256
     67.06   999.99   -7.254
     67.36   999.99   -7.244
     67.67   999.99   -7.238
     67.97   999.99   -7.236
     68.28   999.99   -7.221
     68.58   999.99   -7.214
     68.88   999.99   -7.208
     69.19   999.99   -7.198
     69.49   999.99   -7.183
     69.80   999.99   -7.172
     70.10   999.99   -7.170
     70.41   999.99   -7.162
     70.71   999.99   -7.151
     71.02   999.99   -7.145
     71.32   999.99   -7.145
     71.63   999.99   -7.134
     71.93   999.99   -7.112
     72.24   999.99   -7.105
     72.54   999.99   -7.096
     72.85   999.99   -7.084
     73.15   999.99   -7.077
     73.46   999.99   -7.072
     73.76   999.99   -7.064
     74.07   999.99   -7.056
     74.37   999.99   -7.045
     74.68   999.99   -7.036
     74.98   999.99   -7.030
     75.29   999.99   -7.010
     75.59   999.99   -7.005
     75.90   999.99   -6.992
     76.20   999.99   -6.982
     76.50   999.99   -6.976
     76.81   999.99   -6.969
     77.11   999.99   -6.962
     77.42   999.99   -6.954
     77.72   999.99   -6.941
     78.03   999.99   -6.940
     78.33   999.99   -6.928
     78.64   999.99   -6.911
     78.94   999.99   -6.905
     79.25   999.99   -6.901
     79.55   999.99   -6.883
     79.86   999.99   -6.874
     80.16   999.99   -6.863
     80.47   999.99   -6.857
     80.77   999.99   -6.852
     81.08   999.99   -6.842
     81.38   999.99   -6.833
     81.69   999.99   -6.821
     81.99   999.99   -6.801
