 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             KAG 
 Log Date:         78SEP15 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     12.19   999.99    -.729
     15.24   999.99   -2.445
     19.81   999.99   -2.899
     22.86   999.99   -3.324
     25.91   999.99   -3.757
     28.96   999.99   -4.288
     32.00   999.99   -4.703
     35.05   999.99   -4.900
     38.10   999.99   -4.980
     53.34   999.99   -4.282
     56.39   999.99   -4.691
     59.44   999.99   -4.888
     62.48   999.99   -4.955
     65.53   999.99   -4.955
     68.58   999.99   -4.926
     71.63   999.99   -4.889
     75.90   999.99   -4.768
     78.94   999.99   -4.686
     81.99   999.99   -4.576
     85.04   999.99   -4.439
     88.09   999.99   -4.307
     91.14   999.99   -4.167
     94.18   999.99   -4.040
     97.23   999.99   -3.902
    100.28   999.99   -3.812
    103.33   999.99   -3.676
    106.38   999.99   -3.557
    109.42   999.99   -3.469
    112.47   999.99   -3.343
    115.52   999.99   -3.248
    118.57   999.99   -3.166
    121.62   999.99   -3.069
    124.66   999.99   -2.991
    127.71   999.99   -2.856
    130.76   999.99   -2.725
    133.81   999.99   -2.561
    136.86   999.99   -2.462
    139.90   999.99   -2.379
    142.95   999.99   -2.315
    146.00   999.99   -2.222
    149.05   999.99   -2.161
    152.10   999.99   -2.121
    155.14   999.99   -2.077
    158.19   999.99   -2.040
    161.24   999.99   -1.993
    164.29   999.99   -1.910
    167.34   999.99   -1.815
    170.38   999.99   -1.794
    173.43   999.99   -1.694
    176.48   999.99   -1.600
    179.53   999.99   -1.456
    182.58   999.99   -1.343
    185.62   999.99   -1.251
    188.67   999.99   -1.193
    191.72   999.99   -1.117
    194.77   999.99   -1.021
    197.82   999.99    -.950
    200.86   999.99    -.940
    203.91   999.99    -.905
    206.96   999.99    -.832
    210.01   999.99    -.762
    213.06   999.99    -.675
    216.10   999.99    -.604
    219.15   999.99    -.528
    222.20   999.99    -.462
    225.25   999.99    -.395
    228.30   999.99    -.327
    231.34   999.99    -.220
    234.39   999.99    -.141
    237.44   999.99    -.049
    240.49   999.99    -.014
    243.54   999.99     .042
    246.58   999.99     .120
    249.63   999.99     .242
    252.68   999.99     .433
    255.73   999.99     .714
    258.78   999.99     .934
    261.82   999.99    1.149
    264.87   999.99    1.201
    267.92   999.99    1.186
    270.97   999.99    1.267
    274.02   999.99    1.506
    277.06   999.99    1.800
    280.11   999.99    2.104
    283.16   999.99    2.351
    286.21   999.99    2.528
    289.26   999.99    2.719
    292.30   999.99    2.821
    295.35   999.99    2.907
    298.40   999.99    2.972
    301.45   999.99    3.017
    304.50   999.99    3.120
    307.54   999.99    3.226
    310.59   999.99    3.331
    313.64   999.99    3.447
    316.69   999.99    3.545
    319.74   999.99    3.666
    322.78   999.99    3.748
    325.83   999.99    3.809
    328.88   999.99    3.892
    331.93   999.99    3.955
    334.98   999.99    4.042
    338.02   999.99    4.144
    341.07   999.99    4.271
    344.12   999.99    4.398
    347.17   999.99    4.531
    350.22   999.99    4.670
    353.26   999.99    4.811
    356.31   999.99    4.982
    359.36   999.99    5.091
    362.41   999.99    5.194
    365.46   999.99    5.268
    368.50   999.99    5.398
    371.55   999.99    5.519
    374.60   999.99    5.605
    377.65   999.99    5.693
    380.70   999.99    5.776
    383.74   999.99    5.893
    386.79   999.99    6.017
    389.84   999.99    6.166
    392.89   999.99    6.337
    395.94   999.99    6.472
    398.98   999.99    6.594
    402.03   999.99    6.705
    405.08   999.99    6.789
    408.13   999.99    6.866
    411.18   999.99    6.932
    414.22   999.99    7.007
    417.27   999.99    7.459
    420.32   999.99    7.479
    423.37   999.99    7.533
    426.42   999.99    7.578
    429.46   999.99    7.642
    432.51   999.99    7.700
    435.56   999.99    7.764
    438.61   999.99    7.859
    441.66   999.99    7.950
    444.70   999.99    8.008
    447.75   999.99    8.109
    450.80   999.99    8.199
    453.85   999.99    8.272
    456.90   999.99    8.359
    459.94   999.99    8.456
    462.99   999.99    8.521
    466.04   999.99    8.609
    469.09   999.99    8.683
    472.14   999.99    8.763
    475.18   999.99    8.822
    478.23   999.99    8.881
    481.28   999.99    8.937
    484.33   999.99    8.982
    487.38   999.99    9.037
    490.42   999.99    9.100
    493.47   999.99    9.170
    496.52   999.99    9.275
    499.57   999.99    9.405
    502.62   999.99    9.543
    505.66   999.99    9.675
    508.71   999.99    9.783
    511.76   999.99    9.895
    514.81   999.99    9.988
    517.86   999.99   10.086
    520.90   999.99   10.188
    523.95   999.99   10.297
    527.00   999.99   10.406
    530.05   999.99   10.510
    533.10   999.99   10.602
    536.14   999.99   10.690
    539.19   999.99   10.764
    542.24   999.99   10.841
    545.29   999.99   10.925
    548.34   999.99   10.993
    551.38   999.99   11.041
    554.43   999.99   11.072
    557.48   999.99   11.093
    560.53   999.99   11.120
    563.58   999.99   11.266
    566.62   999.99   11.392
    569.67   999.99   11.623
    572.72   999.99   11.671
    575.77   999.99   11.679
    578.82   999.99   11.687
