 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             KIK 
 Log Date:         78SEP02 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      3.05   999.99   -1.074
      6.10   999.99   -2.122
      9.14   999.99   -2.447
     12.31   999.99   -2.557
     15.24   999.99   -2.629
     18.32   999.99   -2.661
     21.34   999.99   -2.692
     24.38   999.99   -2.698
     27.43   999.99   -2.688
     30.63   999.99   -2.653
     33.53   999.99   -2.655
     36.58   999.99   -2.655
     39.62   999.99   -2.648
     42.70   999.99   -2.631
     45.72   999.99   -2.594
     48.86   999.99   -2.549
     51.82   999.99   -2.528
     60.96   999.99   -2.375
     64.01   999.99   -2.330
     70.10   999.99   -2.231
     73.24   999.99   -2.163
     76.41   999.99   -2.050
     79.25   999.99   -1.966
     82.63   999.99   -1.843
     86.23   999.99   -1.705
     89.18   999.99   -1.590
     92.35   999.99   -1.498
     95.28   999.99   -1.443
     97.87   999.99   -1.402
    100.58   999.99   -1.356
    103.63   999.99   -1.308
    106.68   999.99   -1.255
    108.20   999.99   -1.221
    109.76   999.99   -1.183
    111.25   999.99   -1.139
    112.87   999.99   -1.094
    114.51   999.99   -1.048
    115.92   999.99   -1.013
    117.44   999.99    -.982
    118.99   999.99    -.935
    120.49   999.99    -.904
    121.95   999.99    -.872
    125.09   999.99    -.803
    128.08   999.99    -.733
    131.06   999.99    -.642
